"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.31726272539818,-0.327699621045031,22544.9976094171,45,NA,NA,0,TRUE,TRUE,0.762,0.697624142583049,8.39638329208701,0.026132538687148,0.946687340753096,3.48377264207194,"HML","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:40,22544.9976094171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.2909339958328,NA,20528.6668486371,57,NA,NA,0,TRUE,TRUE,0.993,2.26716680636832,NA,0,1.51262800235433,NA,"SMB","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:43,20528.6668486371,0.728401767051855,22.9044101302251,16.4201375797258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47123919558326,NA,21629.1925548939,59,NA,NA,0,TRUE,TRUE,1.103,1.14815118590336,NA,0,0.854004984766371,NA,"HDY","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:47,21629.1925548939,NA,NA,NA,1.06312354324509,20.0399346244153,9.13034033817328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.10327522812554,NA,19884.907655638,63,NA,NA,0,TRUE,TRUE,0.925000000000001,4.11146084902303,NA,0,1.52341801441911,NA,"QLT","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:50,19884.907655638,NA,NA,NA,NA,NA,NA,0.877147009249302,17.6378055381995,6.74992882419731,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.05758332139194,NA,20317.7781947879,63,NA,NA,0,TRUE,TRUE,1.031,1.94909273893549,NA,0.00595532150252809,0.755086057463989,NA,"MOM","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:53,20317.7781947879,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07369411555301,2.8892664699999,1.24042387218571,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.46743787508153,NA,22410.0326247715,79,NA,NA,0,TRUE,TRUE,1.32,1.37132552972519,NA,0,0.941277565311751,NA,"ESG","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:56,22410.0326247715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85799463962794,36.6398193151916,15.7916512305101,NA,NA,NA
"Nelder-Mead6",1.19089033423918,NA,15689.5455888413,65,NA,NA,0,TRUE,TRUE,1.32,2.61338748412134,NA,0,2.70226790367367,NA,"LOV","BO",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:42:00,15689.5455888413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63605629091419,7.99348134293778,6.66909655654763
"Nelder-Mead7",0.970122583150661,-0.32076452212534,3701.06440964923,63,NA,NA,0,TRUE,TRUE,0.804,10.738022705001,31.775548496808,0,4.82172203135469,12.7584165607837,"HML","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:40,3701.06440964923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.874881918065557,NA,3142.31352345209,53,NA,NA,0,TRUE,TRUE,0.657,2.9535675740206,NA,0,1.52562094969252,NA,"SMB","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:42,3142.31352345209,0.841992105013219,16.1861432843664,10.0855521757685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.04990734288858,NA,3719.74437252565,69,NA,NA,0,TRUE,TRUE,0.813000000000001,2.06208124922269,NA,0.267840257689585,1.12849018161973,NA,"HDY","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:44,3719.74437252565,NA,NA,NA,0.273159357245378,6.27469537698535,2.92679277534183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",0.905951683291096,NA,3556.05241490586,51,NA,NA,0,TRUE,TRUE,0.815,18.5362074559449,NA,0,8.08566954843867,NA,"QLT","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:47,3556.05241490586,NA,NA,NA,NA,NA,NA,0.483421491581703,23.9369608933967,11.6088755332806,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.02281976070662,NA,3732.92823306668,41,NA,NA,0,TRUE,TRUE,0.447000000000001,9.01283412362513,NA,0.720606128283769,4.32101970912753,NA,"MOM","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:49,3732.92823306668,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0522884200661792,11.5540114787783,4.9963854606612,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.07623779283346,NA,3703.86875125381,115,NA,NA,0,TRUE,TRUE,1.267,0.524392409907052,NA,0,1.12840483411339,NA,"ESG","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:52,3703.86875125381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04507596933839,15.7278514470466,8.51905627882349,NA,NA,NA
"Nelder-Mead61",0.954866330212823,NA,3058.29737211223,61,NA,NA,0,TRUE,TRUE,0.723999999999998,4.72652230448267,NA,0,2.89179384558451,NA,"LOV","DD",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:54,3058.29737211223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12375704108308,9.13781373109341,4.60074716178035
"Nelder-Mead8",0.739965940041734,-2.33288645188499,1450.18679406491,95,NA,NA,0,TRUE,TRUE,0.985,3.07177115894888,45.606781307171,0,1.71762941976231,17.0603507990127,"HML","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:40,1450.18679406491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.5355165198209,NA,1319.42281878457,71,NA,NA,0,TRUE,TRUE,0.754,4.00647755080244,NA,0,2.1903879589309,NA,"SMB","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:43,1319.42281878457,-1.17078288044943,9.82638649745382,4.22403991480578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.177711662435,NA,1536.9525442178,217,NA,NA,0,TRUE,TRUE,2.085,3.37797706969678,NA,2.40478861601723e-07,2.08415046389629,NA,"HDY","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:50,1536.9525442178,NA,NA,NA,-2.78341179862414,1.97957614197913,1.57097358641691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",1.39625822652858,NA,2078.47295259046,117,NA,NA,0,TRUE,TRUE,1.047,8.03326231860243,NA,4.41056007205454e-05,3.31489545133117,NA,"QLT","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:52,2078.47295259046,NA,NA,NA,NA,NA,NA,-0.115277611855098,11.8066093092375,7.39686679130925,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.591848785857912,NA,966.812175762132,81,NA,NA,0,TRUE,TRUE,0.82,23.5604869463937,NA,0,8.79072744855708,NA,"MOM","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:54,966.812175762132,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52790425824753,25.7694062364042,9.72274611647174,NA,NA,NA,NA,NA,NA
"Nelder-Mead52",1.36675247278145,NA,2080.77985048068,115,NA,NA,0,TRUE,TRUE,1.193,7.69241033139148,NA,0,6.40750912524574,NA,"ESG","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:57,2080.77985048068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54684141436988,60.9808786759114,35.249899733752,NA,NA,NA
"Nelder-Mead62",1.28680947369667,NA,2078.89225651751,59,NA,NA,0,TRUE,TRUE,0.716000000000001,2.57210903584163,NA,0.00352994437338006,1.52115020929843,NA,"LOV","FOF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:42:00,2078.89225651751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288407040970742,10.6170054395272,11.7466158959695
"Nelder-Mead9",0.465885298083594,-1.61739179849028,3980.29884773686,59,NA,NA,0,TRUE,TRUE,0.361999999999998,2.30939339385161,10.529837484306,0,2.79191388893844,6.04402391842645,"HML","INF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:56,3980.29884773686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.967618841107468,NA,4213.21187552613,59,NA,NA,0,TRUE,TRUE,0.448999999999998,5.03738258247677,NA,0,4.41918227526978,NA,"SMB","INF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:41:59,4213.21187552613,-0.83166597688687,26.9324887813135,24.2972713269881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.936701957159676,NA,4393.81718271052,41,NA,NA,0,TRUE,TRUE,0.277999999999999,24.0961643884311,NA,0,12.8371353315077,NA,"HDY","INF",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:42:00,4393.81718271052,NA,NA,NA,0.135688936384395,257.659603182224,129.209015062071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
