"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.37233292844612,-0.262864437419921,18912.4811431465,47,NA,NA,0,TRUE,TRUE,0.75,1.36241424155883,9.49870819969918,0.117153186404365,1.02402624397909,3.77153971879704,"HML","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:13,18912.4811431465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.36424637103426,NA,17463.6500487751,59,NA,NA,0,TRUE,TRUE,0.74,1.61342556670937,NA,0,1.15496494106343,NA,"SMB","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:15,17463.6500487751,0.609952966653486,19.1285901837136,11.7541629556215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.51947632577067,NA,18119.7737377097,57,NA,NA,0,TRUE,TRUE,0.67,1.25247029008424,NA,0,0.863234736734941,NA,"HDY","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:17,18119.7737377097,NA,NA,NA,0.964843907542308,27.3801055853404,12.4729408799008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.12455598820961,NA,16478.1592079869,59,NA,NA,0,TRUE,TRUE,0.649999999999999,4.10923680059136,NA,0,1.52516431324176,NA,"QLT","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:18,16478.1592079869,NA,NA,NA,NA,NA,NA,0.921102183846233,18.0358426442843,6.91388619193189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.04360559560648,NA,16269.0609693076,63,NA,NA,0,TRUE,TRUE,0.719999999999999,1.94724260907594,NA,0.00391732591540295,0.750670069438237,NA,"MOM","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:21,16269.0609693076,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21753132967467,2.67524560740436,1.19182565851478,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.49402274910372,NA,18870.2380663086,73,NA,NA,0,TRUE,TRUE,0.93,1.37190168443246,NA,0,0.944101229723136,NA,"ESG","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:23,18870.2380663086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77295155257591,33.5982932600127,14.9144808962467,NA,NA,NA
"Nelder-Mead6",1.2059126774154,NA,12503.3038227089,75,NA,NA,0,TRUE,TRUE,0.960000000000001,2.95894519875865,NA,0,3.03497540400117,NA,"LOV","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:26,12503.3038227089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82379272025495,10.2393980875402,7.98349141245675
"Nelder-Mead7",0.994278345401835,-0.172281047400611,3375.88228689047,55,NA,NA,0,TRUE,TRUE,0.75,6.38228686607565,13.2652507153099,0.0797248461916535,3.1039477395196,5.27379189598815,"HML","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:31,3375.88228689047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.888364168524273,NA,2785.49306784577,55,NA,NA,0,TRUE,TRUE,0.709999999999997,2.97071092894528,NA,0,1.53768294203781,NA,"SMB","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:33,2785.49306784577,0.838957412616286,16.3701851013117,10.205376159251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.06698600501069,NA,3331.10553546664,79,NA,NA,0,TRUE,TRUE,0.920000000000002,0.667652464784287,NA,0.00200544126219981,1.1583455078024,NA,"HDY","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:35,3331.10553546664,NA,NA,NA,0.558784403523148,6.36528902106392,3.24786257105128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",0.872152556676883,NA,3169.48934071261,55,NA,NA,0,TRUE,TRUE,0.57,18.8682710765634,NA,0,8.25446185312013,NA,"QLT","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:37,3169.48934071261,NA,NA,NA,NA,NA,NA,0.589268768549664,23.6871855460168,11.4929015408205,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",0.97619789520977,NA,3366.40466602277,45,NA,NA,0,TRUE,TRUE,0.5,7.21329803088165,NA,0.245157310717722,3.5139082162155,NA,"MOM","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:39,3366.40466602277,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206292996526463,8.95653443880759,3.80251258146919,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.06790456930902,NA,3363.85196651651,63,NA,NA,0,TRUE,TRUE,0.75,0.521801414377547,NA,0,1.12905289916192,NA,"ESG","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:41,3363.85196651651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65425497169126,15.0859491333635,8.37363585237315,NA,NA,NA
"Nelder-Mead61",0.94807285560814,NA,2635.63769817304,61,NA,NA,0,TRUE,TRUE,0.719999999999999,4.78956545346041,NA,0,2.9283778212191,NA,"LOV","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:43,2635.63769817304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14766129963434,9.23286673296973,4.63339657149826
"Nelder-Mead8",0.781182353828426,-2.24065431117151,1260.97582005968,71,NA,NA,0,FALSE,TRUE,0.75,2.40894059811163,45.3802738041713,0,1.50345492600974,16.975735196005,"HML","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:46,1260.97582005968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.54789229544817,NA,1174.68588888104,69,NA,NA,0,TRUE,TRUE,0.600000000000001,6.14187434051592,NA,0,3.09787749035278,NA,"SMB","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:49,1174.68588888104,-1.2082611865416,18.771430958498,8.33351579600982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.19323607179592,NA,1440.86274486092,81,NA,NA,0,TRUE,TRUE,0.859999999999999,4.51364300944882,NA,5.55111512312578e-16,2.79874515847411,NA,"HDY","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:52,1440.86274486092,NA,NA,NA,-2.67917891245822,3.0332420366774,2.24771427381715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",1.38391533599224,NA,1924.04846053433,55,NA,NA,0,TRUE,TRUE,0.519999999999996,7.6764298443835,NA,0.010739615436128,3.17395498381039,NA,"QLT","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:54,1924.04846053433,NA,NA,NA,NA,NA,NA,-0.00599136430919314,11.4711707420398,7.18999191792719,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.581725329108314,NA,836.573265101883,81,NA,NA,0,TRUE,TRUE,0.710000000000001,23.5858869073189,NA,0,8.79982494101054,NA,"MOM","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:55,836.573265101883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58292050275958,25.583193167099,9.65940591747468,NA,NA,NA,NA,NA,NA
"Nelder-Mead52",1.42804054801227,NA,1918.89377408452,85,NA,NA,0,TRUE,TRUE,0.810000000000002,3.83320293658323,NA,0,3.71101966938925,NA,"ESG","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:57,1918.89377408452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.20816136997968,127.358134185891,73.1660577215746,NA,NA,NA
"Nelder-Mead62",1.36178646946289,NA,1277.84006536378,107,NA,NA,0,TRUE,TRUE,0.919999999999995,10.2663160756275,NA,0,6.40098281171389,NA,"LOV","FOF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:37:59,1277.84006536378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0784702621994,5.94026852619415,3.18753521023024
"Nelder-Mead9",0.476919400600492,-1.72216218733068,3539.82751639914,61,NA,NA,0,TRUE,TRUE,0.350000000000001,8.0903162699148,61.2019784232794,0,6.41769479704756,33.9994237051716,"HML","INF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:38:01,3539.82751639914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",1.00255919761234,NA,3838.82495755991,53,NA,NA,0,TRUE,TRUE,0.339999999999996,5.28814326939711,NA,0,4.60863932584213,NA,"SMB","INF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:38:03,3838.82495755991,-0.87834070550382,28.5749900094251,25.5974183746259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.92333736103644,NA,4044.45878378117,75,NA,NA,0,TRUE,TRUE,0.43,25.6016050233137,NA,0,13.8460889605222,NA,"HDY","INF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:38:05,4044.45878378117,NA,NA,NA,-0.242803624021818,280.500730502741,143.459194150521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead33",0.58967500439162,NA,3812.57248224583,53,NA,NA,0,TRUE,TRUE,0.350000000000001,2.50889642413005,NA,0,4.45533001301853,NA,"QLT","INF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:38:06,3812.57248224583,NA,NA,NA,NA,NA,NA,1.30762034454947,19.4048233170596,16.270317580625,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead43",0.451581127736665,NA,3739.74107385925,57,NA,NA,0,TRUE,TRUE,0.359999999999999,47.3521560160517,NA,0,27.7168693714996,NA,"MOM","INF",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-06 11:38:07,3739.74107385925,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53803491246395,191.055133740499,117.784469756831,NA,NA,NA,NA,NA,NA
