"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.81441884169826,-1.24128984563337,1.12606792181035e-05,121,NA,NA,0,TRUE,TRUE,0.59,0.000466110888896088,0.000515438903734444,0.99999948100733,0.000166318396828197,0.000176448545778204,"TERM","ALL",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:51:51,1.12606792181035e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.60608445344335,NA,1.04563688639692e-05,199,NA,NA,0,TRUE,TRUE,0.869999999999997,0.000325127262669094,NA,0.99999516886562,0.000134773849769425,NA,"CORP","ALL",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:51:56,1.04563688639692e-05,-6.06320229020315,0.000480401732530076,0.000168021334848242,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47782772338586,NA,1.11346465727798e-05,131,NA,NA,0,TRUE,TRUE,0.510000000000002,0.000211920092791714,NA,0.999999465870924,9.92300020726631e-05,NA,"HY","ALL",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:00,1.11346465727798e-05,NA,NA,NA,-2.68096218837223,0.000348173397476929,0.000127882198054251,NA,NA,NA
"Nelder-Mead3",1.38931682840158,NA,1.17837545452132e-05,129,NA,NA,0,TRUE,TRUE,0.450000000000003,0.000256948179166855,NA,0.999999894947864,0.000176754888498135,NA,"LIQ","ALL",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:03,1.17837545452132e-05,NA,NA,NA,NA,NA,NA,-0.877120036037532,0.000411623886423822,0.000166343892891844
"Nelder-Mead4",1.61025136475506,-0.615539206637478,5.52114417154705e-06,139,NA,NA,0,TRUE,TRUE,0.66,0.000250833870715408,0.000318143332387815,0.999999939412593,0.000103224934979435,0.000113452019655596,"TERM","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:07,5.52114417154705e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.55240291811403,NA,5.31270169457294e-06,147,NA,NA,0,TRUE,TRUE,0.809999999999999,0.000158793112851345,NA,0.99999963797227,0.000102708259616813,NA,"CORP","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:11,5.31270169457294e-06,-2.48236433326398,0.000309203472059175,0.00011689167758028,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.48559944972377,NA,5.4765812729037e-06,127,NA,NA,0,TRUE,TRUE,0.809999999999999,0.000154694051440001,NA,0.999999843989259,0.000101675017852611,NA,"HY","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:14,5.4765812729037e-06,NA,NA,NA,-1.56537310310967,0.000310812007139649,0.000123264095980527,NA,NA,NA
"Nelder-Mead31",1.3780127208306,NA,5.7267939624909e-06,115,NA,NA,0,TRUE,TRUE,0.509999999999998,0.000180133055621637,NA,0.99999999445445,0.000144594362950443,NA,"LIQ","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:16,5.7267939624909e-06,NA,NA,NA,NA,NA,NA,0.343007073947754,0.000333134904668752,0.000147751384050605
"Nelder-Mead5",0.253710669231555,1.84818133773721,1.16860955563181e-06,219,NA,NA,0,TRUE,TRUE,0.810000000000002,0.000219986571515336,0.00011505866213578,0.999999930111183,8.86563375900106e-05,0.000112572962587081,"TERM","DD",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:19,1.16860955563181e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.493222943894722,NA,1.03269778766087e-06,149,NA,NA,0,TRUE,TRUE,0.620000000000001,9.09081770963277e-05,NA,0.999999996612193,5.03255824201461e-05,NA,"CORP","DD",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:52:20,1.03269778766087e-06,5.95485478363809,1.38438413789664e-05,4.66737089934187e-05,NA,NA,NA,NA,NA,NA
