"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.3553679041729,-0.133726088269714,23903.2024819729,57,NA,NA,0,TRUE,TRUE,0.915,1.38043278734548,9.82069120270857,0.656583543383929,1.0362553160835,3.88901902251444,"HML","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:07,23903.2024819729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.28747504162035,NA,21121.1481774294,63,NA,NA,0,TRUE,TRUE,0.977,1.97061900108157,NA,0,1.33009975578257,NA,"SMB","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:10,21121.1481774294,0.777014472165703,19.5170334143206,14.1166404510716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47961158642215,NA,22322.6025296571,61,NA,NA,0,TRUE,TRUE,0.936,1.14277276163255,NA,0,0.848373834551967,NA,"HDY","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:13,22322.6025296571,NA,NA,NA,1.19457121327882,19.0720300570549,9.91975756740069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.14079457981953,NA,21759.3607381879,63,NA,NA,0,TRUE,TRUE,1.033,3.89818128028058,NA,0,1.44737465450812,NA,"QLT","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:15,21759.3607381879,NA,NA,NA,NA,NA,NA,0.74853106174704,16.787444885191,6.4071983653531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.06718232101996,NA,21646.9105525994,63,NA,NA,0,TRUE,TRUE,0.983000000000001,1.94052227704244,NA,0.00688495906227415,0.753840100234666,NA,"MOM","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:19,21646.9105525994,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02960827486411,2.95211026241288,1.25451119882816,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.46784497173263,NA,23534.6996745181,81,NA,NA,0,TRUE,TRUE,1.41,1.38514472014195,NA,0,0.945585362257587,NA,"ESG","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:22,23534.6996745181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23904157139547,37.8531549085324,16.1662360405585,NA,NA,NA
"Nelder-Mead6",1.19728830602046,NA,16973.0911506416,67,NA,NA,0,TRUE,TRUE,1.003,2.5412736452025,NA,0,2.6130763655072,NA,"LOV","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:25,16973.0911506416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46512340998061,7.2725937351427,6.36958521248939
"Nelder-Mead7",0.952713282126932,-0.309701174264774,3965.19145164269,65,NA,NA,0,TRUE,TRUE,0.715,6.40384221623932,12.8066758424894,0.00120768891702239,3.11068785521746,5.09711876378955,"HML","DD",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:08,3965.19145164269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.856919116449603,NA,3424.7317876872,57,NA,NA,0,TRUE,TRUE,0.668,2.91620136865861,NA,0,1.50266959144388,NA,"SMB","DD",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:10,3424.7317876872,0.855015632913762,15.728061107438,9.80559488919104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.02570746466517,NA,3988.98847392143,37,NA,NA,0,TRUE,TRUE,0.460999999999999,3.62947906537735,NA,0.91339562361504,2.19619821232612,NA,"HDY","DD",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:43:12,3988.98847392143,NA,NA,NA,0.156459564343095,2.74032250830404,2.22689713021171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
