"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.06599765119055,-0.40423934730544,0.00274709884131602,61,NA,NA,0,TRUE,TRUE,0.370000000000118,5.7653121180803,10.6971625869355,1.61937336731199e-05,2.89635379489324,4.43373102796057,"HML","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:03,0.00274709884131602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.27942210666981,NA,0.00239253185787402,59,NA,NA,0,TRUE,TRUE,0.380000000000109,13.743602328421,NA,0,10.0340891913896,NA,"SMB","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:05,0.00239253185787402,-0.442987319235635,99.9694116011025,46.3226192913141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.11402636845892,NA,0.00252165530236324,63,NA,NA,0,TRUE,TRUE,0.329999999999927,65.4325991627616,NA,0,38.5927013213184,NA,"HDY","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:08,0.00252165530236324,NA,NA,NA,-0.755617683677406,165.821199169098,140.870181794973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.42461730943865,NA,0.00271524671530485,57,NA,NA,0,TRUE,TRUE,0.350000000000136,16.9067079779447,NA,0,7.14222207722922,NA,"QLT","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:10,0.00271524671530485,NA,NA,NA,NA,NA,NA,-0.413540956718362,39.6213485921752,15.9481519677012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.60600387412123,NA,0.00268891284275272,65,NA,NA,0,TRUE,TRUE,0.339999999999918,10.3377866053392,NA,0,3.72731988474108,NA,"MOM","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:12,0.00268891284275272,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.901836629887112,26.228837684371,9.62717139103931,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.24403373348984,NA,0.00255275972373369,83,NA,NA,0,TRUE,TRUE,0.570000000000164,3.03181342153637,NA,0,2.12209383128672,NA,"ESG","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:14,0.00255275972373369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92175642104698,82.2481212558083,52.074140318776,NA,NA,NA
"Nelder-Mead6",1.25945007097171,NA,0.00236037086797434,65,NA,NA,0,TRUE,TRUE,0.309999999999945,1.14896384224871,NA,1.59976476510337e-11,1.15285774441555,NA,"LOV","ALL",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:17,0.00236037086797434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52971035858609,13.1077735741968,7.89276033387364
"Nelder-Mead7",1.30433852687155,-0.357527224202088,0.00229461047991817,129,NA,NA,0,TRUE,TRUE,0.630000000000109,7.10583277637693,15.8287467686311,6.22835116814713e-14,3.63119195016541,6.41079267743924,"HML","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:21,0.00229461047991817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.49462470135186,NA,0.00219473801403353,61,NA,NA,0,TRUE,TRUE,0.319999999999936,1.23069904027215,NA,2.48689957516035e-14,0.848004853477177,NA,"SMB","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:23,0.00219473801403353,-0.3965449087671,19.0803731631223,9.50035295822178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.35020237047756,NA,0.00224473496411669,63,NA,NA,0,TRUE,TRUE,0.309999999999945,78.6014854693985,NA,0,60.2540942360721,NA,"HDY","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:25,0.00224473496411669,NA,NA,NA,-0.675561529911647,287.29484350003,201.421732596493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.61608338378795,NA,0.00228142477983822,59,NA,NA,0,TRUE,TRUE,0.370000000000118,5.83883876803141,NA,6.99440505513849e-15,2.78488139877272,NA,"QLT","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:27,0.00228142477983822,NA,NA,NA,NA,NA,NA,-0.307871824918027,14.6522415260553,5.88546628416265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.76756728485125,NA,0.00221609168904608,57,NA,NA,0,TRUE,TRUE,0.340000000000146,55.8254924806307,NA,0,21.4645023515118,NA,"MOM","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:29,0.00221609168904608,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.671307618617356,134.706976214336,51.4044444045689,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.50360220592781,NA,0.00187843718161459,87,NA,NA,0,TRUE,TRUE,0.369999999999891,9.21543247305649,NA,0,7.37640139876898,NA,"ESG","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:15:30,0.00187843718161459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6949240228154,35.9520483468029,18.2215885723467,NA,NA,NA
