"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",0.9445406834083,-0.000866474625847139,-0.912457859845344,9.89867821511608e-06,476,NA,NA,0,TRUE,TRUE,2.60000000000036,2.21835493538999e-06,0.000178798307752001,1.52103592755986e-06,1,8.53484858517423e-07,6.04203161501282e-05,1.30340028195825e-06,"HML","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:00,9.89867821511608e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.08191006431706,0.00158172071490936,NA,9.18107945429687e-06,454,NA,NA,0,TRUE,TRUE,2.5600000000004,1.15415852906004e-06,0.00017305163869445,NA,1,5.12927141339752e-07,6.0198323540024e-05,NA,"SMB","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:12,9.18107945429687e-06,-0.898612097555827,2.21921713854951e-06,1.63527662614925e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",0.768502550635721,0.00119635284401655,NA,8.89857657605973e-06,494,NA,NA,0,TRUE,FALSE,2.89999999999964,1.88727839225131e-06,0.000184975246108466,NA,1,7.197988769852e-07,6.43090934197161e-05,NA,"HDY","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:25,8.89857657605973e-06,NA,NA,NA,-1.63299533264674,2.23247334006531e-06,1.28753364773762e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.60488785495622,-0.00323063817066865,NA,1.27802198523792e-05,414,NA,NA,0,TRUE,TRUE,2.77999999999975,1.9849978817213e-06,0.000511188448983732,NA,1,6.78196842241648e-07,0.0001726005600956,NA,"QLT","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:31,1.27802198523792e-05,NA,NA,NA,NA,NA,NA,0.355315017543493,1.69787294167056e-05,6.12981152102037e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.40713252924462,-0.00382665203054047,NA,1.25515460611215e-05,378,NA,NA,0,TRUE,TRUE,2.11000000000058,4.66619284157662e-06,0.000424431174903326,NA,0.999999999999997,1.58256066757942e-06,0.000143237079611359,NA,"MOM","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:37,1.25515460611215e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39130612433869,1.31608594481307e-05,5.10401081923029e-06,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.60339460662338,-0.0021999775358982,NA,1.30603205031541e-05,312,NA,NA,0,TRUE,FALSE,1.96000000000004,1.70883457497352e-05,0.00115132088895045,NA,1,5.76096223105792e-06,0.000388963352812254,NA,"ESG","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:42,1.30603205031541e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0509374509523152,5.53810485925875e-05,1.92159276490854e-05,NA,NA,NA
"Nelder-Mead6",0.801825758832196,0.00313710345363563,NA,9.64536638030764e-06,610,NA,NA,0,TRUE,TRUE,3.71000000000004,1.70407294642241e-06,0.000187441928116859,NA,1,7.00687595021198e-07,6.7933597444925e-05,NA,"LOV","ALL",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:31:56,9.64536638030764e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48632668882347,2.38513482766822e-06,1.36391259749513e-06
"Nelder-Mead7",1.18534149804661,0.000735124327611784,-0.270025202065941,5.38275652953684e-06,168,NA,NA,0,TRUE,TRUE,0.990000000000691,4.38037484961465e-06,0.000325976010309123,2.25614452488702e-06,1,1.74009742068619e-06,0.000112002593519338,2.45332092165807e-06,"HML","BO",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:32:02,5.38275652953684e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.910316501246548,0.00376108174882658,NA,5.00157372542321e-06,496,NA,NA,0,TRUE,TRUE,2.96999999999935,2.7848467093896e-06,0.000336932743728288,NA,1,1.19794168701566e-06,0.000119664051052863,NA,"SMB","BO",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:32:15,5.00157372542321e-06,-0.881189687360814,3.33645220240158e-06,2.22426634178437e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",0.6313148029803,0.00334684890152566,NA,5.16307375391716e-06,408,NA,NA,0,TRUE,FALSE,2.35000000000036,1.40573290395865e-06,0.000123165078943111,NA,1,5.33758661926011e-07,4.36494893872427e-05,NA,"HDY","BO",210,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:32:26,5.16307375391716e-06,NA,NA,NA,-1.37823828706728,1.98519742095722e-06,7.21190878014534e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
