Date;MKT_AP;HML_AP;SMB_AP;ESG_AP;HDY_AP;LOV_AP;MOM_AP;QLT_AP;MKT_EU;HML_EU;SMB_EU;ESG_EU;HDY_EU;LOV_EU;MOM_EU;QLT_EU;MKT_NA;HML_NA;SMB_NA;ESG_NA;HDY_NA;LOV_NA;MOM_NA;QLT_NA;MKT_World;HML_World;SMB_World;ESG_World;HDY_World;LOV_World;MOM_World;QLT_World;RF_World;RF_AP;RF_EU;RF_NA
1969-12-31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1970-01-31;-0,051226211;0;0;0;0;0;0;0;-0,004206211;0;0;0;0;0;0;0;-0,060096211;0;0;0;0;0;0;0;-0,05472;0;0;0;0;0;0;0;-0,003493789;-0,003493789;-0,003493789;-0,003493789
1970-02-28;0,029716636;0;0;0;0;0;0;0;-0,032388755;0;0;0;0;0;0;0;0,05228615;0;0;0;0;0;0;0;0,032053995;0;0;0;0;0;0;0;0,002337359;0,002337359;0,002337359;0,002337359
1970-03-31;0,01486961;0;0;0;0;0;0;0;0,024513691;0;0;0;0;0;0;0;0,017565377;0;0;0;0;0;0;0;0,003987372;0;0;0;0;0;0;0;-0,010882239;-0,010882239;-0,010882239;-0,010882239
1970-04-30;-0,100066719;0;0;0;0;0;0;0;-0,079933844;0;0;0;0;0;0;0;-0,094554216;0;0;0;0;0;0;0;-0,092601101;0;0;0;0;0;0;0;0,007465619;0,007465619;0,007465619;0,007465619
1970-05-31;-0,055088026;0;0;0;0;0;0;0;-0,045294892;0;0;0;0;0;0;0;-0,051112336;0;0;0;0;0;0;0;-0,062108307;0;0;0;0;0;0;0;-0,007020281;-0,007020281;-0,007020281;-0,007020281
1970-06-30;-0,013789971;0;0;0;0;0;0;0;0,022774686;0;0;0;0;0;0;0;-0,023310457;0;0;0;0;0;0;0;-0,023609295;0;0;0;0;0;0;0;-0,009819324;-0,009819324;-0,009819324;-0,009819324
1970-07-31;0,038510935;0;0;0;0;0;0;0;0,02412474;0;0;0;0;0;0;0;0,049006101;0;0;0;0;0;0;0;0,063104351;0;0;0;0;0;0;0;0,024593415;0,024593415;0,024593415;0,024593415
1970-08-31;0,026611274;0;0;0;0;0;0;0;0,001239257;0;0;0;0;0;0;0;0,033530917;0;0;0;0;0;0;0;0,033967062;0;0;0;0;0;0;0;0,007355788;0,007355788;0,007355788;0,007355788
1970-09-30;0,033242422;0;0;0;0;0;0;0;0,011993644;0;0;0;0;0;0;0;0,03627072;0;0;0;0;0;0;0;0,033242422;0;0;0;0;0;0;0;0;0;0;0
1970-10-31;-0,016088129;0;0;0;0;0;0;0;-0,00633887;0;0;0;0;0;0;0;-0,009839013;0;0;0;0;0;0;0;-0,013782211;0;0;0;0;0;0;0;0,002305919;0,002305919;0,002305919;0,002305919
1970-11-30;0,008432437;0;0;0;0;0;0;0;-0,059647268;0;0;0;0;0;0;0;0,038493744;0;0;0;0;0;0;0;0,023386424;0;0;0;0;0;0;0;0,014953988;0,014953988;0,014953988;0,014953988
1970-12-31;0,024157352;0;0;0;0;0;0;0;-0,001860427;0;0;0;0;0;0;0;0,028498156;0;0;0;0;0;0;0;0,050602384;0;0;0;0;0;0;0;0,026445032;0,026445032;0,026445032;0,026445032
1971-01-31;0,025563156;0;0;0;0;0;0;0;0,022350869;0;0;0;0;0;0;0;0,02344997;0;0;0;0;0;0;0;0,04691023;0;0;0;0;0;0;0;0,021347074;0,021347074;0,021347074;0,021347074
1971-02-28;0,012512158;0;0;0;0;0;0;0;0,00515059;0;0;0;0;0;0;0;0,011398959;0;0;0;0;0;0;0;0,011431077;0;0;0;0;0;0;0;-0,001081081;-0,001081081;-0,001081081;-0,001081081
1971-03-31;0,040805708;0;0;0;0;0;0;0;0,029971804;0;0;0;0;0;0;0;0,036666393;0;0;0;0;0;0;0;0,044773962;0;0;0;0;0;0;0;0,003968254;0,003968254;0,003968254;0,003968254
1971-04-30;0,0284734;0;0;0;0;0;0;0;0,037386603;0;0;0;0;0;0;0;0,029809057;0;0;0;0;0;0;0;0,033503942;0;0;0;0;0;0;0;0,005030543;0,005030543;0,005030543;0,005030543
1971-05-31;-0,024702289;0;0;0;0;0;0;0;0,026860264;0;0;0;0;0;0;0;-0,038770963;0;0;0;0;0;0;0;-0,022914659;0;0;0;0;0;0;0;0,00178763;0,00178763;0,00178763;0,00178763
1971-06-30;0,020256255;0;0;0;0;0;0;0;0,018584592;0;0;0;0;0;0;0;0,015622002;0;0;0;0;0;0;0;0,010977169;0;0;0;0;0;0;0;-0,009279086;-0,009279086;-0,009279086;-0,009279086
1971-07-31;-0,023128049;0;0;0;0;0;0;0;0,038295787;0;0;0;0;0;0;0;-0,039697719;0;0;0;0;0;0;0;-0,015202977;0;0;0;0;0;0;0;0,007925072;0,007925072;0,007925072;0,007925072
1971-08-31;0,009423697;0;0;0;0;0;0;0;-0,013403576;0;0;0;0;0;0;0;0,027548915;0;0;0;0;0;0;0;0,022647428;0;0;0;0;0;0;0;0,013223731;0,013223731;0,013223731;0,013223731
1971-09-30;-0,020014875;0;0;0;0;0;0;0;-0,030120615;0;0;0;0;0;0;0;-0,023071659;0;0;0;0;0;0;0;-0,008727397;0;0;0;0;0;0;0;0,011287478;0,011287478;0,011287478;0,011287478
1971-10-31;-0,048097655;0;0;0;0;0;0;0;-0,043445874;0;0;0;0;0;0;0;-0,047393252;0;0;0;0;0;0;0;-0,036936163;0;0;0;0;0;0;0;0,011161493;0,011161493;0,011161493;0,011161493
1971-11-30;0,003120776;0;0;0;0;0;0;0;0,022160496;0;0;0;0;0;0;0;-0,001191746;0;0;0;0;0;0;0;0,009329813;0;0;0;0;0;0;0;0,006209038;0,006209038;0,006209038;0,006209038
1971-12-31;0,079948225;0;0;0;0;0;0;0;0,058093805;0;0;0;0;0;0;0;0,054499542;0;0;0;0;0;0;0;0,0909184;0;0;0;0;0;0;0;0,010970175;0,010970175;0,010970175;0,010970175
1972-01-31;0,013035986;0;0;0;0;0;0;0;0,035982656;0;0;0;0;0;0;0;-0,001799216;0;0;0;0;0;0;0;0,037451042;0;0;0;0;0;0;0;0,024415056;0,024415056;0,024415056;0,024415056
1972-02-29;0,024353501;0;0;0;0;0;0;0;0,040314956;0;0;0;0;0;0;0;0,013749102;0;0;0;0;0;0;0;0,039249231;0;0;0;0;0;0;0;0,01489573;0,01489573;0,01489573;0,01489573
1972-03-31;0,018826057;0;0;0;0;0;0;0;0,032922802;0;0;0;0;0;0;0;0,01952775;0;0;0;0;0;0;0;0,014586004;0;0;0;0;0;0;0;-0,004240052;-0,004240052;-0,004240052;-0,004240052
1972-04-30;0,024475581;0;0;0;0;0;0;0;0,030325199;0;0;0;0;0;0;0;0,012855283;0;0;0;0;0;0;0;0,013994087;0;0;0;0;0;0;0;-0,010481494;-0,010481494;-0,010481494;-0,010481494
1972-05-31;0,009169491;0;0;0;0;0;0;0;0,005838196;0;0;0;0;0;0;0;-0,008852815;0;0;0;0;0;0;0;0,021086075;0;0;0;0;0;0;0;0,011916584;0,011916584;0,011916584;0,011916584
1972-06-30;-0,016623401;0;0;0;0;0;0;0;-0,043735425;0;0;0;0;0;0;0;-0,008409944;0;0;0;0;0;0;0;-0,022511527;0;0;0;0;0;0;0;-0,005888126;-0,005888126;-0,005888126;-0,005888126
1972-07-31;0,007982452;0;0;0;0;0;0;0;0,044936764;0;0;0;0;0;0;0;-0,012400171;0;0;0;0;0;0;0;0,016208842;0;0;0;0;0;0;0;0,00822639;0,00822639;0,00822639;0,00822639
1972-08-31;0,02033541;0;0;0;0;0;0;0;-0,001736522;0;0;0;0;0;0;0;0,029806457;0;0;0;0;0;0;0;0,029147421;0;0;0;0;0;0;0;0,00881201;0,00881201;0,00881201;0,00881201
1972-09-30;-0,021297566;0;0;0;0;0;0;0;-0,064846017;0;0;0;0;0;0;0;-0,00410363;0;0;0;0;0;0;0;-0,014503648;0;0;0;0;0;0;0;0,006793918;0,006793918;0,006793918;0,006793918
1972-10-31;0,022753931;0;0;0;0;0;0;0;0,012776898;0;0;0;0;0;0;0;0,025296752;0;0;0;0;0;0;0;0,00893645;0;0;0;0;0;0;0;-0,013817481;-0,013817481;-0,013817481;-0,013817481
1972-11-30;0,05612822;0;0;0;0;0;0;0;0,030662174;0;0;0;0;0;0;0;0,041599007;0;0;0;0;0;0;0;0,053195668;0;0;0;0;0;0;0;-0,002932551;-0,002932551;-0,002932551;-0,002932551
1972-12-31;0,016032179;0;0;0;0;0;0;0;-0,010154476;0;0;0;0;0;0;0;0,015835578;0;0;0;0;0;0;0;0,018973356;0;0;0;0;0;0;0;0,002941176;0,002941176;0,002941176;0,002941176
1973-01-31;-0,004489947;0;0;0;0;0;0;0;-0,002188467;0;0;0;0;0;0;0;-0,02720687;0;0;0;0;0;0;0;0,003004351;0;0;0;0;0;0;0;0,007494298;0,007494298;0,007494298;0,007494298
1973-02-28;-0,003456095;0;0;0;0;0;0;0;0,059446566;0;0;0;0;0;0;0;-0,053546065;0;0;0;0;0;0;0;0,007540024;0;0;0;0;0;0;0;0,010996119;0,010996119;0,010996119;0,010996119
1973-03-31;0,004588979;0;0;0;0;0;0;0;0,031401273;0;0;0;0;0;0;0;-0,007137844;0;0;0;0;0;0;0;0,002029798;0;0;0;0;0;0;0;-0,002559181;-0,002559181;-0,002559181;-0,002559181
1973-04-30;-0,043600451;0;0;0;0;0;0;0;0,012178242;0;0;0;0;0;0;0;-0,03075269;0;0;0;0;0;0;0;-0,049694101;0;0;0;0;0;0;0;-0,00609365;-0,00609365;-0,00609365;-0,00609365
1973-05-31;0,012883848;0;0;0;0;0;0;0;0,030419467;0;0;0;0;0;0;0;-0,001364452;0;0;0;0;0;0;0;-0,002282335;0;0;0;0;0;0;0;-0,015166183;-0,015166183;-0,015166183;-0,015166183
1973-06-30;0,013865692;0;0;0;0;0;0;0;0,046147715;0;0;0;0;0;0,010969911;0;0,010464065;0;0;0;0;0;0;0;0,006984958;0;0;0;0;0;-0,002130295;0;-0,006880734;-0,006880734;-0,006880734;-0,006880734
1973-07-31;0,027514979;0;0;0;0;0;0;0;-0,049543126;0;0;0;0;0;0,007418863;0;0,04272075;0;0;0;0;0;0;0;0,024545662;0;0;0;0;0;-0,025089173;0;-0,002969317;-0,002969317;-0,002969317;-0,002969317
