Date;MKT_World;HML_World;SMB_World;ESG_World;HDY_World;LOV_World;MOM_World;QLT_World;RF_World
1969-12-31;0;0;0;0;0;0;0;0;0
1970-01-31;-0,05472;0;0;0;0;0;0;0;-0,003303661
1970-02-28;0,032053995;0;0;0;0;0;0;0;0,002301922
1970-03-31;0,003987372;0;0;0;0;0;0;0;-0,011148978
1970-04-30;-0,092601101;0;0;0;0;0;0;0;0,007643517
1970-05-31;-0,062108307;0;0;0;0;0;0;0;-0,007222835
1970-06-30;-0,023609295;0;0;0;0;0;0;0;-0,009765986
1970-07-31;0,063104351;0;0;0;0;0;0;0;0,02469939
1970-08-31;0,033967062;0;0;0;0;0;0;0;0,007444918
1970-09-30;0,033242422;0;0;0;0;0;0;0;-7,6858E-05
1970-10-31;-0,013782211;0;0;0;0;0;0;0;0,002417371
1970-11-30;0,023386424;0;0;0;0;0;0;0;0,014902484
1970-12-31;0,050602384;0;0;0;0;0;0;0;0,026216776
1971-01-31;0,04691023;0;0;0;0;0;0;0;0,021391024
1971-02-28;0,011431077;0;0;0;0;0;0;0;-0,000998317
1971-03-31;0,044773962;0;0;0;0;0;0;0;0,003943144
1971-04-30;0,033503942;0;0;0;0;0;0;0;0,005264425
1971-05-31;-0,022914659;0;0;0;0;0;0;0;0,001694382
1971-06-30;0,010977169;0;0;0;0;0;0;0;-0,009331887
1971-07-31;-0,015202977;0;0;0;0;0;0;0;0,007903259
1971-08-31;0,022647428;0;0;0;0;0;0;0;0,01322011
1971-09-30;-0,008727397;0;0;0;0;0;0;0;0,011407407
1971-10-31;-0,036936163;0;0;0;0;0;0;0;0,011100881
1971-11-30;0,009329813;0;0;0;0;0;0;0;0,006008616
1971-12-31;0,0909184;0;0;0;0;0;0;0;0,011160293
1972-01-31;0,037451042;0;0;0;0;0;0;0;0,024529185
1972-02-29;0,039249231;0;0;0;0;0;0;0;0,014863577
1972-03-31;0,014586004;0;0;0;0;0;0;0;-0,004210162
1972-04-30;0,013994087;0;0;0;0;0;0;0;-0,010774592
1972-05-31;0,021086075;0;0;0;0;0;0;0;0,011928173
