"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";1996-12-31;0;"1996-12-31";-0,0156886623172883;"ALL";"Ensemble1"
"2";1997-01-31;0;"1997-01-31";0,0201595691539169;"ALL";"Ensemble1"
"3";1997-02-28;0;"1997-02-28";0,0170050801854584;"ALL";"Ensemble1"
"4";1997-03-31;0;"1997-03-31";-0,0202646618987309;"ALL";"Ensemble1"
"5";1997-04-30;0;"1997-04-30";0,0514530386383275;"ALL";"Ensemble1"
"6";1997-05-31;0;"1997-05-31";0,0700522612038235;"ALL";"Ensemble1"
"7";1997-06-30;0;"1997-06-30";0,0630103584709147;"ALL";"Ensemble1"
"8";1997-07-31;0;"1997-07-31";0,0556257405696563;"ALL";"Ensemble1"
"9";1997-08-31;0;"1997-08-31";-0,0748099954032466;"ALL";"Ensemble1"
"10";1997-09-30;0;"1997-09-30";0,0670788955768671;"ALL";"Ensemble1"
"11";1997-10-31;0;"1997-10-31";-0,0621706724044754;"ALL";"Ensemble1"
"12";1997-11-30;0;"1997-11-30";0,0295060822157608;"ALL";"Ensemble1"
"13";1997-12-31;0;"1997-12-31";0,015899060532452;"ALL";"Ensemble1"
"14";1998-01-31;0;"1998-01-31";0,0442058603042283;"ALL";"Ensemble1"
"15";1998-02-28;0;"1998-02-28";0,0800456273418641;"ALL";"Ensemble1"
"16";1998-03-31;0;"1998-03-31";0,0447997620860082;"ALL";"Ensemble1"
"17";1998-04-30;0;"1998-04-30";0,0124006161046306;"ALL";"Ensemble1"
"18";1998-05-31;0;"1998-05-31";-0,00810441223882924;"ALL";"Ensemble1"
"19";1998-06-30;0;"1998-06-30";0,0458537214916792;"ALL";"Ensemble1"
"20";1998-07-31;-0,0325473039208195;"1998-07-31";0,0029255912358175;"ALL";"Ensemble1"
"21";1998-08-31;0;"1998-08-31";-0,127036337689692;"ALL";"Ensemble1"
"22";1998-09-30;0;"1998-09-30";0,0286764021643337;"ALL";"Ensemble1"
"23";1998-10-31;0;"1998-10-31";0,0997217179043889;"ALL";"Ensemble1"
"24";1998-11-30;0;"1998-11-30";0,0722411346680308;"ALL";"Ensemble1"
"25";1998-12-31;0;"1998-12-31";0,0767787520070853;"ALL";"Ensemble1"
"26";1999-01-31;0;"1999-01-31";0,038468075807085;"ALL";"Ensemble1"
"27";1999-02-28;0;"1999-02-28";-0,0374121665252871;"ALL";"Ensemble1"
"28";1999-03-31;0;"1999-03-31";0,0463833817952353;"ALL";"Ensemble1"
"29";1999-04-30;0;"1999-04-30";0,0139849247893193;"ALL";"Ensemble1"
"30";1999-05-31;0;"1999-05-31";-0,0358280408037869;"ALL";"Ensemble1"
"31";1999-06-30;0,142526988573909;"1999-06-30";0,0671093576310061;"ALL";"Ensemble1"
"32";1999-07-31;0;"1999-07-31";-0,00519659550335667;"ALL";"Ensemble1"
"33";1999-08-31;0;"1999-08-31";0,0125061752877999;"ALL";"Ensemble1"
"34";1999-09-30;0,621996867887952;"1999-09-30";0,00299980908860428;"ALL";"Ensemble1"
"35";1999-10-31;0;"1999-10-31";0,0710996249855255;"ALL";"Ensemble1"
"36";1999-11-30;0;"1999-11-30";0,0590914938053967;"ALL";"Ensemble1"
"37";1999-12-31;0;"1999-12-31";0,120905251819205;"ALL";"Ensemble1"
"38";2000-01-31;0;"2000-01-31";-0,0631715252992992;"ALL";"Ensemble1"
"39";2000-02-29;0;"2000-02-29";0,034746261416587;"ALL";"Ensemble1"
