"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";1997-09-30;0;"1997-09-30";0,0458912982565052;"MEZZ";"Ensemble1"
"2";1997-10-31;-0,501146842173181;"1997-10-31";-0,0351886678471778;"MEZZ";"Ensemble1"
"3";1997-11-30;0;"1997-11-30";0,0173903617054301;"MEZZ";"Ensemble1"
"4";1997-12-31;0;"1997-12-31";0,0139105958708511;"MEZZ";"Ensemble1"
"5";1998-01-31;0;"1998-01-31";0,025888437225305;"MEZZ";"Ensemble1"
"6";1998-02-28;0;"1998-02-28";0,0543426985618866;"MEZZ";"Ensemble1"
"7";1998-03-31;0;"1998-03-31";0,0363390377044181;"MEZZ";"Ensemble1"
"8";1998-04-30;0;"1998-04-30";0,0119689800545877;"MEZZ";"Ensemble1"
"9";1998-05-31;0;"1998-05-31";-0,00518058373681281;"MEZZ";"Ensemble1"
"10";1998-06-30;0;"1998-06-30";0,0228670082330793;"MEZZ";"Ensemble1"
"11";1998-07-31;0;"1998-07-31";0,00339423834651696;"MEZZ";"Ensemble1"
"12";1998-08-31;0;"1998-08-31";-0,0943728657007605;"MEZZ";"Ensemble1"
"13";1998-09-30;0;"1998-09-30";0,0190444612940244;"MEZZ";"Ensemble1"
"14";1998-10-31;-0,0856216734865177;"1998-10-31";0,0716059908300371;"MEZZ";"Ensemble1"
"15";1998-11-30;0;"1998-11-30";0,047855379288961;"MEZZ";"Ensemble1"
"16";1998-12-31;0;"1998-12-31";0,0411249750697045;"MEZZ";"Ensemble1"
"17";1999-01-31;0;"1999-01-31";0,0203361591172997;"MEZZ";"Ensemble1"
"18";1999-02-28;0;"1999-02-28";-0,0172974255804697;"MEZZ";"Ensemble1"
"19";1999-03-31;0;"1999-03-31";0,0357110498079916;"MEZZ";"Ensemble1"
"20";1999-04-30;0;"1999-04-30";0,0323009688263309;"MEZZ";"Ensemble1"
"21";1999-05-31;0;"1999-05-31";-0,0245083993560376;"MEZZ";"Ensemble1"
"22";1999-06-30;0;"1999-06-30";0,0401038003195938;"MEZZ";"Ensemble1"
"23";1999-07-31;0;"1999-07-31";0,00148527910041899;"MEZZ";"Ensemble1"
"24";1999-08-31;0;"1999-08-31";0,00277322210127858;"MEZZ";"Ensemble1"
"25";1999-09-30;0;"1999-09-30";-0,0024607663795644;"MEZZ";"Ensemble1"
"26";1999-10-31;0;"1999-10-31";0,042732579531804;"MEZZ";"Ensemble1"
"27";1999-11-30;0;"1999-11-30";0,0256379149723521;"MEZZ";"Ensemble1"
"28";1999-12-31;0;"1999-12-31";0,0658488446324364;"MEZZ";"Ensemble1"
"29";2000-01-31;0;"2000-01-31";-0,0389547356485253;"MEZZ";"Ensemble1"
"30";2000-02-29;0;"2000-02-29";0,00735744129185215;"MEZZ";"Ensemble1"
"31";2000-03-31;0;"2000-03-31";0,0564854551071817;"MEZZ";"Ensemble1"
"32";2000-04-30;0;"2000-04-30";-0,0273035999800744;"MEZZ";"Ensemble1"
"33";2000-05-31;0;"2000-05-31";-0,0138788229907428;"MEZZ";"Ensemble1"
"34";2000-06-30;0;"2000-06-30";0,0306955376387465;"MEZZ";"Ensemble1"
"35";2000-07-31;0;"2000-07-31";-0,0168149912897347;"MEZZ";"Ensemble1"
"36";2000-08-31;0;"2000-08-31";0,0296546396750938;"MEZZ";"Ensemble1"
"37";2000-09-30;0;"2000-09-30";-0,035361169793306;"MEZZ";"Ensemble1"
"38";2000-10-31;-0,564538468493155;"2000-10-31";-0,00771997026056761;"MEZZ";"Ensemble1"
"39";2000-11-30;0;"2000-11-30";-0,0402623302161786;"MEZZ";"Ensemble1"
"40";2000-12-31;0;"2000-12-31";0,017109855146574;"MEZZ";"Ensemble1"
"41";2001-01-31;0;"2001-01-31";0,0215311689583086;"MEZZ";"Ensemble1"
"42";2001-02-28;0;"2001-02-28";-0,0601195646752352;"MEZZ";"Ensemble1"
"43";2001-03-31;0;"2001-03-31";-0,0445233569590757;"MEZZ";"Ensemble1"
"44";2001-04-30;0;"2001-04-30";0,0598643151292552;"MEZZ";"Ensemble1"
"45";2001-05-31;0;"2001-05-31";-0,00557785768002624;"MEZZ";"Ensemble1"
"46";2001-06-30;0;"2001-06-30";-0,0206921002862538;"MEZZ";"Ensemble1"
"47";2001-07-31;0;"2001-07-31";-0,00649654804921712;"MEZZ";"Ensemble1"
"48";2001-08-31;0;"2001-08-31";-0,0328857015493238;"MEZZ";"Ensemble1"
"49";2001-09-30;0;"2001-09-30";-0,0615799640018557;"MEZZ";"Ensemble1"
"50";2001-10-31;0;"2001-10-31";0,0176134686024348;"MEZZ";"Ensemble1"
"51";2001-11-30;0;"2001-11-30";0,0468351937050154;"MEZZ";"Ensemble1"
"52";2001-12-31;0;"2001-12-31";0,00640015413172704;"MEZZ";"Ensemble1"
"53";2002-01-31;0;"2002-01-31";-0,0212590121770299;"MEZZ";"Ensemble1"
"54";2002-02-28;0;"2002-02-28";-0,00472865414020645;"MEZZ";"Ensemble1"
"55";2002-03-31;0;"2002-03-31";0,0341542270741633;"MEZZ";"Ensemble1"
"56";2002-04-30;0;"2002-04-30";-0,0235353644799781;"MEZZ";"Ensemble1"
"57";2002-05-31;0;"2002-05-31";0,00321632964862932;"MEZZ";"Ensemble1"
"58";2002-06-30;0;"2002-06-30";-0,0437194776879655;"MEZZ";"Ensemble1"
"59";2002-07-31;0;"2002-07-31";-0,0611776180107968;"MEZZ";"Ensemble1"
"60";2002-08-31;0;"2002-08-31";0,0028875100257594;"MEZZ";"Ensemble1"
"61";2002-09-30;0;"2002-09-30";-0,0802980578954857;"MEZZ";"Ensemble1"
"62";2002-10-31;0;"2002-10-31";0,0570828477208187;"MEZZ";"Ensemble1"
"63";2002-11-30;0;"2002-11-30";0,0415940986644937;"MEZZ";"Ensemble1"
"64";2002-12-31;0;"2002-12-31";-0,0347633267353003;"MEZZ";"Ensemble1"
"65";2003-01-31;0;"2003-01-31";-0,021685762180528;"MEZZ";"Ensemble1"
"66";2003-02-28;0;"2003-02-28";-0,0118271197637705;"MEZZ";"Ensemble1"
"67";2003-03-31;1,00723959120666;"2003-03-31";-0,000660705807594558;"MEZZ";"Ensemble1"
"68";2003-04-30;0;"2003-04-30";0,067491738412323;"MEZZ";"Ensemble1"
"69";2003-05-31;0;"2003-05-31";0,0438364249156793;"MEZZ";"Ensemble1"
"70";2003-06-30;0;"2003-06-30";0,0144047192682584;"MEZZ";"Ensemble1"
"71";2003-07-31;0;"2003-07-31";0,0159821887009342;"MEZZ";"Ensemble1"
"72";2003-08-31;0;"2003-08-31";0,0170905501918775;"MEZZ";"Ensemble1"
"73";2003-09-30;0;"2003-09-30";0,00575791712098524;"MEZZ";"Ensemble1"
"74";2003-10-31;0;"2003-10-31";0,0453864932761436;"MEZZ";"Ensemble1"
"75";2003-11-30;0;"2003-11-30";0,0123760303243398;"MEZZ";"Ensemble1"
"76";2003-12-31;0;"2003-12-31";0,0478510309235161;"MEZZ";"Ensemble1"
"77";2004-01-31;0;"2004-01-31";0,0130399588883078;"MEZZ";"Ensemble1"
"78";2004-02-29;0;"2004-02-29";0,0134083011020463;"MEZZ";"Ensemble1"
"79";2004-03-31;0;"2004-03-31";-0,00384291023283454;"MEZZ";"Ensemble1"
"80";2004-04-30;0;"2004-04-30";-0,014122094813607;"MEZZ";"Ensemble1"
"81";2004-05-31;0;"2004-05-31";0,00801210974298372;"MEZZ";"Ensemble1"
"82";2004-06-30;0;"2004-06-30";0,0163322409463967;"MEZZ";"Ensemble1"
"83";2004-07-31;0;"2004-07-31";-0,0234365124061327;"MEZZ";"Ensemble1"
"84";2004-08-31;0;"2004-08-31";0,00471666036100107;"MEZZ";"Ensemble1"
"85";2004-09-30;0;"2004-09-30";0,0156278029537129;"MEZZ";"Ensemble1"
"86";2004-10-31;0;"2004-10-31";0,0198166048917351;"MEZZ";"Ensemble1"
"87";2004-11-30;0;"2004-11-30";0,0409658348342985;"MEZZ";"Ensemble1"
"88";2004-12-31;0;"2004-12-31";0,0306464614296855;"MEZZ";"Ensemble1"
"89";2005-01-31;0;"2005-01-31";-0,0150846801109337;"MEZZ";"Ensemble1"
"90";2005-02-28;0;"2005-02-28";0,0254691804672847;"MEZZ";"Ensemble1"
"91";2005-03-31;0;"2005-03-31";-0,0119537196636839;"MEZZ";"Ensemble1"
"92";2005-04-30;0;"2005-04-30";-0,0134547916414178;"MEZZ";"Ensemble1"
"93";2005-05-31;0;"2005-05-31";0,0164936828259005;"MEZZ";"Ensemble1"
"94";2005-06-30;0;"2005-06-30";0,00886391594628845;"MEZZ";"Ensemble1"
"95";2005-07-31;0;"2005-07-31";0,0287668410844257;"MEZZ";"Ensemble1"
"96";2005-08-31;0;"2005-08-31";0,00885396916938125;"MEZZ";"Ensemble1"
"97";2005-09-30;0;"2005-09-30";0,0225745012691357;"MEZZ";"Ensemble1"
"98";2005-10-31;0;"2005-10-31";-0,0155046316934372;"MEZZ";"Ensemble1"
"99";2005-11-30;0;"2005-11-30";0,0285614636026838;"MEZZ";"Ensemble1"
"100";2005-12-31;0;"2005-12-31";0,020199791475136;"MEZZ";"Ensemble1"
"101";2006-01-31;0;"2006-01-31";0,0365087877712657;"MEZZ";"Ensemble1"
"102";2006-02-28;0;"2006-02-28";0,00214701842391083;"MEZZ";"Ensemble1"
"103";2006-03-31;0;"2006-03-31";0,0209011125672161;"MEZZ";"Ensemble1"
"104";2006-04-30;0;"2006-04-30";0,0264099801531741;"MEZZ";"Ensemble1"
"105";2006-05-31;0;"2006-05-31";-0,021084824085041;"MEZZ";"Ensemble1"
"106";2006-06-30;0;"2006-06-30";0,00413817928047515;"MEZZ";"Ensemble1"
"107";2006-07-31;-0,0229593557723603;"2006-07-31";0,00846381948949771;"MEZZ";"Ensemble1"
"108";2006-08-31;0;"2006-08-31";0,0241489346481237;"MEZZ";"Ensemble1"
"109";2006-09-30;0;"2006-09-30";0,0134700384623214;"MEZZ";"Ensemble1"
"110";2006-10-31;-0,23574157047218;"2006-10-31";0,031374699917444;"MEZZ";"Ensemble1"
"111";2006-11-30;0;"2006-11-30";0,0229510780051368;"MEZZ";"Ensemble1"
"112";2006-12-31;0;"2006-12-31";0,0199255295623763;"MEZZ";"Ensemble1"
"113";2007-01-31;-0,0703518788726635;"2007-01-31";0,0128954356189669;"MEZZ";"Ensemble1"
"114";2007-02-28;0;"2007-02-28";0,000268388171082828;"MEZZ";"Ensemble1"
"115";2007-03-31;0;"2007-03-31";0,0186317220737382;"MEZZ";"Ensemble1"
"116";2007-04-30;0;"2007-04-30";0,0376530296637487;"MEZZ";"Ensemble1"
"117";2007-05-31;0;"2007-05-31";0,0261565879060908;"MEZZ";"Ensemble1"
"118";2007-06-30;0;"2007-06-30";-0,00133137902505199;"MEZZ";"Ensemble1"
"119";2007-07-31;0;"2007-07-31";-0,0124661070804896;"MEZZ";"Ensemble1"
"120";2007-08-31;0;"2007-08-31";0,00556518869094696;"MEZZ";"Ensemble1"
"121";2007-09-30;0;"2007-09-30";0,0393984495074987;"MEZZ";"Ensemble1"
"122";2007-10-31;0;"2007-10-31";0,0265133699201357;"MEZZ";"Ensemble1"
"123";2007-11-30;0;"2007-11-30";-0,0255833713479824;"MEZZ";"Ensemble1"
"124";2007-12-31;0;"2007-12-31";-0,00647653171911299;"MEZZ";"Ensemble1"
"125";2008-01-31;0;"2008-01-31";-0,0524325286326271;"MEZZ";"Ensemble1"
"126";2008-02-29;0;"2008-02-29";-0,00206883279888624;"MEZZ";"Ensemble1"
"127";2008-03-31;0;"2008-03-31";-0,00478344851784057;"MEZZ";"Ensemble1"
"128";2008-04-30;0;"2008-04-30";0,0411337025997044;"MEZZ";"Ensemble1"
"129";2008-05-31;0;"2008-05-31";0,0132850455469518;"MEZZ";"Ensemble1"
"130";2008-06-30;0,142379390721399;"2008-06-30";-0,0574908475432229;"MEZZ";"Ensemble1"
"131";2008-07-31;0;"2008-07-31";-0,0161957202918296;"MEZZ";"Ensemble1"
"132";2008-08-31;0;"2008-08-31";-0,00870460765476517;"MEZZ";"Ensemble1"
"133";2008-09-30;0;"2008-09-30";-0,0863531704841734;"MEZZ";"Ensemble1"
"134";2008-10-31;0;"2008-10-31";-0,139867165353176;"MEZZ";"Ensemble1"
"135";2008-11-30;0;"2008-11-30";-0,0467692952177227;"MEZZ";"Ensemble1"
"136";2008-12-31;0;"2008-12-31";0,0253777856633732;"MEZZ";"Ensemble1"
"137";2009-01-31;0;"2009-01-31";-0,0650012340285907;"MEZZ";"Ensemble1"
"138";2009-02-28;0;"2009-02-28";-0,0756872689262994;"MEZZ";"Ensemble1"
"139";2009-03-31;0;"2009-03-31";0,057383588741285;"MEZZ";"Ensemble1"
"140";2009-04-30;0;"2009-04-30";0,0848015050364435;"MEZZ";"Ensemble1"
"141";2009-05-31;0;"2009-05-31";0,0689123415665702;"MEZZ";"Ensemble1"
"142";2009-06-30;0;"2009-06-30";-0,00279591270192542;"MEZZ";"Ensemble1"
"143";2009-07-31;0;"2009-07-31";0,0639063235837477;"MEZZ";"Ensemble1"
"144";2009-08-31;0;"2009-08-31";0,0311624883974453;"MEZZ";"Ensemble1"
"145";2009-09-30;0;"2009-09-30";0,0305411916718198;"MEZZ";"Ensemble1"
"146";2009-10-31;0;"2009-10-31";-0,012756902045101;"MEZZ";"Ensemble1"
"147";2009-11-30;0;"2009-11-30";0,0312480803193608;"MEZZ";"Ensemble1"
"148";2009-12-31;0;"2009-12-31";0,0138270607196021;"MEZZ";"Ensemble1"
"149";2010-01-31;0;"2010-01-31";-0,0306589848918389;"MEZZ";"Ensemble1"
"150";2010-02-28;0;"2010-02-28";0,0110254998439312;"MEZZ";"Ensemble1"
"151";2010-03-31;0;"2010-03-31";0,0468417088985005;"MEZZ";"Ensemble1"
"152";2010-04-30;0;"2010-04-30";0,000768462495984819;"MEZZ";"Ensemble1"
"153";2010-05-31;0;"2010-05-31";-0,070795597336894;"MEZZ";"Ensemble1"
"154";2010-06-30;0;"2010-06-30";-0,0252234113445318;"MEZZ";"Ensemble1"
"155";2010-07-31;0;"2010-07-31";0,0610779127354093;"MEZZ";"Ensemble1"
"156";2010-08-31;0;"2010-08-31";-0,0274693321397306;"MEZZ";"Ensemble1"
"157";2010-09-30;0;"2010-09-30";0,0705305771723929;"MEZZ";"Ensemble1"
"158";2010-10-31;0;"2010-10-31";0,0283935483174825;"MEZZ";"Ensemble1"
"159";2010-11-30;0;"2010-11-30";-0,0155586224204381;"MEZZ";"Ensemble1"
"160";2010-12-31;0;"2010-12-31";0,0554110001866155;"MEZZ";"Ensemble1"
"161";2011-01-31;0;"2011-01-31";0,0169709861733205;"MEZZ";"Ensemble1"
"162";2011-02-28;0;"2011-02-28";0,0266229621099523;"MEZZ";"Ensemble1"
"163";2011-03-31;0;"2011-03-31";-0,00675799826551759;"MEZZ";"Ensemble1"
"164";2011-04-30;0;"2011-04-30";0,0325579334231829;"MEZZ";"Ensemble1"
"165";2011-05-31;0;"2011-05-31";-0,014644335220927;"MEZZ";"Ensemble1"
"166";2011-06-30;0;"2011-06-30";-0,0114497912033956;"MEZZ";"Ensemble1"
"167";2011-07-31;0;"2011-07-31";-0,0132343431860511;"MEZZ";"Ensemble1"
"168";2011-08-31;0;"2011-08-31";-0,0521123433391195;"MEZZ";"Ensemble1"
"169";2011-09-30;0;"2011-09-30";-0,064588645380392;"MEZZ";"Ensemble1"
"170";2011-10-31;0;"2011-10-31";0,0779059588739771;"MEZZ";"Ensemble1"
"171";2011-11-30;0;"2011-11-30";-0,0177448740782384;"MEZZ";"Ensemble1"
"172";2011-12-31;0,0928362734252984;"2011-12-31";-0,000337792286633927;"MEZZ";"Ensemble1"
"173";2012-01-31;0;"2012-01-31";0,0379600425874298;"MEZZ";"Ensemble1"
"174";2012-02-29;0;"2012-02-29";0,0370551508800725;"MEZZ";"Ensemble1"
"175";2012-03-31;0;"2012-03-31";0,0102194505349338;"MEZZ";"Ensemble1"
"176";2012-04-30;0;"2012-04-30";-0,00780239039654054;"MEZZ";"Ensemble1"
"177";2012-05-31;0;"2012-05-31";-0,0637839002914893;"MEZZ";"Ensemble1"
"178";2012-06-30;0;"2012-06-30";0,0383747673264512;"MEZZ";"Ensemble1"
"179";2012-07-31;0;"2012-07-31";0,00999184411938314;"MEZZ";"Ensemble1"
"180";2012-08-31;0;"2012-08-31";0,0195602721196575;"MEZZ";"Ensemble1"
"181";2012-09-30;0;"2012-09-30";0,0209365809750331;"MEZZ";"Ensemble1"
"182";2012-10-31;0;"2012-10-31";-0,00496216751506607;"MEZZ";"Ensemble1"
"183";2012-11-30;0;"2012-11-30";0,010340014775159;"MEZZ";"Ensemble1"
"184";2012-12-31;0,0765798939194444;"2012-12-31";0,0144500820366901;"MEZZ";"Ensemble1"
"185";2013-01-31;0;"2013-01-31";0,0383041129665017;"MEZZ";"Ensemble1"
"186";2013-02-28;0;"2013-02-28";0,00172726674542314;"MEZZ";"Ensemble1"
"187";2013-03-31;0;"2013-03-31";0,0181358804583805;"MEZZ";"Ensemble1"
"188";2013-04-30;0;"2013-04-30";0,0240695106980676;"MEZZ";"Ensemble1"
"189";2013-05-31;0;"2013-05-31";0,00103246868928525;"MEZZ";"Ensemble1"
"190";2013-06-30;0;"2013-06-30";-0,0181550203927666;"MEZZ";"Ensemble1"
"191";2013-07-31;0;"2013-07-31";0,0397615111046017;"MEZZ";"Ensemble1"
"192";2013-08-31;0;"2013-08-31";-0,0154471400376353;"MEZZ";"Ensemble1"
"193";2013-09-30;0;"2013-09-30";0,0379112552070441;"MEZZ";"Ensemble1"
"194";2013-10-31;0;"2013-10-31";0,0293997634741166;"MEZZ";"Ensemble1"
"195";2013-11-30;0;"2013-11-30";0,0137285258738931;"MEZZ";"Ensemble1"
"196";2013-12-31;0;"2013-12-31";0,016278780331127;"MEZZ";"Ensemble1"
"197";2014-01-31;-0,0024794801611704;"2014-01-31";-0,0274876322829218;"MEZZ";"Ensemble1"
"198";2014-02-28;0;"2014-02-28";0,0379923148556256;"MEZZ";"Ensemble1"
"199";2014-03-31;0;"2014-03-31";0,00135050298234305;"MEZZ";"Ensemble1"
"200";2014-04-30;0;"2014-04-30";0,008033293115652;"MEZZ";"Ensemble1"
"201";2014-05-31;0;"2014-05-31";0,0156156884861848;"MEZZ";"Ensemble1"
"202";2014-06-30;0;"2014-06-30";0,0137398648192186;"MEZZ";"Ensemble1"
"203";2014-07-31;0;"2014-07-31";-0,0117311208266399;"MEZZ";"Ensemble1"
"204";2014-08-31;0;"2014-08-31";0,0169924422253233;"MEZZ";"Ensemble1"
"205";2014-09-30;0;"2014-09-30";-0,0199388412967171;"MEZZ";"Ensemble1"
"206";2014-10-31;0;"2014-10-31";0,00515155033311391;"MEZZ";"Ensemble1"
"207";2014-11-30;0;"2014-11-30";0,015548074560418;"MEZZ";"Ensemble1"
"208";2014-12-31;0;"2014-12-31";-0,0117628111176285;"MEZZ";"Ensemble1"
"209";2015-01-31;0;"2015-01-31";-0,0130470091500827;"MEZZ";"Ensemble1"
"210";2015-02-28;0;"2015-02-28";0,0443841924279892;"MEZZ";"Ensemble1"
"211";2015-03-31;0;"2015-03-31";-0,0111056066294135;"MEZZ";"Ensemble1"
"212";2015-04-30;0;"2015-04-30";0,0179547362546554;"MEZZ";"Ensemble1"
"213";2015-05-31;0;"2015-05-31";0,00335426557338613;"MEZZ";"Ensemble1"
"214";2015-06-30;0;"2015-06-30";-0,0169381643623978;"MEZZ";"Ensemble1"
"215";2015-07-31;0;"2015-07-31";0,0138788275242389;"MEZZ";"Ensemble1"
"216";2015-08-31;0;"2015-08-31";-0,0492333961156638;"MEZZ";"Ensemble1"
"217";2015-09-30;0;"2015-09-30";-0,0269101113330057;"MEZZ";"Ensemble1"
"218";2015-10-31;0;"2015-10-31";0,059477460291201;"MEZZ";"Ensemble1"
"219";2015-11-30;0;"2015-11-30";-0,003339526495407;"MEZZ";"Ensemble1"
"220";2015-12-31;0;"2015-12-31";-0,0126073319189329;"MEZZ";"Ensemble1"
"221";2016-01-31;0;"2016-01-31";-0,0444294044501946;"MEZZ";"Ensemble1"
"222";2016-02-29;0;"2016-02-29";-0,0049091066899826;"MEZZ";"Ensemble1"
"223";2016-03-31;0;"2016-03-31";0,0518693534139972;"MEZZ";"Ensemble1"
"224";2016-04-30;0;"2016-04-30";0,0124528594748283;"MEZZ";"Ensemble1"
"225";2016-05-31;0;"2016-05-31";0,00503753632162519;"MEZZ";"Ensemble1"
"226";2016-06-30;0;"2016-06-30";-0,00750180347807393;"MEZZ";"Ensemble1"
"227";2016-07-31;0;"2016-07-31";0,0321592813344863;"MEZZ";"Ensemble1"
"228";2016-08-31;0;"2016-08-31";0,00102083661081058;"MEZZ";"Ensemble1"
"229";2016-09-30;0;"2016-09-30";0,00477564161632118;"MEZZ";"Ensemble1"
"230";2016-10-31;0;"2016-10-31";-0,014298057832925;"MEZZ";"Ensemble1"
"231";2016-11-30;0;"2016-11-30";0,0110176746174894;"MEZZ";"Ensemble1"
"232";2016-12-31;0;"2016-12-31";0,0183532844705734;"MEZZ";"Ensemble1"
"233";2017-01-31;0;"2017-01-31";0,0190106315575262;"MEZZ";"Ensemble1"
"234";2017-02-28;0;"2017-02-28";0,0216214197681441;"MEZZ";"Ensemble1"
"235";2017-03-31;0;"2017-03-31";0,00879533737493699;"MEZZ";"Ensemble1"
"236";2017-04-30;0;"2017-04-30";0,0122615940334071;"MEZZ";"Ensemble1"
"237";2017-05-31;0;"2017-05-31";0,0173448155124289;"MEZZ";"Ensemble1"
"238";2017-06-30;0;"2017-06-30";0,0037577905168588;"MEZZ";"Ensemble1"
"239";2017-07-31;0;"2017-07-31";0,0189947945923502;"MEZZ";"Ensemble1"
"240";2017-08-31;0;"2017-08-31";0,00265904655854083;"MEZZ";"Ensemble1"
"241";2017-09-30;0;"2017-09-30";0,0177883908210628;"MEZZ";"Ensemble1"
"242";2017-10-31;-0,0446254388782119;"2017-10-31";0,0153112189601025;"MEZZ";"Ensemble1"
"243";2017-11-30;0;"2017-11-30";0,0173703875611483;"MEZZ";"Ensemble1"
"244";2017-12-31;0;"2017-12-31";0,0112841294741182;"MEZZ";"Ensemble1"
"245";2018-01-31;0;"2018-01-31";0,0410579246328811;"MEZZ";"Ensemble1"
"246";2018-02-28;0;"2018-02-28";-0,0297090901602918;"MEZZ";"Ensemble1"
"247";2018-03-31;0;"2018-03-31";-0,0144398825208191;"MEZZ";"Ensemble1"
"248";2018-04-30;0;"2018-04-30";0,0103673186846654;"MEZZ";"Ensemble1"
"249";2018-05-31;0;"2018-05-31";0,00735019802424714;"MEZZ";"Ensemble1"
"250";2018-06-30;0;"2018-06-30";0,00155948039206147;"MEZZ";"Ensemble1"
"251";2018-07-31;-0,0179945200717149;"2018-07-31";0,0250369862186205;"MEZZ";"Ensemble1"
"252";2018-08-31;0;"2018-08-31";0,011822056679177;"MEZZ";"Ensemble1"
"253";2018-09-30;0;"2018-09-30";0,00583132592621605;"MEZZ";"Ensemble1"
"254";2018-10-31;0;"2018-10-31";-0,0534271369966445;"MEZZ";"Ensemble1"
"255";2018-11-30;0;"2018-11-30";0,0108060919900763;"MEZZ";"Ensemble1"
"256";2018-12-31;0;"2018-12-31";-0,0546190406309029;"MEZZ";"Ensemble1"
"257";2019-01-31;0;"2019-01-31";0,060774254553829;"MEZZ";"Ensemble1"
"258";2019-02-28;0;"2019-02-28";0,0248339709992098;"MEZZ";"Ensemble1"
"259";2019-03-31;0;"2019-03-31";0,0127888503156116;"MEZZ";"Ensemble1"
"260";2019-04-30;0;"2019-04-30";0,0291042731668822;"MEZZ";"Ensemble1"
"261";2019-05-31;0;"2019-05-31";-0,0400927352098237;"MEZZ";"Ensemble1"
"262";2019-06-30;0;"2019-06-30";0,052054587091805;"MEZZ";"Ensemble1"
"263";2019-07-31;0;"2019-07-31";0,00583400294090167;"MEZZ";"Ensemble1"
"264";2019-08-31;0;"2019-08-31";-0,0125970952261566;"MEZZ";"Ensemble1"
"265";2019-09-30;0;"2019-09-30";0,0175682264618342;"MEZZ";"Ensemble1"
"266";2019-10-31;0;"2019-10-31";0,0214792259897374;"MEZZ";"Ensemble1"
"267";2019-11-30;0;"2019-11-30";0,0225994169815203;"MEZZ";"Ensemble1"
"268";2019-12-31;0;"2019-12-31";0,0241474367069246;"MEZZ";"Ensemble1"
"269";2020-01-31;0;"2020-01-31";-0,00248069660901299;"MEZZ";"Ensemble1"
"270";2020-02-29;0;"2020-02-29";-0,0609562351003373;"MEZZ";"Ensemble1"
"271";2020-03-31;0;"2020-03-31";-0,0948535111848775;"MEZZ";"Ensemble1"
"272";2020-04-30;0;"2020-04-30";0,0827721038974254;"MEZZ";"Ensemble1"
"273";2020-05-31;0;"2020-05-31";0,0370858014566845;"MEZZ";"Ensemble1"
"274";2020-06-30;0;"2020-06-30";0,0206767745484151;"MEZZ";"Ensemble1"
"275";2020-07-31;0;"2020-07-31";0,0367727589374805;"MEZZ";"Ensemble1"
"276";2020-08-31;0;"2020-08-31";0,0508282322107779;"MEZZ";"Ensemble1"
"277";2020-09-30;0;"2020-09-30";-0,0255095211375189;"MEZZ";"Ensemble1"
"278";2020-10-31;0;"2020-10-31";-0,0227415847073355;"MEZZ";"Ensemble1"
"279";2020-11-30;0;"2020-11-30";0,0957641134537009;"MEZZ";"Ensemble1"
"280";2020-12-31;0,0367108144441465;"2020-12-31";0,0322507783086631;"MEZZ";"Ensemble1"
"281";2021-01-31;0;"2021-01-31";-0,00714753985021019;"MEZZ";"Ensemble1"
"282";2021-02-28;0;"2021-02-28";0,0190889096903392;"MEZZ";"Ensemble1"
"283";2021-03-31;0;"2021-03-31";0,0249172565921071;"MEZZ";"Ensemble1"
"284";2021-04-30;0;"2021-04-30";0,035554487927555;"MEZZ";"Ensemble1"
"285";2021-05-31;0;"2021-05-31";0,0109180701906157;"MEZZ";"Ensemble1"
