"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";1997-09-30;0;"1997-09-30";0,00893714982054518;"NATRES";"Ensemble1"
"2";1997-10-31;0;"1997-10-31";-0,00956143347661256;"NATRES";"Ensemble1"
"3";1997-11-30;0;"1997-11-30";0,013120367991181;"NATRES";"Ensemble1"
"4";1997-12-31;0;"1997-12-31";0,00127787017528791;"NATRES";"Ensemble1"
"5";1998-01-31;0;"1998-01-31";0,0181243025647538;"NATRES";"Ensemble1"
"6";1998-02-28;0;"1998-02-28";0,00735012676357484;"NATRES";"Ensemble1"
"7";1998-03-31;0;"1998-03-31";-0,00455501632491408;"NATRES";"Ensemble1"
"8";1998-04-30;0;"1998-04-30";4,80375500305237e-05;"NATRES";"Ensemble1"
"9";1998-05-31;0;"1998-05-31";0,00608734602217382;"NATRES";"Ensemble1"
"10";1998-06-30;0,183699550723349;"1998-06-30";0,0274371997915466;"NATRES";"Ensemble1"
"11";1998-07-31;0,329986467461011;"1998-07-31";0,00453411382639994;"NATRES";"Ensemble1"
"12";1998-08-31;0;"1998-08-31";0,024971000006148;"NATRES";"Ensemble1"
"13";1998-09-30;0,193138715248004;"1998-09-30";0,0110047013623135;"NATRES";"Ensemble1"
"14";1998-10-31;0;"1998-10-31";-0,000590093850053565;"NATRES";"Ensemble1"
"15";1998-11-30;0;"1998-11-30";0,00923402804209846;"NATRES";"Ensemble1"
"16";1998-12-31;0;"1998-12-31";0,0330428548312223;"NATRES";"Ensemble1"
"17";1999-01-31;0;"1999-01-31";0,0198841728747922;"NATRES";"Ensemble1"
"18";1999-02-28;0;"1999-02-28";-0,0142385771343203;"NATRES";"Ensemble1"
"19";1999-03-31;0;"1999-03-31";-0,00107648896530195;"NATRES";"Ensemble1"
"20";1999-04-30;0;"1999-04-30";-0,0456006216453355;"NATRES";"Ensemble1"
"21";1999-05-31;0;"1999-05-31";0,00448317777809555;"NATRES";"Ensemble1"
"22";1999-06-30;0;"1999-06-30";0,0217328932889203;"NATRES";"Ensemble1"
"23";1999-07-31;0;"1999-07-31";-0,00501374181865983;"NATRES";"Ensemble1"
"24";1999-08-31;0;"1999-08-31";0,0195962003613613;"NATRES";"Ensemble1"
"25";1999-09-30;0;"1999-09-30";0,0179342955492942;"NATRES";"Ensemble1"
"26";1999-10-31;0;"1999-10-31";0,0196620130105227;"NATRES";"Ensemble1"
"27";1999-11-30;0;"1999-11-30";0,0405123397571346;"NATRES";"Ensemble1"
"28";1999-12-31;0;"1999-12-31";0,0465300895464241;"NATRES";"Ensemble1"
"29";2000-01-31;0;"2000-01-31";-0,00321232407008379;"NATRES";"Ensemble1"
"30";2000-02-29;0;"2000-02-29";0,0452880929096406;"NATRES";"Ensemble1"
"31";2000-03-31;0;"2000-03-31";-0,00674740600328158;"NATRES";"Ensemble1"
"32";2000-04-30;0;"2000-04-30";-0,0253794958099661;"NATRES";"Ensemble1"
"33";2000-05-31;0;"2000-05-31";-0,0343877574011129;"NATRES";"Ensemble1"
"34";2000-06-30;0;"2000-06-30";0,0354774711508036;"NATRES";"Ensemble1"
"35";2000-07-31;0;"2000-07-31";-0,0220055178976175;"NATRES";"Ensemble1"
"36";2000-08-31;0;"2000-08-31";0,00805745809036047;"NATRES";"Ensemble1"
"37";2000-09-30;0;"2000-09-30";-0,0383469369192515;"NATRES";"Ensemble1"
"38";2000-10-31;0;"2000-10-31";-0,0247085722046811;"NATRES";"Ensemble1"
"39";2000-11-30;0;"2000-11-30";-0,013970879691311;"NATRES";"Ensemble1"
"40";2000-12-31;0;"2000-12-31";-0,0353087796587559;"NATRES";"Ensemble1"
"41";2001-01-31;0;"2001-01-31";0,0190100421744888;"NATRES";"Ensemble1"
"42";2001-02-28;0;"2001-02-28";-0,043221032503974;"NATRES";"Ensemble1"
"43";2001-03-31;0;"2001-03-31";-0,0130693065443327;"NATRES";"Ensemble1"
"44";2001-04-30;0;"2001-04-30";0,0121300858342918;"NATRES";"Ensemble1"
"45";2001-05-31;0;"2001-05-31";-0,00529334678381075;"NATRES";"Ensemble1"
"46";2001-06-30;0;"2001-06-30";-0,00122188064631276;"NATRES";"Ensemble1"
"47";2001-07-31;0;"2001-07-31";0,00189896731805373;"NATRES";"Ensemble1"
"48";2001-08-31;0;"2001-08-31";-0,0123963306581289;"NATRES";"Ensemble1"
"49";2001-09-30;0;"2001-09-30";0,00987743052009116;"NATRES";"Ensemble1"
"50";2001-10-31;0;"2001-10-31";0,0296533772909707;"NATRES";"Ensemble1"
"51";2001-11-30;0;"2001-11-30";0,0217975531127555;"NATRES";"Ensemble1"
"52";2001-12-31;0;"2001-12-31";0,000686187494425036;"NATRES";"Ensemble1"
"53";2002-01-31;0;"2002-01-31";-0,00128115207532521;"NATRES";"Ensemble1"
"54";2002-02-28;0;"2002-02-28";0,0145754536789314;"NATRES";"Ensemble1"
"55";2002-03-31;0;"2002-03-31";-0,0236729349853767;"NATRES";"Ensemble1"
"56";2002-04-30;0;"2002-04-30";-0,00667323025913136;"NATRES";"Ensemble1"
"57";2002-05-31;0;"2002-05-31";-0,00704869079606955;"NATRES";"Ensemble1"
"58";2002-06-30;0,22561374257474;"2002-06-30";0,00464727386845067;"NATRES";"Ensemble1"
"59";2002-07-31;0;"2002-07-31";0,0175619558204464;"NATRES";"Ensemble1"
"60";2002-08-31;0;"2002-08-31";-0,00113087660811927;"NATRES";"Ensemble1"
"61";2002-09-30;0;"2002-09-30";0,0142379028359259;"NATRES";"Ensemble1"
"62";2002-10-31;0;"2002-10-31";0,00651133057115014;"NATRES";"Ensemble1"
