"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";2003-03-31;0;"2003-03-31";-0,0154883632582855;"PD";"Ensemble1"
"2";2003-04-30;0;"2003-04-30";0,0982287670141533;"PD";"Ensemble1"
"3";2003-05-31;0;"2003-05-31";0,0690995118573;"PD";"Ensemble1"
"4";2003-06-30;0;"2003-06-30";0,0204807102880443;"PD";"Ensemble1"
"5";2003-07-31;0;"2003-07-31";0,0195189043877818;"PD";"Ensemble1"
"6";2003-08-31;0;"2003-08-31";0,0214085282765;"PD";"Ensemble1"
"7";2003-09-30;0;"2003-09-30";0,00669410069320888;"PD";"Ensemble1"
"8";2003-10-31;0;"2003-10-31";0,0512493900655487;"PD";"Ensemble1"
"9";2003-11-30;0;"2003-11-30";0,0152680526416731;"PD";"Ensemble1"
"10";2003-12-31;0;"2003-12-31";0,072617578916981;"PD";"Ensemble1"
"11";2004-01-31;0;"2004-01-31";0,00942449250209065;"PD";"Ensemble1"
"12";2004-02-29;0;"2004-02-29";0,0211612844539202;"PD";"Ensemble1"
"13";2004-03-31;0;"2004-03-31";-0,000266169666332566;"PD";"Ensemble1"
"14";2004-04-30;-0,0692215840235128;"2004-04-30";-0,0164783275832116;"PD";"Ensemble1"
"15";2004-05-31;0;"2004-05-31";0,00762528700229382;"PD";"Ensemble1"
"16";2004-06-30;0;"2004-06-30";0,0281384914070018;"PD";"Ensemble1"
"17";2004-07-31;0;"2004-07-31";-0,00755827298592755;"PD";"Ensemble1"
"18";2004-08-31;0;"2004-08-31";0,0144704015213256;"PD";"Ensemble1"
"19";2004-09-30;0;"2004-09-30";0,0165479319595537;"PD";"Ensemble1"
"20";2004-10-31;0;"2004-10-31";0,0225445996212701;"PD";"Ensemble1"
"21";2004-11-30;0;"2004-11-30";0,0488537404824534;"PD";"Ensemble1"
"22";2004-12-31;0;"2004-12-31";0,0354060251640447;"PD";"Ensemble1"
"23";2005-01-31;0;"2005-01-31";-0,0115519475843582;"PD";"Ensemble1"
"24";2005-02-28;0;"2005-02-28";0,0364281664928592;"PD";"Ensemble1"
"25";2005-03-31;0;"2005-03-31";-0,0138292766599616;"PD";"Ensemble1"
"26";2005-04-30;0;"2005-04-30";-0,0152486022813468;"PD";"Ensemble1"
"27";2005-05-31;0;"2005-05-31";0,00836953992173156;"PD";"Ensemble1"
"28";2005-06-30;0;"2005-06-30";0,0151948079918838;"PD";"Ensemble1"
"29";2005-07-31;0;"2005-07-31";0,0243429109100146;"PD";"Ensemble1"
"30";2005-08-31;0;"2005-08-31";0,00802524938277775;"PD";"Ensemble1"
"31";2005-09-30;0;"2005-09-30";0,0306094633620781;"PD";"Ensemble1"
"32";2005-10-31;-0,117512419109007;"2005-10-31";-0,0216701048145744;"PD";"Ensemble1"
"33";2005-11-30;0;"2005-11-30";0,0337116513109139;"PD";"Ensemble1"
"34";2005-12-31;0;"2005-12-31";0,0230586948798748;"PD";"Ensemble1"
"35";2006-01-31;0;"2006-01-31";0,0392246930738289;"PD";"Ensemble1"
"36";2006-02-28;0;"2006-02-28";0,0135546766077502;"PD";"Ensemble1"
"37";2006-03-31;0;"2006-03-31";0,0195603556970886;"PD";"Ensemble1"
"38";2006-04-30;0;"2006-04-30";0,0386436358046809;"PD";"Ensemble1"
"39";2006-05-31;0;"2006-05-31";-0,0188592985195262;"PD";"Ensemble1"
"40";2006-06-30;0;"2006-06-30";0,00607990794607893;"PD";"Ensemble1"
"41";2006-07-31;0;"2006-07-31";0,0270097393757773;"PD";"Ensemble1"
"42";2006-08-31;0;"2006-08-31";0,0265243072551608;"PD";"Ensemble1"
"43";2006-09-30;0;"2006-09-30";0,0185750334160203;"PD";"Ensemble1"
"44";2006-10-31;0;"2006-10-31";0,0365717703673166;"PD";"Ensemble1"
"45";2006-11-30;0;"2006-11-30";0,0249613646381695;"PD";"Ensemble1"
"46";2006-12-31;0;"2006-12-31";0,0314189168882325;"PD";"Ensemble1"
"47";2007-01-31;0;"2007-01-31";0,00921961292467186;"PD";"Ensemble1"
"48";2007-02-28;0;"2007-02-28";0,00130072183114853;"PD";"Ensemble1"
"49";2007-03-31;0;"2007-03-31";0,0195449580125919;"PD";"Ensemble1"
"50";2007-04-30;-0,106147388687401;"2007-04-30";0,0430825969346178;"PD";"Ensemble1"
"51";2007-05-31;0;"2007-05-31";0,0279685707845256;"PD";"Ensemble1"
"52";2007-06-30;0;"2007-06-30";-0,00641814557316761;"PD";"Ensemble1"
"53";2007-07-31;0;"2007-07-31";-0,0269670822458116;"PD";"Ensemble1"
"54";2007-08-31;0;"2007-08-31";0,00186484627896917;"PD";"Ensemble1"
"55";2007-09-30;0;"2007-09-30";0,0359035843881318;"PD";"Ensemble1"
"56";2007-10-31;0;"2007-10-31";0,0189504458766842;"PD";"Ensemble1"
"57";2007-11-30;0;"2007-11-30";-0,0411875566016971;"PD";"Ensemble1"
"58";2007-12-31;0;"2007-12-31";-0,0145060477966714;"PD";"Ensemble1"
"59";2008-01-31;0;"2008-01-31";-0,0484150546515733;"PD";"Ensemble1"
"60";2008-02-29;0;"2008-02-29";-0,0214939095893515;"PD";"Ensemble1"
"61";2008-03-31;0;"2008-03-31";-0,00192577639702476;"PD";"Ensemble1"
"62";2008-04-30;0;"2008-04-30";0,0427443509655457;"PD";"Ensemble1"
"63";2008-05-31;0;"2008-05-31";-0,00656006030807443;"PD";"Ensemble1"
"64";2008-06-30;0;"2008-06-30";-0,084166091774552;"PD";"Ensemble1"
"65";2008-07-31;0;"2008-07-31";-0,0104467123687788;"PD";"Ensemble1"
"66";2008-08-31;0;"2008-08-31";-0,00426921084670852;"PD";"Ensemble1"
"67";2008-09-30;0;"2008-09-30";-0,0744246310857323;"PD";"Ensemble1"
"68";2008-10-31;0;"2008-10-31";-0,152573294966584;"PD";"Ensemble1"
"69";2008-11-30;0;"2008-11-30";-0,0386310892174366;"PD";"Ensemble1"
"70";2008-12-31;0,514246590528061;"2008-12-31";0,0252651168224847;"PD";"Ensemble1"
"71";2009-01-31;0;"2009-01-31";-0,10576289339731;"PD";"Ensemble1"
"72";2009-02-28;0;"2009-02-28";-0,1102633831839;"PD";"Ensemble1"
"73";2009-03-31;0;"2009-03-31";0,0705443785298021;"PD";"Ensemble1"
"74";2009-04-30;0;"2009-04-30";0,127024263782536;"PD";"Ensemble1"
"75";2009-05-31;0;"2009-05-31";0,084511825442359;"PD";"Ensemble1"
"76";2009-06-30;0;"2009-06-30";-0,011504935521915;"PD";"Ensemble1"
"77";2009-07-31;0;"2009-07-31";0,080764153893985;"PD";"Ensemble1"
"78";2009-08-31;0;"2009-08-31";0,0589750081755323;"PD";"Ensemble1"
"79";2009-09-30;0;"2009-09-30";0,0280319411789935;"PD";"Ensemble1"
"80";2009-10-31;0;"2009-10-31";-0,0253628118085775;"PD";"Ensemble1"
"81";2009-11-30;0;"2009-11-30";0,0339781692246393;"PD";"Ensemble1"
"82";2009-12-31;0;"2009-12-31";0,00622579088870727;"PD";"Ensemble1"
"83";2010-01-31;0;"2010-01-31";-0,0264576902709564;"PD";"Ensemble1"
"84";2010-02-28;0;"2010-02-28";0,00476723451431436;"PD";"Ensemble1"
"85";2010-03-31;0;"2010-03-31";0,0549551088529538;"PD";"Ensemble1"
"86";2010-04-30;0;"2010-04-30";-0,0017508579886583;"PD";"Ensemble1"
"87";2010-05-31;0;"2010-05-31";-0,0816174080918526;"PD";"Ensemble1"
"88";2010-06-30;0;"2010-06-30";-0,0291393498021508;"PD";"Ensemble1"
"89";2010-07-31;0;"2010-07-31";0,0736155434033361;"PD";"Ensemble1"
"90";2010-08-31;0;"2010-08-31";-0,0318098134843475;"PD";"Ensemble1"
"91";2010-09-30;0,0629437517826489;"2010-09-30";0,0643836809055525;"PD";"Ensemble1"
"92";2010-10-31;0;"2010-10-31";0,0252948720809662;"PD";"Ensemble1"
"93";2010-11-30;0;"2010-11-30";-0,029816439692286;"PD";"Ensemble1"
"94";2010-12-31;0,107149557171022;"2010-12-31";0,0708228556544122;"PD";"Ensemble1"
"95";2011-01-31;0;"2011-01-31";0,0336959097532103;"PD";"Ensemble1"
"96";2011-02-28;0;"2011-02-28";0,0359486643933774;"PD";"Ensemble1"
"97";2011-03-31;0;"2011-03-31";-0,0147966088914056;"PD";"Ensemble1"
"98";2011-04-30;0;"2011-04-30";0,0360117685437069;"PD";"Ensemble1"
"99";2011-05-31;0;"2011-05-31";-0,0212793196688326;"PD";"Ensemble1"
"100";2011-06-30;0;"2011-06-30";-0,0133633464541622;"PD";"Ensemble1"
"101";2011-07-31;0;"2011-07-31";-0,0285551093153911;"PD";"Ensemble1"
"102";2011-08-31;0;"2011-08-31";-0,06293490299076;"PD";"Ensemble1"
"103";2011-09-30;0;"2011-09-30";-0,0617796095292268;"PD";"Ensemble1"
"104";2011-10-31;0;"2011-10-31";0,0788425998169072;"PD";"Ensemble1"
"105";2011-11-30;0;"2011-11-30";-0,024374037326761;"PD";"Ensemble1"
"106";2011-12-31;0;"2011-12-31";0,0134313650762298;"PD";"Ensemble1"
"107";2012-01-31;0;"2012-01-31";0,0325361718593081;"PD";"Ensemble1"
"108";2012-02-29;0;"2012-02-29";0,0388363829812313;"PD";"Ensemble1"
"109";2012-03-31;0;"2012-03-31";0,00767480755388888;"PD";"Ensemble1"
"110";2012-04-30;0;"2012-04-30";-0,0164194855008228;"PD";"Ensemble1"
"111";2012-05-31;0;"2012-05-31";-0,0727953711516297;"PD";"Ensemble1"
"112";2012-06-30;0,00226743025470649;"2012-06-30";0,0576167186682676;"PD";"Ensemble1"
"113";2012-07-31;0;"2012-07-31";0,008970125364969;"PD";"Ensemble1"
"114";2012-08-31;0;"2012-08-31";0,0189484601155815;"PD";"Ensemble1"
"115";2012-09-30;0;"2012-09-30";0,0279352737361126;"PD";"Ensemble1"
"116";2012-10-31;0;"2012-10-31";0,00521048283178237;"PD";"Ensemble1"
"117";2012-11-30;0;"2012-11-30";0,00166472655616598;"PD";"Ensemble1"
"118";2012-12-31;0;"2012-12-31";0,0272924554546066;"PD";"Ensemble1"
"119";2013-01-31;0;"2013-01-31";0,0529990011702061;"PD";"Ensemble1"
"120";2013-02-28;0;"2013-02-28";-0,00376166351603459;"PD";"Ensemble1"
"121";2013-03-31;0;"2013-03-31";0,0172887051944758;"PD";"Ensemble1"
