"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";1997-12-31;0;"1997-12-31";0,0167088139840478;"RE";"Ensemble1"
"2";1998-01-31;-0,95112653009527;"1998-01-31";0,0339266565192377;"RE";"Ensemble1"
"3";1998-02-28;0;"1998-02-28";0,0715177143700897;"RE";"Ensemble1"
"4";1998-03-31;0;"1998-03-31";0,0461452772627043;"RE";"Ensemble1"
"5";1998-04-30;0;"1998-04-30";0,0140755402442575;"RE";"Ensemble1"
"6";1998-05-31;0;"1998-05-31";-0,0081016023162271;"RE";"Ensemble1"
"7";1998-06-30;0;"1998-06-30";0,0306164514564898;"RE";"Ensemble1"
"8";1998-07-31;0;"1998-07-31";0,00303485250707984;"RE";"Ensemble1"
"9";1998-08-31;0;"1998-08-31";-0,125937512719024;"RE";"Ensemble1"
"10";1998-09-30;0,62357358213512;"1998-09-30";0,0239175453872752;"RE";"Ensemble1"
"11";1998-10-31;0;"1998-10-31";0,0937892240131583;"RE";"Ensemble1"
"12";1998-11-30;0;"1998-11-30";0,0631763106116521;"RE";"Ensemble1"
"13";1998-12-31;0;"1998-12-31";0,0556226435894536;"RE";"Ensemble1"
"14";1999-01-31;0;"1999-01-31";0,0271115343224057;"RE";"Ensemble1"
"15";1999-02-28;0;"1999-02-28";-0,0252314267030736;"RE";"Ensemble1"
"16";1999-03-31;0;"1999-03-31";0,0456639888643801;"RE";"Ensemble1"
"17";1999-04-30;0;"1999-04-30";0,0382548987214336;"RE";"Ensemble1"
"18";1999-05-31;0;"1999-05-31";-0,033427282503725;"RE";"Ensemble1"
"19";1999-06-30;0;"1999-06-30";0,0530855387931337;"RE";"Ensemble1"
"20";1999-07-31;0;"1999-07-31";7,71336934392974e-05;"RE";"Ensemble1"
"21";1999-08-31;0;"1999-08-31";0,00362285091518457;"RE";"Ensemble1"
"22";1999-09-30;0;"1999-09-30";-0,00377363002521844;"RE";"Ensemble1"
"23";1999-10-31;0;"1999-10-31";0,0569851112885931;"RE";"Ensemble1"
"24";1999-11-30;0;"1999-11-30";0,0355729366072996;"RE";"Ensemble1"
"25";1999-12-31;0;"1999-12-31";0,0893529824583714;"RE";"Ensemble1"
"26";2000-01-31;0;"2000-01-31";-0,0537430048721799;"RE";"Ensemble1"
"27";2000-02-29;0;"2000-02-29";0,0112851942957453;"RE";"Ensemble1"
"28";2000-03-31;0;"2000-03-31";0,0727966902897014;"RE";"Ensemble1"
"29";2000-04-30;-0,0820827839338957;"2000-04-30";-0,0401840193251969;"RE";"Ensemble1"
"30";2000-05-31;0;"2000-05-31";-0,0233191064952224;"RE";"Ensemble1"
"31";2000-06-30;0;"2000-06-30";0,0415325028570247;"RE";"Ensemble1"
"32";2000-07-31;0;"2000-07-31";-0,0258974519428297;"RE";"Ensemble1"
"33";2000-08-31;0;"2000-08-31";0,0380093330869215;"RE";"Ensemble1"
"34";2000-09-30;0;"2000-09-30";-0,0520025076311005;"RE";"Ensemble1"
"35";2000-10-31;0;"2000-10-31";-0,0142292104115699;"RE";"Ensemble1"
"36";2000-11-30;0;"2000-11-30";-0,056872618345237;"RE";"Ensemble1"
"37";2000-12-31;0;"2000-12-31";0,0179316602289733;"RE";"Ensemble1"
"38";2001-01-31;0;"2001-01-31";0,0273320534328438;"RE";"Ensemble1"
"39";2001-02-28;0;"2001-02-28";-0,0848487296813708;"RE";"Ensemble1"
"40";2001-03-31;0;"2001-03-31";-0,0622352835433192;"RE";"Ensemble1"
"41";2001-04-30;0;"2001-04-30";0,078945628365089;"RE";"Ensemble1"
"42";2001-05-31;0;"2001-05-31";-0,00939440350186966;"RE";"Ensemble1"
"43";2001-06-30;0;"2001-06-30";-0,0287651617189758;"RE";"Ensemble1"
"44";2001-07-31;0;"2001-07-31";-0,00989098725839566;"RE";"Ensemble1"
"45";2001-08-31;0;"2001-08-31";-0,0460130363506315;"RE";"Ensemble1"
"46";2001-09-30;0;"2001-09-30";-0,0830218947516165;"RE";"Ensemble1"
"47";2001-10-31;0;"2001-10-31";0,0245358368517178;"RE";"Ensemble1"
"48";2001-11-30;0;"2001-11-30";0,0631528225926136;"RE";"Ensemble1"
"49";2001-12-31;0;"2001-12-31";0,00792086480835418;"RE";"Ensemble1"
"50";2002-01-31;0;"2002-01-31";-0,0289814400926295;"RE";"Ensemble1"
"51";2002-02-28;0;"2002-02-28";-0,00580064964386594;"RE";"Ensemble1"
"52";2002-03-31;0;"2002-03-31";0,0432263472890811;"RE";"Ensemble1"
"53";2002-04-30;0;"2002-04-30";-0,032561740734318;"RE";"Ensemble1"
"54";2002-05-31;0;"2002-05-31";0,00310601415741174;"RE";"Ensemble1"
"55";2002-06-30;0;"2002-06-30";-0,0585160428150533;"RE";"Ensemble1"
"56";2002-07-31;0;"2002-07-31";-0,0808528180230869;"RE";"Ensemble1"
"57";2002-08-31;0;"2002-08-31";0,00320667281479342;"RE";"Ensemble1"
"58";2002-09-30;0;"2002-09-30";-0,106610928439027;"RE";"Ensemble1"
"59";2002-10-31;0;"2002-10-31";0,0758805473054965;"RE";"Ensemble1"
"60";2002-11-30;0;"2002-11-30";0,0533870452953875;"RE";"Ensemble1"
"61";2002-12-31;0;"2002-12-31";-0,04589464975054;"RE";"Ensemble1"
"62";2003-01-31;0;"2003-01-31";-0,0297363678807105;"RE";"Ensemble1"
"63";2003-02-28;0;"2003-02-28";-0,0155332075312101;"RE";"Ensemble1"
"64";2003-03-31;0;"2003-03-31";-0,00024881516828117;"RE";"Ensemble1"
"65";2003-04-30;0;"2003-04-30";0,0880997978407519;"RE";"Ensemble1"
"66";2003-05-31;0;"2003-05-31";0,0567278300322768;"RE";"Ensemble1"
"67";2003-06-30;0,0640435122823396;"2003-06-30";0,0184845185622613;"RE";"Ensemble1"
"68";2003-07-31;0;"2003-07-31";0,0209762156729791;"RE";"Ensemble1"
"69";2003-08-31;0;"2003-08-31";0,0223721373314459;"RE";"Ensemble1"
"70";2003-09-30;0;"2003-09-30";0,00731553661929463;"RE";"Ensemble1"
"71";2003-10-31;0;"2003-10-31";0,0602278512412326;"RE";"Ensemble1"
"72";2003-11-30;0;"2003-11-30";0,0161278852695479;"RE";"Ensemble1"
"73";2003-12-31;0,0537780092865124;"2003-12-31";0,0621510046620667;"RE";"Ensemble1"
"74";2004-01-31;0;"2004-01-31";0,0174876254852304;"RE";"Ensemble1"
"75";2004-02-29;0;"2004-02-29";0,0172140549807935;"RE";"Ensemble1"
"76";2004-03-31;0;"2004-03-31";-0,00571528385826122;"RE";"Ensemble1"
"77";2004-04-30;0;"2004-04-30";-0,0190590138752453;"RE";"Ensemble1"
"78";2004-05-31;0;"2004-05-31";0,0105571054186822;"RE";"Ensemble1"
"79";2004-06-30;0;"2004-06-30";0,0208228377210532;"RE";"Ensemble1"
"80";2004-07-31;0;"2004-07-31";-0,0329451447235587;"RE";"Ensemble1"
"81";2004-08-31;0;"2004-08-31";0,00521249635292375;"RE";"Ensemble1"
"82";2004-09-30;0;"2004-09-30";0,020496248596881;"RE";"Ensemble1"
"83";2004-10-31;0;"2004-10-31";0,0259544782151293;"RE";"Ensemble1"
"84";2004-11-30;0;"2004-11-30";0,0539682252100971;"RE";"Ensemble1"
"85";2004-12-31;0;"2004-12-31";0,0401640648927342;"RE";"Ensemble1"
"86";2005-01-31;0;"2005-01-31";-0,0210814974875426;"RE";"Ensemble1"
"87";2005-02-28;0;"2005-02-28";0,0328908169253725;"RE";"Ensemble1"
"88";2005-03-31;0;"2005-03-31";-0,0166885109553683;"RE";"Ensemble1"
"89";2005-04-30;0;"2005-04-30";-0,0187330588971942;"RE";"Ensemble1"
"90";2005-05-31;0;"2005-05-31";0,0218629605763487;"RE";"Ensemble1"
"91";2005-06-30;0;"2005-06-30";0,0107212566631657;"RE";"Ensemble1"
"92";2005-07-31;0;"2005-07-31";0,038123454407384;"RE";"Ensemble1"
"93";2005-08-31;0;"2005-08-31";0,010970350633578;"RE";"Ensemble1"
"94";2005-09-30;0;"2005-09-30";0,0287100625387836;"RE";"Ensemble1"
"95";2005-10-31;0;"2005-10-31";-0,021216417124664;"RE";"Ensemble1"
"96";2005-11-30;0;"2005-11-30";0,0368654840317823;"RE";"Ensemble1"
"97";2005-12-31;0;"2005-12-31";0,0257364120610322;"RE";"Ensemble1"
"98";2006-01-31;-0,0466762768501057;"2006-01-31";0,0478155737412941;"RE";"Ensemble1"
"99";2006-02-28;0;"2006-02-28";0,00101315483861889;"RE";"Ensemble1"
"100";2006-03-31;0;"2006-03-31";0,0267619724727997;"RE";"Ensemble1"
"101";2006-04-30;0;"2006-04-30";0,0334181203786139;"RE";"Ensemble1"
"102";2006-05-31;0;"2006-05-31";-0,0297903189144438;"RE";"Ensemble1"
"103";2006-06-30;0;"2006-06-30";0,00402246542514543;"RE";"Ensemble1"
"104";2006-07-31;0;"2006-07-31";0,00872416961962895;"RE";"Ensemble1"
"105";2006-08-31;0;"2006-08-31";0,030763894253702;"RE";"Ensemble1"
"106";2006-09-30;0,406576848419611;"2006-09-30";0,0162199097380205;"RE";"Ensemble1"
"107";2006-10-31;0;"2006-10-31";0,0404562417111122;"RE";"Ensemble1"
"108";2006-11-30;0;"2006-11-30";0,0292181231711555;"RE";"Ensemble1"
"109";2006-12-31;0;"2006-12-31";0,0243468886842578;"RE";"Ensemble1"
"110";2007-01-31;0;"2007-01-31";0,0162536999006509;"RE";"Ensemble1"
"111";2007-02-28;0;"2007-02-28";-0,00103923477158613;"RE";"Ensemble1"
"112";2007-03-31;0,110219567384029;"2007-03-31";0,0233705260855478;"RE";"Ensemble1"
"113";2007-04-30;0;"2007-04-30";0,0487189811678461;"RE";"Ensemble1"
"114";2007-05-31;0;"2007-05-31";0,0334624007455817;"RE";"Ensemble1"
"115";2007-06-30;0,375436533375679;"2007-06-30";-0,0028379021238348;"RE";"Ensemble1"
"116";2007-07-31;0;"2007-07-31";-0,0170057251965568;"RE";"Ensemble1"
"117";2007-08-31;0;"2007-08-31";0,00576084216626439;"RE";"Ensemble1"
"118";2007-09-30;0,604436714214468;"2007-09-30";0,0519554197211212;"RE";"Ensemble1"
