"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"1";1997-09-30;0;"1997-09-30";0,054262597747507;"VC";"Ensemble1"
"2";1997-10-31;0;"1997-10-31";-0,0836463048874759;"VC";"Ensemble1"
"3";1997-11-30;0;"1997-11-30";0,0519122691934575;"VC";"Ensemble1"
"4";1997-12-31;0;"1997-12-31";-0,00146526640858778;"VC";"Ensemble1"
"5";1998-01-31;0;"1998-01-31";0,075773733231118;"VC";"Ensemble1"
"6";1998-02-28;0;"1998-02-28";0,0606835292375373;"VC";"Ensemble1"
"7";1998-03-31;0;"1998-03-31";-0,00641077561451514;"VC";"Ensemble1"
"8";1998-04-30;-0,265393640326281;"1998-04-30";-0,00755519942632671;"VC";"Ensemble1"
"9";1998-05-31;0;"1998-05-31";0,00454197468231088;"VC";"Ensemble1"
"10";1998-06-30;0;"1998-06-30";0,110710069603598;"VC";"Ensemble1"
"11";1998-07-31;0;"1998-07-31";0,00377777661880318;"VC";"Ensemble1"
"12";1998-08-31;0;"1998-08-31";0,0027172028983786;"VC";"Ensemble1"
"13";1998-09-30;0;"1998-09-30";0,0382976193281536;"VC";"Ensemble1"
"14";1998-10-31;0;"1998-10-31";0,0418754468951893;"VC";"Ensemble1"
"15";1998-11-30;0;"1998-11-30";0,064386955985956;"VC";"Ensemble1"
"16";1998-12-31;0;"1998-12-31";0,150621539368472;"VC";"Ensemble1"
"17";1999-01-31;0;"1999-01-31";0,0824724060243617;"VC";"Ensemble1"
"18";1999-02-28;0;"1999-02-28";-0,0817186289403714;"VC";"Ensemble1"
"19";1999-03-31;0;"1999-03-31";0,0078791650823042;"VC";"Ensemble1"
"20";1999-04-30;0;"1999-04-30";-0,168649214343905;"VC";"Ensemble1"
"21";1999-05-31;0;"1999-05-31";-0,0126712456670101;"VC";"Ensemble1"
"22";1999-06-30;0;"1999-06-30";0,101439563663138;"VC";"Ensemble1"
"23";1999-07-31;0;"1999-07-31";-0,0331674457150734;"VC";"Ensemble1"
"24";1999-08-31;0;"1999-08-31";0,0662218864921585;"VC";"Ensemble1"
