"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","source","weighting","method","validation.error"
4956,"BO",0,1.02843820499803,1.14747148412155,0.598473409508638,"Alpha",0.00368248106684204,0.00618747839103203,0.00432988339735657,0.896264717014169,0.5951505337262,FALSE,1.71843592155983,0.850480423812389,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4955,"BO",0,0.964808997703275,0.000136921213536171,0.00010734939209924,"EG",0.51686037249367,0.000211013316717437,0.00014864698072876,7046.4537436224,2449.42063626148,TRUE,8987.5590241941,3477.09970266264,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4953,"BO",0,1.05306911617864,0.000155706627768209,0.000140796977651665,"IA",0.796561568121426,6.99311001588004e-05,5.25656840724145e-05,6763.16179518241,11390.6626138097,TRUE,7479.34461195579,15153.6421940991,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4952,"BO",0,1.29654963824133,0.000274218522148352,0.000190141003213093,"ME",1.07857237707052,0.000199920369791955,0.000133138627523474,4728.16215361228,5395.00991416195,TRUE,6818.88501865257,8101.12284566216,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4951,"BO",0,1.3220947265625,0.000298052610421165,0.00021173762486386,"MKT",1.3220947265625,0.000298052610421165,0.00021173762486386,4435.77637080348,4435.77637080348,TRUE,6244.0235995495,6244.0235995495,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4954,"BO",0,1.13969555191404,0.000120760459508771,0.000116172289323195,"ROE",0.672971269026765,0.000202760664314389,0.000186225731283501,9437.65497870818,3319.04253372979,TRUE,9810.39074424513,3613.73943540738,TRUE,"EW Asymptotic","EW","Asymptotic",NA
5004,"BO",1,1.02789414020937,1.15424544567605,0.602921374879118,"Alpha",0.00361703311335491,0.00622392198764261,0.00436778985815658,0.890533416492993,0.581150136607819,FALSE,1.70485602772908,0.828115186585802,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5003,"BO",1,0.981510160061691,0.000359696025857189,0.000288628586428405,"EG",0.506453368109821,0.000331690641621786,0.000180080008158463,2728.72116872201,1526.88470688694,TRUE,3400.5992691412,2812.37974880678,TRUE,"EW Asymptotic","EW","Asymptotic",NA
5001,"BO",1,1.08463038396021,0.00176702278723271,0.00172365411937081,"IA",0.806224473775998,0.000340353634605938,0.000393375252198672,613.817994763283,2368.78467512018,TRUE,629.26220044433,2049.50481574479,TRUE,"EW Asymptotic","EW","Asymptotic",NA
5000,"BO",1,1.29655356277816,0.000263410938869263,0.000182696847293157,"ME",1.07857200176566,0.000195864486882257,0.000130795772809088,4922.1705383377,5506.7256904721,TRUE,7096.74842225218,8246.22981768657,TRUE,"EW Asymptotic","EW","Asymptotic",NA
