"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"nlminb",2.09347726219654,212.617013031634,6,8,5,0,TRUE,TRUE,8.246,1.47365798699451,0.107090062135044,"MKT","PE",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:42:20,510.655654326978,NA,NA,NA,NA,NA,NA,NA,NA
"nlminb1",1.52376906053132,204.292602470547,12,25,9,0,TRUE,TRUE,22.296,2.25551663978293,1.75564523596794e-06,"ME","PE",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:44:24,475.285345780198,0.990691078488049,4.12005037729737,NA,NA,NA,NA,NA,NA
"nlminb2",1.90184071132829,206.183821173585,10,23,8,0,TRUE,TRUE,16.773,2.16770102395783,0,"IA","PE",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:45:52,476.173504586541,NA,NA,2.13054511743052,3.47289700830151,NA,NA,NA,NA
"nlminb3",1.48762725018293,194.629303237926,10,26,9,0,TRUE,TRUE,16.771,2.77310187960976,8.070202039967e-08,"ROE","PE",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:47:17,465.512068142823,NA,NA,NA,NA,1.5605261768121,2.9363181476961,NA,NA
"nlminb4",1.55215576272117,197.832697133292,11,24,9,0,TRUE,TRUE,14.667,3.1468848100877,0,"EG","PE",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:48:37,499.582707030756,NA,NA,NA,NA,NA,NA,2.3891473067422,4.7131869793494
"nlminb5",2.15751269090976,237.401656390798,6,8,5,0,TRUE,TRUE,3.951,1.34129797937008,0.120526032841502,"MKT","VC",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:41:30,397.251765166418,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead",3.02828645788541,183.436449806454,51,NA,NA,0,TRUE,TRUE,12.749,4.09981192558492,0,"ME","VC",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:42:50,483.10691630279,-2.48416278291261,4.39172144080567,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.80434932271502,223.96591069338,67,NA,NA,0,TRUE,TRUE,17.36,1.30586270266454,0,"IA","VC",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:44:12,461.956048968367,NA,NA,-3.79286267033859,2.72593924670619,NA,NA,NA,NA
"Nelder-Mead2",2.64395751084962,214.425452456022,57,NA,NA,0,TRUE,TRUE,11.812,1.7029921026039,0,"ROE","VC",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:45:21,468.564116265483,NA,NA,NA,NA,-2.1965361190365,3.09648708596978,NA,NA
"Nelder-Mead3",2.21260854713073,233.008419695358,57,NA,NA,0,TRUE,TRUE,10.664,1.22948856198616,2.32868169192102e-11,"EG","VC",60,0,"2009","EW","L2_Lasso","exp.aff",2020-04-07 14:46:17,440.346367505867,NA,NA,NA,NA,NA,NA,-1.73998697769275,3.94926008808783
