"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",3.12578125,167.562148661282,30,NA,NA,0,TRUE,TRUE,21.872,3.5527979233767,4.27435864480685e-14,0.741327371407313,"MKT","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:07:22,615.140286834228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",2.45348325215378,149.836045537932,63,NA,NA,0,TRUE,TRUE,42.466,3.97303322110347,0,0.696572902511261,"ME","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:10:31,768.306556083586,1.97601329547783,4.11604502946033,0.662481015796582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.93489062095313,153.044708191236,75,NA,NA,0,TRUE,TRUE,43.838,0.0160656988156111,0.99888812834092,0.00415866208823908,"IA","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:13:12,663.657697732898,NA,NA,NA,3.34075586013225,0.0119941926788388,0.00968334016562777,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.73599011078477,146.32770837207,57,NA,NA,0,TRUE,TRUE,30.493,2.78661610910543,0,0.730932797282595,"ROE","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:15:32,589.345076722007,NA,NA,NA,NA,NA,NA,2.20774506218732,3.70610137785074,0.684467964849226,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",2.33778143505433,156.900020180502,69,NA,NA,0,TRUE,TRUE,35.674,4.00675716453456,0,0.706187139000477,"EG","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:17:59,592.842186713387,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48053591743237,2.36518934673456,1.19509365625126,NA,NA,NA
"Nelder-Mead5",0.504343472666078,117.058190271242,75,NA,NA,0,FALSE,TRUE,40.55,16.5814922171911,2.1094237467878e-15,2.02579157452763,"Alpha","PE",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:21:56,650.142442894711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0308045287735304,0.0460290813862114,0.00656389980259885
"Nelder-Mead6",3.32890625,225.413460860914,30,NA,NA,0,TRUE,TRUE,6.111,0.699121622482934,0.103484876673187,0.709993492162276,"MKT","VC",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:05:32,575.734725964034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.25268282881057,198.730873061754,59,NA,NA,0,TRUE,TRUE,12.204,0.913874626960797,0.0253421288815302,0.926032655940746,"ME","VC",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:06:15,540.955614127441,-1.97753033261743,1.73961341749716,0.651152430973078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.94307867421012,222.000706595566,55,NA,NA,0,TRUE,TRUE,10.674,1.31766101287822,1.80576508190811e-08,0.835272656847325,"IA","VC",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:07:19,544.375697905739,NA,NA,NA,-1.99415760355769,3.80516220290697,1.57638981064141,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",3.60020856883001,213.872941363644,67,NA,NA,0,TRUE,TRUE,13.451,1.03303082997751,3.97570865118269e-13,0.885580506505551,"ROE","VC",40,0,12,"2003","EW","L2_Lasso","exp.aff",2020-04-13 11:08:02,631.054463807015,NA,NA,NA,NA,NA,NA,-1.73931517111301,3.45047724591406,0.975378497227309,NA,NA,NA,NA,NA,NA
