"","Type","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.MKT.indep","t.Coef","t.Coef.indep","sig","sig.indep"
"19","PE",0.566325122875158,0.059579582040651,0.0253444211558115,"Alpha",0.00378438537863816,0.000839105906446386,0.0003459461086429,9.50535575239108,22.3451590941267,674.914952361074,1637.03278842122,TRUE,TRUE
"20","PE",1.03539571008878,1.45808204686881,1.71170747133615,"IA",0.299265655467753,45.6669377796184,22.4540447515843,0.710107988992981,0.604890571214575,0.0226727641578562,0.0461117683492514,FALSE,FALSE
"21","PE",0.810429107755564,21.7447420482914,18.8084581498391,"EG",0.523291003391013,10.1801162109555,7.97340306420208,0.0372701182637963,0.0430885456585125,0.0796090232136454,0.101641557717572,FALSE,FALSE
"22","PE",0.835148272010334,3.18665964196338,2.49646841894896,"ROE",0.880494957004587,0.751464296317975,1.23537481480049,0.262076395298928,0.334531879382612,1.1113612131706,0.676028248273143,FALSE,FALSE
"23","PE",1.03202314610265,1.95856875707786,3.41618131485645,"ME",0.561060360299187,7.03992109670391,6.5677470430801,0.526927197410422,0.302098469309735,0.146595839914434,0.157135032657814,FALSE,FALSE
"24","PE",1.057666015625,0.910083868528366,1.8419566268061,"MKT",1.057666015625,0.910083868528366,1.8419566268061,1.16216323813681,0.574207883200248,1.16216323813681,0.574207883200248,FALSE,FALSE
"31","VC",1.16231013868592,8.06087374174164,8.48386793182552,"ME",-1.25653895603419,3.18103717728852,3.05737502016004,0.144191582193767,0.137002384764354,0.365387159566824,0.380166034922689,FALSE,FALSE
"32","VC",1.14165194124297,18.631434167724,19.0678458980083,"IA",-1.5532671868193,14.0570487711674,13.3132388654469,0.0612755803426395,0.0598731470429085,0.0812156207058645,0.0857531328613059,FALSE,FALSE
"33","VC",1.93273158056016,0.00368930585423823,0.00148427663578119,"Alpha",-0.00616682089322803,0.000906568599711828,0.000338723868485092,523.874044853143,1302.13703697016,2131.91983615417,5705.92084107951,TRUE,TRUE
"34","VC",1.45483554595749,16.1106761365635,8.51591567906866,"ROE",-1.23177238073513,9.76168974319281,4.35961110616893,0.0903025753621669,0.170837241793427,0.149035216671581,0.333707642844306,FALSE,FALSE
"35","VC",1.54219844038499,11.580445489833,5.79536623337773,"EG",-0.883018451230146,5.26114307849188,2.09680208751052,0.133172635002596,0.266108883939531,0.293129918228163,0.735500240852966,FALSE,FALSE
"36","VC",0.989453125,3.43516366463302,3.77558457198305,"MKT",0.989453125,3.43516366463302,3.77558457198305,0.288036676443393,0.26206620620878,0.288036676443393,0.26206620620878,FALSE,FALSE
"13","PD",0.729145051606826,2.92004824620706,2.04343173237985,"ME",0.68566592753738,1.77639424611095,2.37284400851955,0.249703083691831,0.356823788166213,0.410463529254916,0.307287393941142,FALSE,FALSE
"14","PD",0.81181640625,0.530481890588937,1.3829945734371,"MKT",0.81181640625,0.530481890588937,1.3829945734371,1.53033764328642,0.586998981660807,1.53033764328642,0.586998981660807,FALSE,FALSE
"15","PD",0.490585470428315,3.14808090760697,1.54072336018916,"Alpha",0.00278812613412151,0.0731024767578719,0.0290435745419801,0.155836360254551,0.318412430877977,6.71092816804579,16.8913599019712,FALSE,FALSE
"16","PD",0.786317750840681,0.517188534076999,1.37909788179976,"ROE",0.176288390249829,1.92773192457307,1.20846271240351,1.52036965058397,0.570168195613871,0.407897872529566,0.650676055429774,FALSE,FALSE
"17","PD",0.741985840639609,2.81796192667905,2.22343814398677,"IA",0.476232354882632,10.7199262845089,13.2123230148834,0.263305842997685,0.333711033358985,0.069215573031676,0.0561586209937327,FALSE,FALSE
"18","PD",0.73604563496674,1.43692846916208,1.47386091171745,"EG",0.213457383074365,2.38650170577289,1.65145901748064,0.512235404032291,0.499399657806954,0.308420326365686,0.445694157212332,FALSE,FALSE
"25","RE",0.58359375,3.52373348240411,3.74659083026644,"MKT",0.58359375,3.52373348240411,3.74659083026644,0.165618016491371,0.155766609282631,0.165618016491371,0.155766609282631,FALSE,FALSE
