"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.027880859375,18960.9599093472,24,NA,NA,0,TRUE,TRUE,0.284,2.10220954718095,0.953261623428856,4.50172872102775,"MKT","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:52,120949.299634276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.06609475388768,17345.7595580298,59,NA,NA,0,TRUE,TRUE,0.658,1.93322649481455,0.270713412877351,4.07608011372471,"ME","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:56,152357.634854935,-0.523835611844834,2.98170650278311,2.18367831086699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.06154983988947,17341.1860058229,79,NA,NA,0,TRUE,TRUE,0.794,1.94261632034909,0.0298954436407204,1.66014254220596,"IA","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:59,130300.882423397,NA,NA,NA,-0.444320714474059,6.12969839745404,11.4774788342756,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.852719166261891,15162.1783938136,67,NA,NA,0,TRUE,TRUE,0.883,62.223057680635,0,49.3471794417253,"ROE","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:23:01,105142.976257667,NA,NA,NA,NA,NA,NA,0.675739610340836,2.58204464560682,1.19900094849926,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.879752305139539,17490.1835653857,55,NA,NA,0,TRUE,TRUE,0.568,46.3470256851784,5.27061753999858e-05,33.9926531188413,"EG","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:23:03,111622.002995187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313948026286681,3.83041415677219,5.09995735341169,NA,NA,NA
"Nelder-Mead5",0.961387276720501,18890.6402912257,65,NA,NA,0,TRUE,TRUE,0.607999999999999,23.9168464653087,0.652707461025917,11.0242847364206,"Alpha","PE",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:23:07,115847.760814501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000518551475227014,0.429890113744013,0.214628952667334
"Nelder-Mead6",1.173828125,8323.42695145764,24,NA,NA,0,TRUE,TRUE,0.275,1.65799735947779,0.773188618208549,2.28186037360774,"MKT","VC",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:52,37725.4471827428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.22936212764944,6874.10421388241,57,NA,NA,0,TRUE,TRUE,0.636,3.28200423756808,0.698302589638698,1.95061126366156,"ME","VC",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:55,6351.99792101792,-1.34150754419243,0.654572278287178,0.415767694173881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.24691927982552,7101.78682538959,59,NA,NA,0,TRUE,TRUE,0.604,11.1930875621619,0,6.37625439545326,"IA","VC",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:22:59,20319.8124927034,NA,NA,NA,-1.41213525268727,12.4805499173276,6.96935636880679,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.42705346038676,7653.26128462146,59,NA,NA,0,TRUE,TRUE,0.612,4.45608848825657,0,3.91886395011966,"ROE","VC",180,0,12,"2000","EW_VYP","L2_Lasso","linear",2020-07-04 12:23:02,16453.2177061879,NA,NA,NA,NA,NA,NA,-0.991668589231596,10.7619491254265,9.08966963390937,NA,NA,NA,NA,NA,NA
