"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep","RF","best.key","Tables","Alpha.p.a.","ID"
"664",1.02940185725313,11366.5048548231,119,NA,NA,0,TRUE,TRUE,1.598,36.3851927483866,0,12.6478829802741,"ROE","PE",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:27:56",11366.5048548231,NA,NA,NA,NA,NA,NA,2.50036017258622,29.7980417758494,10.605849779273,NA,NA,NA,NA,NA,NA,1,"PE 40 ROE",NA,NA,"EW_VYP - 40"
"671",1.36302544779696,4269.41553527044,63,NA,NA,0,TRUE,TRUE,0.818999999999999,18.1727421375889,0,8.11482185837682,"EG","VC",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:27:55",4269.41553527044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26907172945731,9.08931282257161,6.7499753919885,NA,NA,NA,1,"VC 40 EG",NA,NA,"EW_VYP - 40"
"674",0.915748647359157,4077.07748498687,55,NA,NA,0,TRUE,TRUE,0.569,8.35291749264814,0,4.7891451873627,"ME","PD",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:27:47",4077.07748498687,1.5143744184649,8.44483135163992,4.49534563564593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PD 40 ME",NA,NA,"EW_VYP - 40"
"682",0.441297911417182,5944.60030102368,63,NA,NA,0,TRUE,TRUE,0.554000000000002,34.3084544538957,0,19.6990066203666,"ROE","RE",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:05",5944.60030102368,NA,NA,NA,NA,NA,NA,2.9787093985608,6.91220307017079,3.44220059272361,NA,NA,NA,NA,NA,NA,1,"RE 40 ROE",NA,NA,"EW_VYP - 40"
"688",-0.0221906621154603,3769.10016169338,57,NA,NA,0,TRUE,TRUE,0.581,10.8874051455814,0,11.0690658314926,"ROE","NATRES",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:03",3769.10016169338,NA,NA,NA,NA,NA,NA,2.47308944978577,35.9623235504092,21.5862621071082,NA,NA,NA,NA,NA,NA,1,"NATRES 40 ROE",NA,NA,"EW_VYP - 40"
"691",1.71015625,5143.9608466838,26,NA,NA,0,TRUE,TRUE,0.123000000000001,19.4087057485302,0,25.7220373752229,"MKT","INF",40,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:04",5143.9608466838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INF 40 MKT",NA,NA,"EW_VYP - 40"
"700",1.15894538344649,13129.5525297177,87,NA,NA,0,TRUE,TRUE,1.147,32.677629689339,0,11.3925280378442,"ROE","PE",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:23",13129.5525297177,NA,NA,NA,NA,NA,NA,2.2161428546629,28.7856766413805,10.2755686939863,NA,NA,NA,NA,NA,NA,1,"PE 60 ROE",NA,NA,"EW_VYP - 60"
"707",1.34065930364604,4951.64894920788,61,NA,NA,0,TRUE,TRUE,0.696,46.1741402197665,0,22.6451477878207,"EG","VC",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:24",4951.64894920788,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14229360874187,26.706991783479,16.001153465125,NA,NA,NA,1,"VC 60 EG",NA,NA,"EW_VYP - 60"
"710",0.917385411729113,4337.06515892768,55,NA,NA,0,TRUE,TRUE,0.657,7.97016928399105,0,4.72665940941707,"ME","PD",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:14",4337.06515892768,1.36086932644516,7.87330394121583,4.62030633435341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PD 60 ME",NA,NA,"EW_VYP - 60"
"718",0.49566817049495,6674.57841318009,69,NA,NA,0,TRUE,TRUE,0.721,24.8972470900883,0,14.7111344613286,"ROE","RE",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:34",6674.57841318009,NA,NA,NA,NA,NA,NA,2.8185482983357,16.2781020973831,8.39280797854439,NA,NA,NA,NA,NA,NA,1,"RE 60 ROE",NA,NA,"EW_VYP - 60"
"721",0.9703125,4316.63751789359,18,NA,NA,0,TRUE,TRUE,0.129,5.47611928145946,0.870855205154164,5.98959277390078,"MKT","NATRES",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:27",4316.63751789359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"NATRES 60 MKT",NA,NA,"EW_VYP - 60"
"727",1.61484375,5323.20665693739,26,NA,NA,0,TRUE,TRUE,0.143000000000001,16.0418236442149,0,21.3184011502408,"MKT","INF",60,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff","2020-04-13 15:28:31",5323.20665693739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INF 60 MKT",NA,NA,"EW_VYP - 60"
