"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",3.013671875,14913.58932083,32,NA,NA,0,TRUE,TRUE,0.358,29.1838771016601,0,"MKT","PE",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:51,278682.13214457,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.38268856474086,14244.7450275986,71,NA,NA,0,TRUE,TRUE,0.735,9.89965489041898,0,"ME","PE",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:52,299611.554273694,-0.467898532681333,13.4688035694514,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.69087359475671,11959.1864422324,69,NA,NA,0,TRUE,TRUE,0.789,8.69369695645645,0,"IA","PE",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:54,201631.108512474,NA,NA,-0.978131721029058,16.0073068050319,NA,NA,NA,NA
"Nelder-Mead3",1.90374912150227,12345.1380406382,69,NA,NA,0,TRUE,TRUE,0.677,3.8567247762738,0,"ROE","PE",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:56,147637.042312681,NA,NA,NA,NA,1.66947514546238,8.7020148539391,NA,NA
"Nelder-Mead4",2.05834710972573,8325.05711634103,69,NA,NA,0,TRUE,TRUE,0.619000000000001,20.6664134136802,0,"EG","PE",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:57,180484.030616891,NA,NA,NA,NA,NA,NA,0.997664714860837,38.3827616071548
"Nelder-Mead5",1.8015625,6182.57292642423,26,NA,NA,0,TRUE,TRUE,0.267,4.20063310686126,0.000759714086885133,"MKT","VC",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:51,11875.0894953079,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",2.29191965441932,5757.32089089968,63,NA,NA,0,TRUE,TRUE,0.688,39.6355671925643,0,"ME","VC",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:52,12298.1743442615,-0.882319914586313,40.1831656563346,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.59241727140689,5957.75008633231,67,NA,NA,0,TRUE,TRUE,0.616000000000001,4.86813442475602,0.032402748976758,"IA","VC",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:55,13574.1624172567,NA,NA,-1.13698994382576,3.73845110348201,NA,NA,NA,NA
"Nelder-Mead31",1.90060837769233,6160.51918221244,55,NA,NA,0,TRUE,TRUE,0.474,6.11913316647135,0.0182363638033769,"ROE","VC",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:56,11835.026987834,NA,NA,NA,NA,-0.312572198354974,9.67514580519977,NA,NA
"Nelder-Mead41",1.3391583786346,5611.8888171036,45,NA,NA,0,TRUE,TRUE,0.404999999999999,10.290705844568,0,"EG","VC",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:58,13664.6538990519,NA,NA,NA,NA,NA,NA,1.41622464908287,14.3475691995486
"Nelder-Mead6",1.753515625,6006.26461546496,26,NA,NA,0,TRUE,TRUE,0.222,4.28697982201016,0.00123657671547706,"MKT","PD",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:51,8782.98806880243,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.887155791301383,5073.99898948047,61,NA,NA,0,TRUE,TRUE,0.572,1425.12244722418,0,"ME","PD",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:52,5500.67534134697,1.26065324904372,939.569750303046,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",2.25929472777303,5740.26608717416,71,NA,NA,0,TRUE,TRUE,0.512,16.7525857695748,0,"IA","PD",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:53,24216.1942094331,NA,NA,1.46165539609734,52.1561620479326,NA,NA,NA,NA
"Nelder-Mead32",0.467446989663222,3800.02040078,107,NA,NA,0,TRUE,TRUE,0.769,74.4508861643508,0,"ROE","PD",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:55,24301.692863801,NA,NA,NA,NA,2.10685948278884,73.4475620156593,NA,NA
"Nelder-Mead42",1.00000016040168,5509.63989085132,57,NA,NA,0,TRUE,TRUE,0.379,6.54198421629961,0,"EG","PD",60,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:56,8256.9489269406,NA,NA,NA,NA,NA,NA,1.14446825475701,28.9396229262708
