"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.2662109375,24432.7117739474,30,NA,NA,0,TRUE,TRUE,0.296,3.33000036648145,2.48142109857685e-05,3.09084272926501,"MKT","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:02,13272.8563176105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",2.30485472910077,24430.4094483547,55,NA,NA,0,TRUE,TRUE,0.644,42.8730321439322,0,19.6350230770542,"ME","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:04,14442.0939762869,-0.0571755311553716,56.0405684953734,27.1868244588766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.91361520418301,15955.2175267268,83,NA,NA,0,TRUE,TRUE,0.871,728.871312557851,0,368.481627378522,"IA","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:08,42586.0171629826,NA,NA,NA,-1.84632162488139,21.935596780379,9.72306375020399,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.725156668231679,12992.7078280373,81,NA,NA,0,TRUE,TRUE,0.753,52.0834313532939,0,21.2975468805437,"ROE","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:09,33217.7838740599,NA,NA,NA,NA,NA,NA,3.13397713507481,10.2037069935199,6.30302933095445,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.09947791262812,10751.8090222382,67,NA,NA,0,TRUE,TRUE,0.686999999999999,28.2646715130417,0,14.5451726662313,"EG","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:12,69533.5022987802,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58734523424416,13.8942512286919,10.3603563539818,NA,NA,NA
"Nelder-Mead5",0.463788757074868,19490.2709234016,75,NA,NA,0,FALSE,TRUE,0.654,58.6749665531426,0,41.6252994810271,"Alpha","PE",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:15,15398.2769731897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0118803449548485,0.611674370055616,0.347368856733165
"Nelder-Mead6",2.78125,3726.81967148992,30,NA,NA,0,TRUE,TRUE,0.283,5.57352429600067,0,4.52590365561177,"MKT","VC",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:01,44061.4035197432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.10102508136815,3685.53450133915,69,NA,NA,0,TRUE,TRUE,0.802,10.2870727927538,0,4.76347148860216,"ME","VC",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:04,42621.217296467,-0.523868002342772,15.3613277281364,7.63639623448462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.71430605250093,3697.14694444221,63,NA,NA,0,TRUE,TRUE,0.632,6.07180938916586,0,4.22364598408851,"IA","VC",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:06,43262.5033866366,NA,NA,NA,-0.532770488416829,13.788644674127,6.81324710983254,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",2.36492710476991,3543.73368348618,89,NA,NA,0,TRUE,TRUE,1.037,7.03589069534284,5.7624649496546e-10,2.97335529492442,"ROE","VC",40,0,12,"2000","EW_VYP","L2_Lasso","exp.aff",2020-04-13 15:24:08,45421.7682486495,NA,NA,NA,NA,NA,NA,1.16274435029944,7.65570559403672,5.10893379229977,NA,NA,NA,NA,NA,NA
