"","Type","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.MKT.indep","t.Coef","t.Coef.indep","sig","sig.indep"
"19","PE",0.775178898606071,0.637737615990137,0.549654074411517,"EG",0.667339554826094,5.55812182105863,2.12526036050054,1.21551384012772,1.41030319739922,0.139467777706683,0.364745380384125,FALSE,FALSE
"20","PE",0.609977343316976,1.06428857031351,0.387229083515599,"Alpha",0.00395858122980691,0.00595701466115982,0.00208987621584693,0.573131536249885,1.57523638921714,102.396481797178,291.872474882337,FALSE,FALSE
"21","PE",0.826411951517191,20.3516059362415,8.30759251177167,"ROE",1.0870142292834,33.5140925497518,12.1433393981451,0.0406067193963078,0.099476707643783,0.0246586402508252,0.0680547520267305,FALSE,FALSE
"22","PE",1.133984375,1.04966625718752,0.694479379265585,"MKT",1.133984375,1.04966625718752,0.694479379265585,1.08032850178342,1.63285535734581,1.08032850178342,1.63285535734581,FALSE,FALSE
"23","PE",1.14568510288509,1.00119884026761,0.637745219385715,"IA",-0.386205836814406,1.90935727584713,0.812751287802739,1.14431325407734,1.79646207930595,0.600037047742561,1.40963800375196,FALSE,FALSE
"24","PE",1.13438159234356,1.04835207015,0.702013368613784,"ME",-0.0141273156623356,1.7967346196125,0.736296355555376,1.08206167054285,1.6158974217023,0.631357341235074,1.54065898029322,FALSE,FALSE
"31","VC",1.18134966348346,24.418110474354,16.6931557429138,"ME",-1.2773653184586,4.92762678352881,4.35189415154325,0.0483800605589124,0.0707685042706763,0.239740084909081,0.271456433071686,FALSE,FALSE
"32","VC",1.13687849169909,7.25875770139346,6.05702356178152,"IA",-1.55300459215261,3.716405443992,2.13910233502968,0.156621633958225,0.187695900486923,0.305908090178101,0.531474569066522,FALSE,FALSE
"33","VC",1.95618034913549,4.18907604226942,1.51953526363742,"Alpha",-0.00601368735207105,0.335116304504052,0.116812470111796,0.466971792680979,1.28735436152554,5.83731773967398,16.7463315112104,FALSE,FALSE
"34","VC",1.033984375,2.2045828994411,1.75763855997268,"MKT",1.033984375,2.2045828994411,1.75763855997268,0.469015873824537,0.588280434070627,0.469015873824537,0.588280434070627,FALSE,FALSE
"35","VC",1.48784117198202,1.80084819092725,0.940996627049716,"ROE",-1.14803399661396,4.06018931585971,1.42407861823125,0.826189114372787,1.58113337414058,0.36644625563894,1.04477460228282,FALSE,FALSE
"36","VC",1.53496072016987,2.82072342079778,1.3357463943224,"EG",-0.754026621529192,3.62572695550325,1.26039862200024,0.544172714294598,1.14914082994664,0.42335254116145,1.21783751059161,FALSE,FALSE
"13","PD",0.844287109375,1.24517679196319,0.856413776125152,"MKT",0.844287109375,1.24517679196319,0.856413776125152,0.678045972928765,0.985840177857695,0.678045972928765,0.985840177857695,FALSE,FALSE
"14","PD",0.501510152460438,0.0437700697701659,0.0149207192148241,"Alpha",0.00285967431695645,0.000404565574454351,0.000142923109892108,11.457833060213,33.6116607544076,1239.62636498876,3508.95074168919,TRUE,TRUE
"15","PD",0.791258684837067,2.47770398814547,1.55740810976249,"ROE",0.221986120930774,5.02432056975809,1.96639018825668,0.319351580585425,0.508061233197082,0.157485708535346,0.402391493591902,FALSE,FALSE
"16","PD",0.735649960881119,2.23000909468332,1.30329389648597,"EG",0.213370337708648,6.29596147606621,2.37420155499168,0.329886529447355,0.564454389654267,0.116844736689965,0.30985152011818,FALSE,FALSE
"17","PD",0.843818346275657,1.15008616637556,0.836513506357093,"IA",0.0756371499002853,2.54339970002864,1.41587370176417,0.733700109562146,1.00873248293429,0.331767887786633,0.59597006796882,FALSE,FALSE
"18","PD",0.832864384437926,1.97826080102888,1.36171363014337,"ME",0.323430521090813,1.84481097918056,0.98579652045356,0.421008384741162,0.611629615802727,0.451463263086104,0.844864398643575,FALSE,FALSE
"25","RE",0.742578125,3.47105818164663,2.07541052435516,"MKT",0.742578125,3.47105818164663,2.07541052435516,0.213934220096458,0.357798188014259,0.213934220096458,0.357798188014259,FALSE,FALSE
"26","RE",1.26491119702084,7.58066918383116,3.33078232514262,"Alpha",-0.00403083643808555,0.0457133625990906,0.0170029185379049,0.166860097221862,0.37976399342358,27.6704911890687,74.3937691756243,FALSE,FALSE
"27","RE",0.145168519469213,3.48593330736859,1.61439992140913,"ROE",3.20236569613226,17.4466439976617,7.41312651226172,0.041644089736988,0.089921039727568,0.00832071311185517,0.0195826307873063,FALSE,FALSE
"28","RE",0.399859580203564,50.4934055440588,31.8176650986066,"EG",0.699961525751235,48.8131219166987,29.1947612720531,0.00791904558417357,0.0125672194664301,0.00819164119201264,0.013696278468505,FALSE,FALSE
"29","RE",0.884330437537972,4.92769600697553,2.81306504252358,"ME",-1.78175315197304,1.47393330160187,0.605058223288545,0.179461240361852,0.314365442735958,0.599979956065096,1.46156254638034,FALSE,FALSE
"30","RE",0.795324236262773,18.1457135030461,10.2817320083902,"IA",-1.71150235807435,13.199128049872,7.6571961704836,0.043829868477162,0.0773531381302065,0.060255816388605,0.103866247978409,FALSE,FALSE
"7","NATRES",-0.0563741854248788,3.69258595655422,1.89697739530481,"ROE",1.93365132592441,3.15422605266963,2.28694033400723,-0.0152668579927886,-0.0297179004686139,-0.0178725888644429,-0.0246504836993708,FALSE,FALSE
"8","NATRES",0.000104675167647386,4.77147860049603,2.36843115189074,"EG",0.813883870046139,1.36829871018044,1.75274104010449,2.19376793676711e-05,4.41959934380287e-05,7.65002311765552e-05,5.97208402452571e-05,FALSE,FALSE
"9","NATRES",0.425390624999999,3.37006250608146,5.1782672404306,"MKT",0.425390624999999,3.37006250608146,5.1782672404306,0.126226330886255,0.0821492219788613,0.126226330886255,0.0821492219788613,FALSE,FALSE
"10","NATRES",-0.27227533590101,39.4629707644729,16.6983036561971,"Alpha",0.00638923913334968,0.20169993907662,0.0812643087799019,-0.00689951442140615,-0.0163055686078605,-1.34990291592295,-3.35049100877049,FALSE,FALSE
"11","NATRES",0.393614850260382,0.870924424631976,1.40125146714778,"IA",-0.318573762479628,1.73353900785248,1.16901133482985,0.451950639031292,0.280902364413989,0.227058548136159,0.336707471119322,FALSE,FALSE
"12","NATRES",0.452798570645973,15.7185441697256,24.377301224281,"ME",0.432060953020118,5.57375552175482,8.01562367435423,0.0288066481066406,0.0185745980032836,0.0812376088040933,0.0564894996374006,FALSE,FALSE
"1","INF",0.0983211416512942,0.0547657257455888,0.0251259506977844,"Alpha",0.00589702156976547,0.000795342809817228,0.000309522700364909,1.79530427676682,3.91313120183604,123.621085697485,317.654057474232,FALSE,TRUE
"2","INF",0.280146756562225,20.1580132188957,8.98274418601594,"EG",0.892962931589887,21.3678325657173,9.69988949500037,0.0138975380916816,0.0311872130343363,0.0131106772622177,0.0288814379490221,FALSE,FALSE
"3","INF",0.77490234375,19.2732781574351,22.5086694963038,"MKT",0.77490234375,19.2732781574351,22.5086694963038,0.0402060478461503,0.0344268391286854,0.0402060478461503,0.0344268391286854,FALSE,FALSE
"4","INF",0.468972746254439,26.2256288000831,12.751171993869,"ROE",1.02984999954642,30.7275122157027,16.129013697878,0.017882230768589,0.0367787954299362,0.0152623076987918,0.0290763437268417,FALSE,FALSE
"5","INF",0.758001483667066,33.4525273956845,36.2385858264584,"ME",-0.804466001627861,16.2137471401829,16.1608602307121,0.0226590198911204,0.0209169719617932,0.046750543049268,0.0469035356315105,FALSE,FALSE
"6","INF",0.664456800991253,630.801223874615,351.729770080621,"IA",-0.92911774471271,137.936527411676,75.6283290934558,0.00105335369660495,0.00188911163487512,0.00481711997147906,0.00878581887179032,FALSE,FALSE
