"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.125439453125,25905.6369482509,24,NA,NA,0,TRUE,TRUE,0.265,1.37929980746792,0.862636796776645,0.925156504114354,"MKT","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:01,72907.2851995501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.16463481842694,22731.8754567175,63,NA,NA,0,TRUE,TRUE,0.72,1.72182477895758,0.000508361634873444,1.47157835444634,"ME","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:05,158111.159706253,-0.788792880368169,4.7191015526855,2.51957598816272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.15462910908365,20672.7607084391,61,NA,NA,0,TRUE,TRUE,0.686,1.48312999980523,0.0176200609555958,1.27705780877724,"IA","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:09,140973.375434338,NA,NA,NA,-0.84089915488255,3.25366528102866,2.01023494413793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.80665858853114,17685.2408343211,61,NA,NA,0,TRUE,TRUE,0.643000000000001,5.84847548153384,0,2.70846587569235,"ROE","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:11,20491.0203870274,NA,NA,NA,NA,NA,NA,1.13737454591484,9.71403168455367,3.44912494320903,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.6916719250303,16452.5579101309,61,NA,NA,0,FALSE,TRUE,0.591000000000001,1.74994559884654,0.052072435076188,0.752207231689261,"EG","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:13,51950.0464515572,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816632759849108,3.55582563520174,1.34140927036896,NA,NA,NA
"Nelder-Mead5",0.701624386626902,23723.896134272,73,NA,NA,0,FALSE,TRUE,0.845000000000001,0.256858191781908,0.997067931182065,0.0913378293776557,"Alpha","PE",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:18,23534.4667006102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00319605220932857,0.00199494484361923,0.000714235701659656
"Nelder-Mead6",1.0294921875,4026.55048746595,22,NA,NA,0,TRUE,TRUE,0.243,2.3913435381043,0.94377504526319,1.9875666956071,"MKT","VC",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:01,24610.0107491052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.20039971062297,3201.04174595483,63,NA,NA,0,TRUE,TRUE,0.677,5.51206285551306,0,4.2569367621073,"ME","VC",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:05,30344.1095666436,-1.62137932496319,13.2544624372425,6.7189446711899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.14464422403812,3277.76819086874,57,NA,NA,0,TRUE,TRUE,0.619,73.7727247307577,0,68.8658585290169,"IA","VC",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:09,25499.4303494639,NA,NA,NA,-1.43367060349377,20.1933692263624,20.2267492171638,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.01227516492363,4025.89860584163,37,NA,NA,0,TRUE,TRUE,0.405999999999999,7.25443151982754,0.31051303481828,4.13514294006441,"ROE","VC",180,0,12,"1997","EW_VYP","L2_Lasso","linear",2020-06-27 14:43:11,24834.5986067351,NA,NA,NA,NA,NA,NA,0.0508425980224274,31.7536090096653,12.8470827215092,NA,NA,NA,NA,NA,NA
