"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.6765625,149.691684840619,28,NA,NA,0,TRUE,TRUE,29.505,0.0066811461850434,0.99106279536642,"MKT","PE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:41:58,1043.49916741147,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.6704200464068,146.302988880179,53,NA,NA,0,TRUE,TRUE,57.473,0.649909313501189,0.807208330039482,"ME","PE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:44:40,801.816166902252,1.2518346859375,0.676104703562717,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.17081730556082,143.69723796429,77,NA,NA,0,TRUE,TRUE,60.579,0.458390442891031,0.00183271554589981,"IA","PE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:47:05,952.885386444,NA,NA,2.9487433994727,1.21865107055302,NA,NA,NA,NA
"Nelder-Mead3",2.08930227332057,137.175009356475,69,NA,NA,0,TRUE,TRUE,56.675,0.790875259961945,0.516681242611316,"ROE","PE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:49:28,779.898767207243,NA,NA,NA,NA,1.88400712791554,0.745373479543877,NA,NA
"Nelder-Mead4",2.13510502879864,142.844938633896,73,NA,NA,0,TRUE,TRUE,56.501,0.629586731412615,0.00330629219200462,"EG","PE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:51:40,859.481049986677,NA,NA,NA,NA,NA,NA,2.36889386695327,1.55294652567048
"Nelder-Mead5",2.209375,136.287449822437,24,NA,NA,0,TRUE,TRUE,6.121,0.681025682181438,0.41015810329803,"MKT","VC",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:40:54,1092.70667565424,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.98998521241738,136.06921217287,51,NA,NA,0,TRUE,TRUE,13.485,1.00881242471003,0.758837704704243,"ME","VC",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:41:34,1197.34451179653,0.354364099625673,1.15529306064579,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.15877318652761,134.868163398898,61,NA,NA,0,TRUE,TRUE,16.158,0.597493153148956,0.0101493850686322,"IA","VC",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:42:15,1129.13335867215,NA,NA,1.6150617318192,1.86374955935908,NA,NA,NA,NA
"Nelder-Mead31",1.78375949811453,134.074377977424,63,NA,NA,0,TRUE,TRUE,16.985,0.673124928094111,0.346584714495704,"ROE","VC",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:42:58,1214.78871711882,NA,NA,NA,NA,1.12996225710813,1.23898740229403,NA,NA
"Nelder-Mead41",1.48695523081283,127.917161587858,67,NA,NA,0,TRUE,TRUE,17.864,0.686863134899339,0.000336562088871561,"EG","VC",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:43:42,1142.53485919641,NA,NA,NA,NA,NA,NA,2.9530447440958,1.38143489485602
"Nelder-Mead6",1.8078125,180.63033450352,22,NA,NA,0,TRUE,TRUE,3.083,2.40729235783212,0.0518182182144432,"MKT","PD",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:40:46,3092.06055467453,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.52227009986964,173.765636280473,69,NA,NA,0,TRUE,TRUE,9.855,3.39335421894797,2.87464874126897e-09,"ME","PD",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:41:10,2448.53611290211,1.58303957907629,3.13893052729197,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.40958794441125,175.124454440662,107,NA,NA,0,TRUE,TRUE,15.934,2.00383169575996,0,"IA","PD",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:41:41,2754.47323834703,NA,NA,2.45915718860592,3.96400920189769,NA,NA,NA,NA
"Nelder-Mead32",1.51223071853747,164.805977992401,61,NA,NA,0,TRUE,TRUE,8.624,10.4882632704712,0,"ROE","PD",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:42:03,2269.13510843519,NA,NA,NA,NA,1.60743050577002,11.2053188696632,NA,NA
"Nelder-Mead42",1.45189358176588,168.382293067909,69,NA,NA,0,TRUE,TRUE,9.85599999999999,3.55543078234316,0,"EG","PD",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:42:27,2514.84990775565,NA,NA,NA,NA,NA,NA,2.3527365991098,11.6390086543459
"Nelder-Mead7",1.1609375,154.332313489465,18,NA,NA,0,TRUE,TRUE,4.666,0.96087187233322,0.8771048839628,"MKT","RE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:42:42,1836.75064041468,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.135590478889936,151.943738840678,55,NA,NA,0,TRUE,TRUE,15.412,1.91780548916675,0.000383201896616669,"ME","RE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:43:24,1266.23016577656,1.21067040248163,1.9974228830158,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.931401461176577,153.33048393756,51,NA,NA,0,TRUE,TRUE,14.134,0.873262160881715,0.0143896426833632,"IA","RE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:44:04,1689.86473457755,NA,NA,1.26717940811068,2.28527117291797,NA,NA,NA,NA
"Nelder-Mead33",0.538994956512536,127.825283159707,63,NA,NA,0,TRUE,TRUE,14.815,1.41244221324728,1.27553523299184e-12,"ROE","RE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:44:39,6058.69891694954,NA,NA,NA,NA,4.33876419332652,1.69027220247956,NA,NA
"Nelder-Mead43",0.701265806867746,146.485499032554,55,NA,NA,0,TRUE,TRUE,11.965,0.967305584576979,0,"EG","RE",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:45:10,1360.41435908361,NA,NA,NA,NA,NA,NA,3.45163674906362,3.73480829631255
"Nelder-Mead8",1.784375,599.027141764862,24,NA,NA,0,TRUE,TRUE,0.907999999999987,1.51123099094472,0.235870473035081,"MKT","NATRES",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:43:45,7638.26641736798,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",1.47970893111633,597.148024488065,51,NA,NA,0,TRUE,TRUE,1.92499999999998,3.1378268950654,0.754888312526341,"ME","NATRES",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:43:50,6846.26554975639,0.477610044654284,3.51756360849451,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",1.73029665891081,598.270292000396,47,NA,NA,0,TRUE,TRUE,1.94199999999998,1.56212133948319,0.106103026807951,"IA","NATRES",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:43:56,6864.91170320511,NA,NA,0.486469191126526,4.34232800129559,NA,NA,NA,NA
"Nelder-Mead34",0.850296025948641,533.780347684564,67,NA,NA,0,TRUE,TRUE,2.67899999999997,1.93250630416511,0,"ROE","NATRES",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:44:02,10239.749519306,NA,NA,NA,NA,3.90803263971752,2.20176623894889,NA,NA
"Nelder-Mead44",1.47736179066842,585.282505955191,59,NA,NA,0,TRUE,TRUE,2.226,1.5539595612162,1.37436191482987e-06,"EG","NATRES",60,0,"1997","EW","L2_Lasso","exp.aff",2020-04-09 10:44:07,6134.41141383785,NA,NA,NA,NA,NA,NA,1.76575569370298,2.87900453497252
