"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep","RF","best.key","Tables","Alpha.p.a.","ID"
"661",2.69140625,218.468672043392,28,NA,NA,0,TRUE,TRUE,37.919,1.80225149743293,0.00230109837622194,1.27843226975244,"MKT","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 22:53:55",218.468672043392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PE 40 MKT",NA,NA,"FW - 40"
"666",-0.508798943735113,168.735934664889,85,NA,NA,0,FALSE,TRUE,79.8400000000001,7.02012148997441,0,0.824200906956289,"Alpha","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:23:52",168.735934664889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300473974234407,0.0492108821010058,0.0045847244455513,1,"PE 40 Alpha",NA,0.125715994077707,"FW - 40"
"667",2.70078125,118.732731455882,28,NA,NA,0,TRUE,TRUE,11.045,2.05783247204762,0.000465392771659912,0.861810010297129,"MKT","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 22:50:23",118.732731455882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VC 40 MKT",NA,NA,"FW - 40"
"677",1.43463526204343,174.014119047857,73,NA,NA,0,TRUE,TRUE,11.144,1.4548075785294,0,3.54629621238465,"EG","PD",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 22:52:08",174.014119047857,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.82692654614464,16.9776618649161,9.35343397882908,NA,NA,NA,1,"PD 40 EG",NA,NA,"FW - 40"
"683",0.831211004642732,277.141015642611,69,NA,NA,0,TRUE,TRUE,20.336,3.12520063447547,0,2.14127139586337,"EG","RE",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 22:58:20",277.141015642611,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29625250700456,2.71344368318585,4.60510623116256,NA,NA,NA,1,"RE 40 EG",NA,NA,"FW - 40"
"689",-0.688750093697301,605.719231829822,71,NA,NA,0,TRUE,TRUE,2.97300000000007,2.46807054117397,0,2.35005018760209,"EG","NATRES",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 22:59:37",605.719231829822,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05884146380547,2.93540738964678,2.83634052477025,NA,NA,NA,1,"NATRES 40 EG",NA,NA,"FW - 40"
"694",1.35157947891715,332.162750469075,101,NA,NA,0,TRUE,TRUE,3.673,12.9490714376769,0,8.11676060199267,"ROE","INF",40,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:00:15",332.162750469075,NA,NA,NA,NA,NA,NA,5.82459480959253,25.3984540098685,28.2259963378773,NA,NA,NA,NA,NA,NA,1,"INF 40 ROE",NA,NA,"FW - 40"
"699",1.88421897963336,231.425214658432,71,NA,NA,0,TRUE,TRUE,72.734,5.46701699748358,0,1.38933475159406,"IA","PE",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:39:05",231.425214658432,NA,NA,NA,2.8105032749653,18.4492954505664,2.45143631590843,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PE 60 IA",NA,NA,"FW - 60"
"702",-0.292837130142025,196.016329014594,91,NA,NA,0,FALSE,TRUE,88.5060000000001,8.45053977827839,0,1.21831002514235,"Alpha","PE",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:57:23",196.016329014594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026080425469026,0.0784900240517016,0.00776328684421546,1,"PE 60 Alpha",NA,0.108474254520079,"FW - 60"
"703",2.125,129.281193057743,24,NA,NA,0,TRUE,TRUE,9.218,1.43024159136768,0.107611577018343,0.936262968714491,"MKT","VC",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:24:41",129.281193057743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VC 60 MKT",NA,NA,"FW - 60"
"713",1.38135195167691,188.304982139224,71,NA,NA,0,TRUE,TRUE,10.05,1.44447941828424,0,3.54593585778379,"EG","PD",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:26:12",188.304982139224,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75388077096807,17.3942322249951,9.37921915020079,NA,NA,NA,1,"PD 60 EG",NA,NA,"FW - 60"
"719",0.740696451788898,285.576584052823,67,NA,NA,0,TRUE,TRUE,16.797,3.45181362615658,0,2.26753417660489,"EG","RE",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:31:41",285.576584052823,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11089688478414,2.80145345918269,4.77950838789766,NA,NA,NA,1,"RE 60 EG",NA,NA,"FW - 60"
"723",-1.08093021109017,618.476535296446,113,NA,NA,0,TRUE,TRUE,4.15200000000004,3.42807618096352,0,2.32183352906658,"IA","NATRES",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:33:50",618.476535296446,NA,NA,NA,3.40157712663197,4.45743845538664,3.86395559351154,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"NATRES 60 IA",NA,NA,"FW - 60"
"730",1.29444020574311,341.738290656837,87,NA,NA,0,TRUE,TRUE,2.64300000000003,21.0059054695586,0,10.8124857903157,"ROE","INF",60,0,12,"ALL","FW","L2_Lasso","exp.aff","2020-04-12 23:34:32",341.738290656837,NA,NA,NA,NA,NA,NA,5.8191015763284,25.0833960821472,24.5007990025756,NA,NA,NA,NA,NA,NA,1,"INF 60 ROE",NA,NA,"FW - 60"
