"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.69375,224.5000620868,28,NA,NA,0,TRUE,TRUE,34.057,1.85247087068626,0.00170324063053495,"MKT","PE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:00:26,566.817633378847,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.57070589563227,220.025278988086,53,NA,NA,0,TRUE,TRUE,68.886,4.26734919650893,0,"ME","PE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:05:25,596.115992883274,1.17685894293827,8.57944935147899,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.02685598700699,219.924063144037,121,NA,NA,0,TRUE,TRUE,110.274,1.93377436862677,0,"IA","PE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:10:51,646.384623920088,NA,NA,3.1073425636109,20.9957655432395,NA,NA,NA,NA
"Nelder-Mead3",2.07091225017102,176.867224360842,83,NA,NA,0,TRUE,TRUE,79.687,5.61587896872964,0,"ROE","PE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:15:36,1424.03639517735,NA,NA,NA,NA,3.95548067451562,4.12464169682776,NA,NA
"Nelder-Mead4",1.95133631555981,215.130770087679,73,NA,NA,0,TRUE,TRUE,68.481,3.17542088382758,0,"EG","PE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:20:02,680.061530375872,NA,NA,NA,NA,NA,NA,3.83478303623104,10.2476982096736
"Nelder-Mead5",2.12421875,104.914521340958,26,NA,NA,0,TRUE,TRUE,8.677,2.58637143516636,0.00364158841598128,"MKT","VC",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:57:02,1803.20630454955,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.12176049275295,103.338459969424,49,NA,NA,0,TRUE,TRUE,16.434,4.34889088099847,0.0399739379614295,"ME","VC",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:58:16,2516.76294632456,1.02322028603085,2.33410928768287,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.81772876960739,102.723850203466,67,NA,NA,0,TRUE,TRUE,22.678,2.27711954604913,0,"IA","VC",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:59:30,2201.14006550059,NA,NA,2.22558109893037,3.53252662993095,NA,NA,NA,NA
"Nelder-Mead31",1.36968718205478,98.1167108420473,65,NA,NA,0,TRUE,TRUE,20.865,3.54392414962357,0,"ROE","VC",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:00:46,2471.70550002743,NA,NA,NA,NA,2.23987578422984,3.56233603403577,NA,NA
"Nelder-Mead41",1.25977060216035,99.2637270675725,75,NA,NA,0,TRUE,TRUE,25.507,9.69693552832659,0,"EG","VC",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:02:08,2402.06490618535,NA,NA,NA,NA,NA,NA,3.68783707499167,15.3435271626375
"Nelder-Mead6",1.75,245.019853533534,28,NA,NA,0,TRUE,TRUE,3.945,76.4286789027214,0,"MKT","PD",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:56:36,429.074892399734,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.65109849075088,244.930695190993,43,NA,NA,0,TRUE,TRUE,6.291,60.9015093591796,0,"ME","PD",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:57:02,391.373784097126,0.140097774181049,36.8797484490101,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.69236689269892,244.588179419124,49,NA,NA,0,TRUE,TRUE,7.106,26.8455013389064,0,"IA","PD",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:57:30,382.474635650894,NA,NA,0.424659326422261,10.1568226631913,NA,NA,NA,NA
"Nelder-Mead32",2.08775572087227,191.815573170501,75,NA,NA,0,TRUE,TRUE,11.237,25.1857361421671,0,"ROE","PD",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:58:05,2295.11534128097,NA,NA,NA,NA,2.96721230650212,77.451428165436,NA,NA
"Nelder-Mead42",1.44845327917933,177.819320366153,73,NA,NA,0,TRUE,TRUE,10.708,4.80932137491757,0,"EG","PD",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:58:38,665.129223443605,NA,NA,NA,NA,NA,NA,3.9540359964444,22.4914151544969
"Nelder-Mead7",1.33359375,312.322599249693,22,NA,NA,0,TRUE,TRUE,5.812,1.85981932081613,0.534978608793603,"MKT","RE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 16:59:14,1588.73372139825,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",-0.587247105837217,293.965914825391,57,NA,NA,0,TRUE,TRUE,14.526,18.1910311758789,0,"ME","RE",40,0,"1994","FW","L2_Lasso","exp.aff",2020-04-08 17:00:16,1842.66248220564,2.32531422609966,17.5966437139415,NA,NA,NA,NA,NA,NA
