"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.381640625,398.9114494527,30,NA,NA,0,TRUE,TRUE,15.669,1.17919678500622,0.10326514610323,1.737882772569,"MKT","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:54,544.811602790828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.39909539711735,391.205860108298,51,NA,NA,0,TRUE,TRUE,28.754,4.27478695044761,0,2.28604184064444,"ME","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:56:59,532.626246285755,1.00743504251222,12.8768180793792,2.42296406692949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.36397230348857,398.907187268126,59,NA,NA,0,TRUE,TRUE,29.919,5.80585288354185,0.00019812215385262,2.16055368158308,"IA","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:58:42,543.547055193545,NA,NA,NA,0.0787354096623856,50.186277022857,6.45581039835267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",2.13118328930201,375.215782142237,67,NA,NA,0,TRUE,TRUE,28.543,2.06856723934191,0,2.03254660221917,"ROE","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 22:00:17,429.822091630496,NA,NA,NA,NA,NA,NA,1.75713682172568,10.034110369156,2.43351857805112,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",2.00024184258906,392.953820477365,67,NA,NA,0,TRUE,TRUE,27.444,2.89612102817076,0,2.06335416392927,"EG","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 22:01:54,528.041493307425,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93270439705543,21.3140390593458,3.38262455162957,NA,NA,NA
"Nelder-Mead5",0.476950329911358,375.8072067398,71,NA,NA,0,FALSE,TRUE,29.159,0.0185033142843808,0.999954311836248,0.00220891815826478,"Alpha","PE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 22:04:34,363.734238697932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181346557082407,0.00661702505753831,0.00131406477248166
"Nelder-Mead6",1.96328125,176.444498559012,26,NA,NA,0,TRUE,TRUE,6.106,0.976121777772975,0.347074055012348,0.938629098399967,"MKT","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:06,422.136610415339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.63011101144994,143.933568283566,65,NA,NA,0,TRUE,TRUE,16.705,10.0864097031603,0,1.36876073011115,"ME","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:55:01,454.839196650996,-2.09038738390555,11.8786804443276,1.33395225981041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.0887923679285,169.212391425349,65,NA,NA,0,TRUE,TRUE,16.927,0.976685023970889,0,1.0012846496514,"IA","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:56:33,433.035008358916,NA,NA,NA,-2.96479841432215,9.097309439367,1.7313028035356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",2.45140337464657,152.687327736815,71,NA,NA,0,TRUE,TRUE,15.916,2.02942726897281,0,0.733665091028243,"ROE","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:57:57,549.678411543403,NA,NA,NA,NA,NA,NA,-2.63296224949503,4.45918129846131,0.686918994615376,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",2.50917588382804,161.592711820585,69,NA,NA,0,TRUE,TRUE,12.231,2.45984149680143,0,0.861705377358359,"EG","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:59:06,534.749114369273,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.76454698642958,6.62691029873798,1.16892467901899,NA,NA,NA
"Nelder-Mead51",3.96038042431981,152.99872055656,73,NA,NA,0,FALSE,TRUE,13.048,12.4329845947863,0,1.32354133089005,"Alpha","VC",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:59:46,604.092588933785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0198094438126304,0.0500046486678385,0.00582507104956884
"Nelder-Mead7",1.593359375,476.185727230379,26,NA,NA,0,TRUE,TRUE,1.551,6.52180949481559,0.000108935035600943,11.1745997543849,"MKT","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:53:45,468.386153645003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.93240567274042,474.874756423363,59,NA,NA,0,TRUE,TRUE,3.994,26.6053292309347,0,5.68237139932947,"ME","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:53:57,496.308578105401,-0.472772244102089,60.2624651074485,18.7365015826582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.53760063298978,475.615036784207,51,NA,NA,0,TRUE,TRUE,3.276,8.84381696865372,0.00544808447176581,5.71223226004092,"IA","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:08,463.273179025815,NA,NA,NA,0.422085624886677,9.58551957435173,12.9717936112792,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",1.85685180275064,425.337958526292,67,NA,NA,0,TRUE,TRUE,4.444,1.80902700069493,7.74417641125069e-10,1.8825683296764,"ROE","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:21,366.028657595503,NA,NA,NA,NA,NA,NA,2.0125388726718,3.57534617682929,5.98325630107767,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",1.3457894865441,324.390725962046,73,NA,NA,0,TRUE,TRUE,4.405,1.64612111924693,0,3.34903036005038,"EG","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:34,427.692151944365,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80944074924043,16.5583184435483,10.2118403146573,NA,NA,NA
"Nelder-Mead52",0.574435214683776,349.213632262981,73,NA,NA,0,FALSE,TRUE,4.559,1.86264557494909,0.730275361705898,3.74394174424243,"Alpha","PD",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:54:56,312.599896281695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172084996665241,0.132579712860647,0.0433578199804656
"Nelder-Mead8",0.846484375,714.887385106498,22,NA,NA,0,TRUE,TRUE,1.961,1.19387971916356,0.854578960808364,2.04744349252487,"MKT","RE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:55:08,494.9505374531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",-0.19434339900763,703.141699633033,57,NA,NA,0,TRUE,TRUE,5.127,9.78447567265937,0,2.2806774113602,"ME","RE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:55:25,476.304669803203,1.22997809397748,8.84269016791466,2.16537537516817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",-0.781142331350356,663.517405062241,71,NA,NA,0,TRUE,TRUE,6.386,7.20680933919303,0,1.63682362090457,"IA","RE",60,0,12,"2012","FW","L2_Lasso","exp.aff",2020-04-12 21:55:43,1125.07276619306,NA,NA,NA,6.93855677589263,20.3177788544584,4.97679987988168,NA,NA,NA,NA,NA,NA,NA,NA,NA
