"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.06611328125,31160.9529770159,22,NA,NA,0,TRUE,TRUE,0.331,2.96894906719513,0.84438556360069,2.83513988424229,"MKT","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:28,31160.9529770159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",0.996417509754655,27387.1885228215,69,NA,NA,0,TRUE,TRUE,0.968,25.9706043878284,0,21.0686812836832,"ME","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:31,27387.1885228215,0.844647967839237,19.1613414561226,18.4261798244797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.00771751208458,30315.7317894782,63,NA,NA,0,TRUE,TRUE,0.878,3.11702753079037,0.00647072308256724,2.76702158408503,"IA","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:34,30315.7317894782,NA,NA,NA,0.453813515786958,6.96030730340441,3.64064263069722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.787911087879592,25440.9302730424,65,NA,NA,0,TRUE,TRUE,0.801,9.24353292011303,0.415377941144241,4.22912483192085,"ROE","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:36,25440.9302730424,NA,NA,NA,NA,NA,NA,1.31114528743465,0.610341605577247,0.341455166840022,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.757080212249313,26857.4960316899,59,NA,NA,0,TRUE,TRUE,0.786999999999999,13.357617866557,0,6.49290429889353,"EG","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:39,26857.4960316899,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656615954787915,9.63068744173735,4.45243016193193,NA,NA,NA
"Nelder-Mead5",0.566738287817562,26632.0459653194,73,NA,NA,0,FALSE,TRUE,1.078,23.385335132963,0,9.88507312042472,"Alpha","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:43,26632.0459653194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00355874372158044,0.0609834172567162,0.0328224954420584
"Nelder-Mead6",0.70234375,6447.66164236159,24,NA,NA,0,TRUE,TRUE,0.292,2.27331121410988,0.498618343197596,2.30654138206876,"MKT","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:29,6447.66164236159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.05570829987542,3960.03309388604,57,NA,NA,0,TRUE,TRUE,0.821,3.63210203517992,1.71356262512745e-11,3.50089295880729,"ME","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:34,3960.03309388604,-1.30931078366746,5.25754783455972,2.48868318799313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.04597822558101,4293.74710863937,61,NA,NA,0,TRUE,TRUE,0.675000000000001,13.1011318704821,0,13.8242238824769,"IA","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:38,4293.74710863937,NA,NA,NA,-1.9360119440214,10.8475741621049,8.26720296463614,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.35757483787991,4264.4272202343,65,NA,NA,0,TRUE,TRUE,0.853,10.3264312518902,1.11022302462516e-16,5.48278500780825,"ROE","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:42,4264.4272202343,NA,NA,NA,NA,NA,NA,-1.4161945704734,3.94371302043534,2.88348389352192,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.51700077933511,4444.85485924224,59,NA,NA,0,TRUE,TRUE,0.736000000000001,9.50052853005966,0,4.73807939886978,"EG","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:46,4444.85485924224,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.11891021739211,6.86173284447222,2.63112625516028,NA,NA,NA
"Nelder-Mead51",1.73097509272693,3868.85683354072,91,NA,NA,0,FALSE,TRUE,1.107,91.1231001189141,0,37.1921744757401,"Alpha","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:48,3868.85683354072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00579894870243053,0.330167911639192,0.132154115766049
"Nelder-Mead7",0.893359375,2816.34127305865,28,NA,NA,0,TRUE,TRUE,0.316,0.691301832408041,0.941232500492687,1.2441549698532,"MKT","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:29,2816.34127305865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.7558178529229,1847.99199424416,61,NA,NA,0,TRUE,TRUE,0.714,1.88945100075637,0.0392380424833193,1.53644902310894,"ME","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:31,1847.99199424416,0.707464353878649,2.97636363349982,1.84505305581843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.755249500307638,2176.48912709305,59,NA,NA,0,FALSE,TRUE,0.66,1.91135090376151,0.0610321770503952,1.29834895182372,"IA","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:33,2176.48912709305,NA,NA,NA,0.71723005522793,2.76569449042146,2.62672177862359,NA,NA,NA,NA,NA,NA,NA,NA,NA
