"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"661","PE",40,2.2935546875,3.66334478213229,4.14838099086521,"MKT",2.2935546875,3.66334478213229,4.14838099086521
"662","PE",40,2.1478806816498,18.4986424172344,6.82218141859864,"ME",2.1478806816498,18.4986424172344,6.82218141859864
"663","PE",40,2.15973170829984,66.7568283735896,61.1179818806475,"IA",2.15973170829984,66.7568283735896,61.1179818806475
"664","PE",40,1.02854965165147,219.524260690913,81.7341159010489,"ROE",2.53794894197337,161.736650868493,60.7034138688412
"665","PE",40,1.35381732464075,21.2983534991216,8.78898653769388,"EG",1.35381732464075,21.2983534991216,8.78898653769388
"666","PE",40,1.02416754325132,16.7039312657543,7.77499292567569,"Alpha",1.02416754325132,16.7039312657543,7.77499292567569
"667","VC",40,1.566015625,13.5237040152858,10.4829622267525,"MKT",1.566015625,13.5237040152858,10.4829622267525
"668","VC",40,2.23391029135313,18.939467366187,7.37167832414951,"ME",2.23391029135313,18.939467366187,7.37167832414951
"669","VC",40,1.28210368333285,10.1597799772436,9.505165925073,"IA",1.28210368333285,10.1597799772436,9.505165925073
"670","VC",40,1.84468296452952,14.7341580088197,5.89301858331533,"ROE",-0.697046379958812,6.61417031100074,4.78580221224334
"671","VC",40,0.685620204375361,37.3906585796412,18.3528158394329,"EG",0.685620204375361,37.3906585796412,18.3528158394329
"672","VC",40,2.74676054490258,36.8630689225181,15.4397167692076,"Alpha",2.74676054490258,36.8630689225181,15.4397167692076
"673","PD",40,1.919921875,5.64757324814839,15.0844364340502,"MKT",1.919921875,5.64757324814839,15.0844364340502
"674","PD",40,0.964902204714748,35.8559624969062,16.9480282026245,"ME",0.964902204714748,35.8559624969062,16.9480282026245
"675","PD",40,1.90007769950789,9.58706275620307,15.9486586976751,"IA",1.90007769950789,9.58706275620307,15.9486586976751
"676","PD",40,1.55241781550038,311.283373941539,155.517710922077,"ROE",1.45243313256921,180.939059502964,105.272585565717
"677","PD",40,1.58771811509214,21.1422839770598,32.9542044364304,"EG",1.58771811509214,21.1422839770598,32.9542044364304
"678","PD",40,0.475643616342571,31.37308484139,18.3398741686736,"Alpha",0.475643616342571,31.37308484139,18.3398741686736
"679","RE",40,1.406640625,68.2203716329638,55.9324354316038,"MKT",1.406640625,68.2203716329638,55.9324354316038
"680","RE",40,2.54581920672478,157.787802566567,91.4057423499124,"ME",2.54581920672478,157.787802566567,91.4057423499124
"681","RE",40,1.11797147605879,3.93996651440875,6.85817271052214,"IA",1.11797147605879,3.93996651440875,6.85817271052214
"682","RE",40,0.261543298045346,17.1103815002499,9.21704088637505,"ROE",3.28426450434605,3.81920187303946,2.8540349930243
"683","RE",40,0.430856414738266,60.9001472198785,33.3651800439295,"EG",0.430856414738266,60.9001472198785,33.3651800439295
"684","RE",40,-0.660856473782165,52.2020337980862,23.5952281084742,"Alpha",-0.660856473782165,52.2020337980862,23.5952281084742
"685","NATRES",40,0.461328125,88.2317386070519,218.512484008344,"MKT",0.461328125,88.2317386070519,218.512484008344
"686","NATRES",40,-0.519092908081076,19.667293851625,23.2748533331774,"ME",-0.519092908081076,19.667293851625,23.2748533331774
"687","NATRES",40,0.314020550767145,2.73245797823618,5.45894927286459,"IA",0.314020550767145,2.73245797823618,5.45894927286459
"688","NATRES",40,-0.457734482659618,14.6913848529895,8.37236585869611,"ROE",2.48149806493502,36.3295045915716,18.3207599144992
"689","NATRES",40,-0.443442764108484,101.446051867733,53.9065804847708,"EG",-0.443442764108484,101.446051867733,53.9065804847708
"690","NATRES",40,-2.42151368384725,134.686393849302,58.5351626702126,"Alpha",-2.42151368384725,134.686393849302,58.5351626702126
"691","INF",40,2.011328125,15.8454235089002,19.9610747114832,"MKT",2.011328125,15.8454235089002,19.9610747114832
"692","INF",40,2.76944653418286,102.483619578826,46.7860544057524,"ME",2.76944653418286,102.483619578826,46.7860544057524
"693","INF",40,1.81158083365299,21.6720468419848,14.4445599573023,"IA",1.81158083365299,21.6720468419848,14.4445599573023
"694","INF",40,0.52203317144522,9.44375376424671,10.3005732317499,"ROE",2.88264832516741,35.1500835816274,18.76300506519
"695","INF",40,1.24390981858596,26.3813152671494,18.544944857366,"EG",1.24390981858596,26.3813152671494,18.544944857366
"696","INF",40,-0.882876650721772,0.219605421533187,0.100076839805007,"Alpha",-0.882876650721772,0.219605421533187,0.100076839805007
"697","PE",60,2.253125,3.63867310926381,4.10998066037669,"MKT",2.253125,3.63867310926381,4.10998066037669
"698","PE",60,2.04101053021586,19.751686192923,7.32746665817083,"ME",2.04101053021586,19.751686192923,7.32746665817083
"699","PE",60,2.11699941568707,74.9587148896092,69.6505341240264,"IA",2.11699941568707,74.9587148896092,69.6505341240264
"700","PE",60,1.10235074282305,200.649434176052,74.6100711164847,"ROE",2.4003367943291,147.228553113565,55.2264343274837
"701","PE",60,1.366141865323,21.3155286775575,8.80872021775174,"EG",1.366141865323,21.3155286775575,8.80872021775174
"702","PE",60,1.16834992918335,13.2602457998533,6.70502860882248,"Alpha",1.16834992918335,13.2602457998533,6.70502860882248
"703","VC",60,1.3798828125,5.36399737458547,3.68411951446881,"MKT",1.3798828125,5.36399737458547,3.68411951446881
"704","VC",60,2.51454312853827,23.1716567607138,9.04150625025387,"ME",2.51454312853827,23.1716567607138,9.04150625025387
"705","VC",60,1.13594489879263,13.0146936099581,7.99380888676162,"IA",1.13594489879263,13.0146936099581,7.99380888676162
"706","VC",60,1.84211418500345,13.0944348622301,5.80155395288604,"ROE",-1.05453961875683,46.2553143995615,18.2476631277115
