"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep","RF","best.key","Tables","Alpha.p.a.","ID"
"664",1.02854965165147,14436.4837766792,123,NA,NA,0,TRUE,TRUE,1.525,219.524260690913,0,81.7341159010489,"ROE","PE",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:38:53",14436.4837766792,NA,NA,NA,NA,NA,NA,2.53794894197337,161.736650868493,60.7034138688412,NA,NA,NA,NA,NA,NA,1,"PE 40 ROE",NA,NA,"FW_VYP - 40"
"671",0.685620204375361,4132.32942082404,61,NA,NA,0,TRUE,TRUE,0.768000000000001,37.3906585796412,0,18.3528158394329,"EG","VC",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:38:54",4132.32942082404,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45579171228576,21.2697595892548,9.76403143549211,NA,NA,NA,1,"VC 40 EG",NA,NA,"FW_VYP - 40"
"674",0.964902204714748,4123.06606862358,63,NA,NA,0,TRUE,TRUE,0.597,35.8559624969062,1.11022302462516e-16,16.9480282026245,"ME","PD",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:38:46",4123.06606862358,1.36794381947628,7.1055906299427,4.40746397462044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PD 40 ME",NA,NA,"FW_VYP - 40"
"682",0.261543298045346,6930.3241214219,73,NA,NA,0,TRUE,TRUE,0.651,17.1103815002499,8.77076189453874e-15,9.21704088637505,"ROE","RE",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:02",6930.3241214219,NA,NA,NA,NA,NA,NA,3.28426450434605,3.81920187303946,2.8540349930243,NA,NA,NA,NA,NA,NA,1,"RE 40 ROE",NA,NA,"FW_VYP - 40"
"688",-0.457734482659618,2889.23048210078,71,NA,NA,0,TRUE,TRUE,0.57,14.6913848529895,0,8.37236585869611,"ROE","NATRES",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:04",2889.23048210078,NA,NA,NA,NA,NA,NA,2.48149806493502,36.3295045915716,18.3207599144992,NA,NA,NA,NA,NA,NA,1,"NATRES 40 ROE",NA,NA,"FW_VYP - 40"
"690",-2.42151368384725,2584.73039543674,89,NA,NA,0,FALSE,TRUE,0.489999999999998,134.686393849302,0,58.5351626702126,"Alpha","NATRES",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:07",2584.73039543674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200402843648203,0.933376221582246,0.446725101064453,1,"NATRES 40 Alpha",NA,0.0826031704915096,"FW_VYP - 40"
"694",0.52203317144522,4369.14180873498,89,NA,NA,0,TRUE,TRUE,0.350999999999999,9.44375376424671,0,10.3005732317499,"ROE","INF",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:01",4369.14180873498,NA,NA,NA,NA,NA,NA,2.88264832516741,35.1500835816274,18.76300506519,NA,NA,NA,NA,NA,NA,1,"INF 40 ROE",NA,NA,"FW_VYP - 40"
"696",-0.882876650721772,4234.77643381084,83,NA,NA,0,FALSE,TRUE,0.378,0.219605421533187,0.918057973299466,0.100076839805007,"Alpha","INF",40,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:04",4234.77643381084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0180075850386791,0.00105022675043704,0.000438328579188808,1,"INF 40 Alpha",NA,0.0739994415243832,"FW_VYP - 40"
"700",1.10235074282305,16020.6656750536,73,NA,NA,0,TRUE,TRUE,0.914000000000001,200.649434176052,0,74.6100711164847,"ROE","PE",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:19",16020.6656750536,NA,NA,NA,NA,NA,NA,2.4003367943291,147.228553113565,55.2264343274837,NA,NA,NA,NA,NA,NA,1,"PE 60 ROE",NA,NA,"FW_VYP - 60"
"705",1.13594489879263,4212.73894611751,77,NA,NA,0,TRUE,TRUE,1.105,13.0146936099581,0,7.99380888676162,"IA","VC",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:16",4212.73894611751,NA,NA,NA,-2.63422563121487,9.38319366201779,6.61013160274651,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VC 60 IA",NA,NA,"FW_VYP - 60"
"710",0.918401309591718,4277.96762993679,59,NA,NA,0,TRUE,TRUE,0.667,36.3724600568268,7.7472472881368e-12,17.1776383826854,"ME","PD",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:11",4277.96762993679,1.36436015514191,7.23421424111977,4.42228606228757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PD 60 ME",NA,NA,"FW_VYP - 60"
"718",0.307717426457182,7896.24422784384,69,NA,NA,0,TRUE,TRUE,0.528000000000002,18.2612021901903,0,9.56008485531781,"ROE","RE",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:27",7896.24422784384,NA,NA,NA,NA,NA,NA,3.07814781492267,2.44310308134118,1.94941786541651,NA,NA,NA,NA,NA,NA,1,"RE 60 ROE",NA,NA,"FW_VYP - 60"
"725",-0.498546592107961,2824.1339816609,63,NA,NA,0,TRUE,TRUE,0.336000000000002,95.872633382773,0,43.8590708992398,"EG","NATRES",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:33",2824.1339816609,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38543568599111,105.212441688739,53.4301207200003,NA,NA,NA,1,"NATRES 60 EG",NA,NA,"FW_VYP - 60"
"730",0.379386254144035,4531.56856010418,67,NA,NA,0,TRUE,TRUE,0.312999999999999,9.8467196658464,0,9.98942442287689,"ROE","INF",60,0,12,"ALL","FW_VYP","L2_Lasso","exp.aff","2020-04-13 15:39:28",4531.56856010418,NA,NA,NA,NA,NA,NA,2.89487857938401,34.5303935861952,18.5785320287564,NA,NA,NA,NA,NA,NA,1,"INF 60 ROE",NA,NA,"FW_VYP - 60"
