"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.728515625,21248.6354384403,32,NA,NA,0,TRUE,TRUE,0.314,7.02331883755431,0,"MKT","PE",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:12,55842.6670836429,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.00619474252748,20950.900334175,67,NA,NA,0,TRUE,TRUE,0.659,13.1522147791364,0,"ME","PE",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:14,64511.8109073695,-0.393735508013787,6.1049373663025,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.23608761794908,17576.6137056782,51,NA,NA,0,TRUE,TRUE,0.679,46.0762064131885,0,"IA","PE",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:17,86994.1682572684,NA,NA,-1.35833871476552,15.3177002412479,NA,NA,NA,NA
"Nelder-Mead3",0.969962434855059,11353.5533952925,77,NA,NA,0,TRUE,TRUE,0.865,214.853400334031,0,"ROE","PE",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:19,35045.809193325,NA,NA,NA,NA,3.02670954155018,166.289474980339,NA,NA
"Nelder-Mead4",1.4209540928714,5981.7320673964,57,NA,NA,0,FALSE,TRUE,0.56,52.625216341997,0,"EG","PE",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:20,62586.5491126552,NA,NA,NA,NA,NA,NA,1.49167358940467,114.43998805602
"Nelder-Mead5",3.089453125,2966.59077019833,32,NA,NA,0,TRUE,TRUE,0.332,18.2232073125802,0,"MKT","VC",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:12,14327.2978833661,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.710889906659,2566.2104698162,69,NA,NA,0,TRUE,TRUE,0.678,13.3445006121536,0,"ME","VC",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:14,13341.6539692317,-0.878804799336808,5.57297288343184,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.84782549351476,2921.40063663583,69,NA,NA,0,TRUE,TRUE,0.664,12.3641193686331,0,"IA","VC",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:15,13517.7388654377,NA,NA,-0.684623762649063,11.861913934101,NA,NA,NA,NA
"Nelder-Mead31",3.55226020062372,2816.43967453071,119,NA,NA,0,TRUE,TRUE,1.235,20.1809247801771,0,"ROE","VC",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:18,13839.6613334623,NA,NA,NA,NA,-0.852305958246373,8.69380824729194,NA,NA
"Nelder-Mead41",2.47119855880737,2791.91223580535,51,NA,NA,0,TRUE,TRUE,0.483,26.0534853393289,0,"EG","VC",60,0,"2003","FW","L2_Lasso","exp.aff",2020-04-10 11:19:19,14182.4304672312,NA,NA,NA,NA,NA,NA,0.78265700340271,23.7415834851747
