"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.0572265625,18779.5951789698,30,NA,NA,0,TRUE,TRUE,0.3,3.54053618768979,0.000181728463543696,3.02549580297132,"MKT","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:45,170133.61468613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.49856147733517,16653.6485224626,61,NA,NA,0,TRUE,TRUE,0.607,31.4272563021844,3.93018950717305e-13,16.9453179817933,"ME","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:46,168817.458644701,0.744476871797815,31.1248627480121,19.028814480318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.04189471471909,18591.0101596777,67,NA,NA,0,TRUE,TRUE,0.701,3.91507014986001,5.77315972805081e-15,3.2465629194637,"IA","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:48,214753.248179454,NA,NA,NA,0.541219709654251,9.7018622497444,5.69392669581495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.40825827527416,15471.112699784,123,NA,NA,0,TRUE,TRUE,1.227,50.4765203391144,0,22.1738559103129,"ROE","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:51,111231.152981742,NA,NA,NA,NA,NA,NA,1.50549067935737,51.434584038986,24.4373599076235,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.87518901970048,18603.1419154031,59,NA,NA,0,TRUE,TRUE,0.507000000000001,50.7248057464072,0,33.7036551818016,"EG","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:52,140874.683823198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313159695949638,94.7923532280715,58.2614647556264,NA,NA,NA
"Nelder-Mead5",1.27444327153009,16785.7516405645,119,NA,NA,0,FALSE,TRUE,1.27,51.7970617411249,0,25.5844958084842,"Alpha","PE",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:54,164788.435712036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00464123774086033,0.128058427881302,0.0598255817071051
"Nelder-Mead6",1.084765625,5693.83966093406,18,NA,NA,0,TRUE,TRUE,0.197,2.51847057393122,0.830952796087297,2.26741837515868,"MKT","VC",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:44,27203.287047735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",2.17928592440348,4672.66761624006,55,NA,NA,0,TRUE,TRUE,0.512,4.92695736699353,0,2.71017152718056,"ME","VC",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:47,25706.6456406718,-1.35402807181454,21.1747260047274,8.87562987162837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.04579957695366,5179.11366911658,65,NA,NA,0,TRUE,TRUE,0.612,3.08748913887294,5.84835396000294e-07,2.74282359575727,"IA","VC",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:50,14738.7483630989,NA,NA,NA,-1.92713573185542,2.84183276714927,2.36709010216913,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.97056406637421,4855.12919797292,61,NA,NA,0,TRUE,TRUE,0.585,8.87070317649797,0,4.06759197922459,"ROE","VC",60,0,12,"2012","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:37:53,33508.6274677006,NA,NA,NA,NA,NA,NA,-2.00512778190896,19.7379448765723,8.35307900602858,NA,NA,NA,NA,NA,NA
