"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.12587890625,28538.3682246187,24,NA,NA,0,TRUE,TRUE,0.367,1.00285463218552,0.899543338989459,0.868028486398663,"MKT","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:49,28538.3682246187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.12051244911709,28510.3888792222,45,NA,NA,0,TRUE,TRUE,0.636,1.02298074421901,0.983403318257972,0.897499405301995,"ME","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:52,28510.3888792222,0.0744753193452198,2.02085148002219,0.914779260874009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.1584806370025,27913.5599018931,45,NA,NA,0,TRUE,TRUE,0.601,1.12466482261999,0.741811986603357,1.06848533415724,"IA","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:57,27913.5599018931,NA,NA,NA,-0.33822640820872,2.49943514916645,1.25889858113143,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.769584515557996,20744.1484056217,61,NA,NA,0,TRUE,TRUE,0.973999999999998,7.97583622720095,0,3.34766622267503,"ROE","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:00,20744.1484056217,NA,NA,NA,NA,NA,NA,1.53989384379055,5.14000038741733,3.49931449126587,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.70865565747523,21981.5193697618,59,NA,NA,0,TRUE,TRUE,1.13,2.47045621425052,0.0066693397795905,1.15315426315715,"EG","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:03,21981.5193697618,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807450000879772,4.69330303300982,1.95951846879791,NA,NA,NA
"Nelder-Mead5",0.643751005128984,25625.9781233323,73,NA,NA,0,FALSE,TRUE,1.201,1.23374129575519,0.907964705113642,0.585415106954476,"Alpha","PE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:09,25625.9781233323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00339330169916821,0.0361464038515265,0.0134275890354521
"Nelder-Mead6",0.8009765625,5445.1143676313,24,NA,NA,0,TRUE,TRUE,0.342,704.454554706218,0,561.597708431069,"MKT","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:50,5445.1143676313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.11405892855721,3286.69636176795,57,NA,NA,0,TRUE,TRUE,0.809,3.8612300709826,1.13494991182961e-10,2.89445545313657,"ME","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:55,3286.69636176795,-1.38343342522514,5.10200904105849,2.21084393963119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.05315587775065,3377.44807561875,63,NA,NA,0,TRUE,TRUE,0.821000000000002,4.15017749685438,0.000262554982538354,2.7327901746771,"IA","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:01,3377.44807561875,NA,NA,NA,-1.95943718294884,2.09971164362408,1.76719531689067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.42914279668883,4155.98076368271,59,NA,NA,0,TRUE,TRUE,1.016,8.07281512019314,0,3.21892823283365,"ROE","VC",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:06,4155.98076368271,NA,NA,NA,NA,NA,NA,-1.30576864094264,18.0548302531497,6.91911312800235,NA,NA,NA,NA,NA,NA
