"","Type","max.quarter","MKT","SE.MKT","Factor","Coef","SE.Coef","Wald.p.value.MKT_1"
"551","PE",40,2.675,1.21244838688644,"MKT",NA,NA,0.0422701068158627
"552","PE",40,1.39410996946972,1.45040032326555,"ME",1.35990555977915,1.30408133041017,0.310986430122631
"553","PE",40,1.96521066640526,1.02939087020751,"IA",3.36354665074711,2.12012183307836,7.22951698506336e-11
"554","PE",40,2.19933680731252,1.47775918901765,"ROE",3.14860023369774,0.863540739992836,0.173976464979182
"555","PE",40,1.94122575829183,1.30336089026532,"EG",3.83118186900198,1.641410222383,2.14542667631434e-07
"556","VC",40,2.45625,0.788132701591394,"MKT",NA,NA,0.251084896075124
"557","VC",40,3.29887830569702,1.14301094307799,"ME",-1.13483411717854,1.05851010339808,0.00161670148618387
"558","VC",40,2.47613300760277,0.844125650322802,"IA",-0.520618673227729,1.53189688089527,0.420582415058548
"559","VC",40,2.47657052413706,0.78195379868342,"ROE",-0.102950506932393,0.819287901954921,0.522052005032961
"560","VC",40,2.37160481903702,0.796983083959057,"EG",0.673583942838014,1.72540003080661,0.204456771551788
"561","PD",40,1.73203125,463.991812441927,"MKT",NA,NA,0
"562","PD",40,1.331367349824,114.733046684844,"ME",0.567823644906457,74.7299910094602,4.98623254618913e-06
"563","PD",40,1.63553274613369,15.6467701712622,"IA",0.727502050144539,17.3697692409256,0
"564","PD",40,2.01056884045082,40.826461397794,"ROE",2.56952121427665,59.0860946053355,0
"565","PD",40,1.43437190263807,5.01038852172008,"EG",3.96289457527357,12.7986640909116,0
"566","RE",40,1.3296875,1.04191489081548,"MKT",NA,NA,0.731217590427267
"567","RE",40,-0.362386467603072,1.7509650368732,"ME",2.07141371968469,1.77392665521041,1.04412639423401e-07
"568","RE",40,1.12195538394153,1.45512713557912,"IA",1.24093737341464,3.69453622709579,3.45529020381319e-05
"569","RE",40,1.13544177343812,1.69949403204558,"ROE",3.67685707396677,0.996318841114425,0.00148852593557003
"570","RE",40,0.576646643709663,1.5396556094732,"EG",6.59902527119853,3.74242594797113,0
"571","NATRES",40,-0.189062500000001,2.28308487192432,"MKT",NA,NA,0.00663297024450815
"572","NATRES",40,-1.557886668208,6.02667841645114,"ME",1.66160326044403,8.33542775190535,0
"573","NATRES",40,-0.947943929150599,2.05993618857229,"IA",3.39981741187336,3.66982040670783,0
"574","NATRES",40,-0.306608614824565,2.3881806806349,"ROE",3.36537452766695,2.87038089752668,0
"575","NATRES",40,-0.725722384120487,2.17292894688016,"EG",4.71990562239936,2.33857958537591,0
"576","INF",40,2.425,2.54761252830974,"MKT",NA,NA,0.000283039509376581
"577","INF",40,3.962462859157,22.1094878051514,"ME",-2.32812394497979,31.1661388078665,0
"578","INF",40,1.72269485930568,2.1030270322556,"IA",3.44272430669562,3.82160960882556,0
"579","INF",40,1.30843520267122,16.8570865927046,"ROE",6.08462956545873,78.8124259267638,0
"580","INF",40,1.64387019101686,2.15179019970774,"EG",5.95861504863746,5.69685056707965,0
"581","PE",60,2.55,1.32032201613792,"MKT",NA,NA,0.0407072884647735
"582","PE",60,1.28445387855172,1.63266113273909,"ME",1.31919576078653,1.31460612939427,0.301562326427455
"583","PE",60,1.91867686562273,1.24619889591447,"IA",2.90463452983243,2.16666381020396,8.16828360505895e-09
"584","PE",60,2.1078981855267,1.6648915503738,"ROE",2.63189180108811,1.08206756854276,0.105163365289513
"585","PE",60,1.8961315432822,1.49400198014464,"EG",3.30300615132024,2.05107785710935,9.21123788355516e-09
"586","VC",60,2.1625,0.827226887075867,"MKT",NA,NA,0.33622481509268
"587","VC",60,3.25211603822549,1.15653407540437,"ME",-1.37454733602278,1.0303348747246,0.000993109104265977
"588","VC",60,2.21481756241992,0.816438918910791,"IA",-1.24132053442299,1.40392855955783,0.140281159295443
"589","VC",60,2.33041074569142,0.808640345959252,"ROE",-0.783935482545412,0.751053675378894,0.505613105228736
"590","VC",60,2.23536522839295,0.820365847180333,"EG",-0.523622667406281,1.38743884113566,0.49730712817166
"591","PD",60,1.6875,255.765368128632,"MKT",NA,NA,0
"592","PD",60,1.29520315402692,37.9477551524311,"ME",0.547301283402203,20.2627127017261,0.00561047633702516
"593","PD",60,1.52019695454942,15.0859736950023,"IA",1.24960665318528,16.890635314309,0
"594","PD",60,1.91995022209593,6.17414910413428,"ROE",2.38000466558659,12.4494026905361,0
"595","PD",60,1.40093187292687,4.99520242511623,"EG",3.94864610485861,12.7193963216367,0
"596","RE",60,1.27421875,1.48815875017865,"MKT",NA,NA,0.683214184936386
"597","RE",60,-0.266163038596915,1.50017254428243,"ME",1.87625761724657,1.58653648523414,7.61372834189311e-05
"598","RE",60,1.06976216046023,1.47705366243349,"IA",1.21406231076107,3.65137426611536,6.16169494174201e-05
"599","RE",60,1.04449192599852,1.74227135593575,"ROE",3.22822443780722,1.05106383012373,0.00335076950499902
"600","RE",60,0.535862644204147,1.59264985357012,"EG",6.04444084437972,4.18244132467618,0
"601","NATRES",60,-0.261718750000001,2.25759479891984,"MKT",NA,NA,0.00439327991780791
"602","NATRES",60,-1.49224807578139,6.04128131562529,"ME",1.51202952869935,8.17743700146551,0
"603","NATRES",60,-0.998516266406946,2.05846184138445,"IA",3.29334623540226,5.73608865548076,0
"604","NATRES",60,-0.371283741528169,2.36616471567663,"ROE",3.1649234946468,2.91181251843566,0
"605","NATRES",60,-0.773082359004185,2.13735727015058,"EG",4.54869808607837,2.4239198582703,0
"606","INF",60,2.3421875,2.60517050263258,"MKT",NA,NA,0.000471179650033404
"607","INF",60,3.85197963111552,24.2531429657891,"ME",-2.29532102789501,24.9735952388391,0
"608","INF",60,1.59481773361069,2.09178767253219,"IA",3.81395754080292,3.75740775446747,0
"609","INF",60,1.22322604746512,5.59245972684419,"ROE",6.12831002837076,27.6860267809544,0
"610","INF",60,1.62821695519285,2.16553201401033,"EG",5.79070644470483,5.82127035150584,0
