"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.6265625,217.515554418422,30,NA,NA,0,TRUE,TRUE,29.849,1.72476240441783,0.00502488945292334,"MKT","PE",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:46:56,1646.01714451025,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",2.15496127703227,216.885027593828,65,NA,NA,0,TRUE,TRUE,69.2,0.0575010515018123,0.998893923679969,"ME","PE",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:50:31,1537.90116224028,0.503119770484045,0.0410932603084616,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.6127892411818,205.583061801649,77,NA,NA,0,TRUE,TRUE,69.415,1.53521499022865,0,"IA","PE",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:53:10,1740.90195343745,NA,NA,4.55759498188982,2.13127313793554,NA,NA,NA,NA
"Nelder-Mead3",2.10306236131138,180.968599856105,81,NA,NA,0,TRUE,TRUE,63.828,3.14819694174227,0.00370959652427827,"ROE","PE",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:55:35,1082.85465544192,NA,NA,NA,NA,3.35280996131256,1.96525153954191,NA,NA
"Nelder-Mead4",2.0278865757111,211.021251479705,69,NA,NA,0,TRUE,TRUE,53.815,2.0207964057011,3.09752223870419e-14,"EG","PE",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:57:53,1496.04028632136,NA,NA,NA,NA,NA,NA,3.07862720683734,3.04704177040089
"Nelder-Mead5",3.00625,143.983236644448,30,NA,NA,0,TRUE,TRUE,6.551,0.946178746181585,0.057660377687712,"MKT","VC",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:45:41,243.006163897002,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.38423609633155,142.478364655845,105,NA,NA,0,TRUE,TRUE,27.053,1.65349986050826,2.26470042330451e-06,"ME","VC",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:46:46,238.512801230632,-0.732381471118373,1.77118094541077,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",3.02891772804503,143.85460167202,63,NA,NA,0,TRUE,TRUE,16.061,0.95611665658334,0.0637935605413277,"IA","VC",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:47:35,245.643323158126,NA,NA,-0.428530956142247,2.5173917416121,NA,NA,NA,NA
"Nelder-Mead31",2.96002606585407,140.484061463503,67,NA,NA,0,TRUE,TRUE,16.954,0.867341761328653,0.153991650695448,"ROE","VC",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:48:24,287.206874716482,NA,NA,NA,NA,1.36495423727374,0.979284264302908,NA,NA
"Nelder-Mead41",2.88417044458174,143.283623529948,55,NA,NA,0,TRUE,TRUE,13.862,0.948196061084876,0.10889861609111,"EG","VC",40,0,"2000","FW","L2_Lasso","exp.aff",2020-04-09 15:49:09,244.570915553118,NA,NA,NA,NA,NA,NA,0.986930608450803,1.90688186358112
