"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.05234375,22.7581112706616,22,NA,NA,0,TRUE,TRUE,0.301,0.959138753928735,0.959959091583804,1.10703459532424,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:31,22.7581112706616,NA,NA,NA
"Nelder-Mead1",1.46484690566595,19.4698231076226,71,NA,NA,0,FALSE,TRUE,0.726999999999999,34.3702294280606,0,13.7052655354886,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:42,19.4698231076226,-0.00247260070890695,0.133329231445129,0.0569386107371789
"Nelder-Mead2",0.83095703125,34.4386934171108,26,NA,NA,0,TRUE,TRUE,0.289000000000001,1.20673134354543,0.838361744196214,1.03152121227235,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:40,34.4386934171108,NA,NA,NA
"Nelder-Mead11",0.680512338620915,33.9635707305413,67,NA,NA,0,FALSE,TRUE,0.688999999999999,1.94332800118668,0.824666702289413,1.39447708932484,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:46,33.9635707305413,0.00113858992366316,0.0549788593223742,0.0243304710144425
"Nelder-Mead3",0.85478515625,18.5506118448547,26,NA,NA,0,TRUE,TRUE,0.309,1.23172337877284,0.858044083984076,1.15476470552263,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:40,18.5506118448547,NA,NA,NA
"Nelder-Mead12",1.05215614057337,17.7274488817424,61,NA,NA,0,FALSE,TRUE,0.556,0.338204750522316,0.999844425047099,0.133578619096776,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:42,17.7274488817424,-0.00136439158130202,0.000515541812995807,0.000280049598313353
"Nelder-Mead4",0.734375,25.6772411601754,24,NA,NA,0,TRUE,TRUE,0.241,0.360965119336254,0.923614799069835,0.729488170300296,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:48,25.6772411601754,NA,NA,NA
"Nelder-Mead13",0.402182265242854,24.1087741969833,105,NA,NA,0,FALSE,TRUE,1.167,0.697987461318057,0.916630953813864,0.666976945811387,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:53,24.1087741969833,0.00246418398101436,0.0149489961687422,0.00670531822917954
"Nelder-Mead5",0.89560546875,26.4707246969867,24,NA,NA,0,TRUE,TRUE,0.254,1.04198588786505,0.913378868511812,1.49321042650455,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:48,26.4707246969867,NA,NA,NA
"Nelder-Mead14",1.534432407195,21.7140783684291,79,NA,NA,0,FALSE,TRUE,0.805999999999999,1.54926440449851,0.709966631897827,0.929397111292923,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:51,21.7140783684291,-0.00363217115657482,0.0813156337012714,0.0302949515605608
"Nelder-Mead6",1.0861328125,30.882985364297,22,NA,NA,0,TRUE,TRUE,0.229000000000001,0.691977311992119,0.952472663609385,0.371885038316691,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:36:50,30.882985364297,NA,NA,NA
