"RF","MKT","ME","IA","ROE","EG","Date"
0.003927,0.081852,0.068284,-0.029677,0.019193,-0.021769,1967-01-31
0.003743,0.007557,0.016496,-0.00227,0.035395,0.022211,1967-02-28
0.003693,0.040169,0.020026,-0.017789,0.018417,-0.01036,1967-03-31
0.003344,0.038786,-0.006898,-0.028756,0.010583,-0.017259,1967-04-30
0.003126,-0.042807,0.028469,0.025239,0.006917,0.001578,1967-05-31
0.002674,0.024199,0.062394,-0.021203,0.003089,-0.004236,1967-06-30
0.003153,0.045784,0.030386,0.023556,-0.006775,-0.001323,1967-07-31
0.00324,-0.009048,0.003083,0.017679,-0.006249,0.000961,1967-08-31
0.003177,0.031074,0.01723,-0.003387,0.006802,-0.006582,1967-09-30
0.003649,-0.030491,0.007527,-0.023566,0.031968,0.00155,1967-10-31
0.003416,0.003765,0.001514,-0.028065,0.007622,0.002299,1967-11-30
0.003565,0.030233,0.045645,0.002695,0.008002,0.015529,1967-12-31
0.003934,-0.040255,0.053224,0.046808,-0.02779,0.01261,1968-01-31
0.003849,-0.037294,-0.016021,0.027082,-0.003612,0.03399,1968-02-29
0.003977,0.00188,-0.022336,-0.011412,0.016766,0.011834,1968-03-31
0.004263,0.090295,0.053736,-0.025654,0.036574,-0.01812,1968-04-30
0.004672,0.022564,0.06663,-0.023027,0.019679,-0.003505,1968-05-31
0.004436,0.006745,-0.004609,0.02466,-0.003919,-0.000436,1968-06-30
0.00479,-0.026873,-0.011798,0.027648,-0.020599,0.033483,1968-07-31
0.004476,0.013272,0.022095,0.005377,-0.00637,0.016268,1968-08-31
0.004203,0.040566,0.014401,-0.005988,-0.034599,-0.012098,1968-09-30
0.004394,0.004255,-0.006893,0.026592,0.0053,0.025195,1968-10-31
0.004457,0.054064,0.027772,-0.014016,-0.004025,-0.009356,1968-11-30
0.004249,-0.039304,0.03148,0.025763,-0.00794,-0.008697,1968-12-31
0.005025,-0.012291,-0.003155,0.011579,-0.000419,0.00479,1969-01-31
