"Date","CF","type","Vintage","Fund.ID"
1998-12-31,-1.58593621242105e-07,"INF",1998,"1998_INF"
1999-03-31,0,"INF",1998,"1998_INF"
1999-06-30,0,"INF",1998,"1998_INF"
1999-09-30,0,"INF",1998,"1998_INF"
1999-12-31,-2.79538727505263e-07,"INF",1998,"1998_INF"
2000-03-31,0,"INF",1998,"1998_INF"
2000-06-30,0,"INF",1998,"1998_INF"
2000-09-30,0,"INF",1998,"1998_INF"
2000-12-31,-1.98798970957895e-07,"INF",1998,"1998_INF"
2001-03-31,0,"INF",1998,"1998_INF"
2001-06-30,0,"INF",1998,"1998_INF"
2001-09-30,0,"INF",1998,"1998_INF"
2001-12-31,-6.88342589052631e-08,"INF",1998,"1998_INF"
2002-03-31,4.01451979894736e-08,"INF",1998,"1998_INF"
2002-06-30,1.68696426315792e-09,"INF",1998,"1998_INF"
2002-09-30,1.05263839749999e-17,"INF",1998,"1998_INF"
2002-12-31,0,"INF",1998,"1998_INF"
2003-03-31,-2.30565166842106e-08,"INF",1998,"1998_INF"
2003-06-30,0,"INF",1998,"1998_INF"
2003-09-30,6.50766391578959e-09,"INF",1998,"1998_INF"
2003-12-31,-2.24055627368431e-09,"INF",1998,"1998_INF"
2004-03-31,0,"INF",1998,"1998_INF"
2004-06-30,4.59596478526316e-08,"INF",1998,"1998_INF"
2004-09-30,0,"INF",1998,"1998_INF"
2004-12-31,3.54168998842105e-08,"INF",1998,"1998_INF"
2005-03-31,-2.92092329263158e-08,"INF",1998,"1998_INF"
2005-06-30,2.74618216336842e-07,"INF",1998,"1998_INF"
2005-09-30,0,"INF",1998,"1998_INF"
2005-12-31,7.03591055263158e-07,"INF",1998,"1998_INF"
2006-03-31,-1.90162482631579e-08,"INF",1998,"1998_INF"
2006-06-30,3.26563295789476e-09,"INF",1998,"1998_INF"
2006-09-30,0,"INF",1998,"1998_INF"
2006-12-31,9.85044193789474e-08,"INF",1998,"1998_INF"
2007-03-31,-9.76287529894737e-08,"INF",1998,"1998_INF"
2007-06-30,1.69877956631581e-08,"INF",1998,"1998_INF"
2007-09-30,7.87282499263158e-08,"INF",1998,"1998_INF"
2007-12-31,5.37506423263157e-08,"INF",1998,"1998_INF"
2008-03-31,-4.75389142842104e-08,"INF",1998,"1998_INF"
2008-06-30,9.47422523473683e-08,"INF",1998,"1998_INF"
2008-09-30,3.07464775789473e-09,"INF",1998,"1998_INF"
2008-12-31,-3.08178750315788e-08,"INF",1998,"1998_INF"
2009-03-31,-3.51575836947368e-08,"INF",1998,"1998_INF"
2009-06-30,6.64682784526314e-08,"INF",1998,"1998_INF"
2009-09-30,5.78933664210521e-09,"INF",1998,"1998_INF"
2009-12-31,-6.26213895052631e-08,"INF",1998,"1998_INF"
2010-03-31,-6.54505301684209e-08,"INF",1998,"1998_INF"
2010-06-30,1.31141040210526e-08,"INF",1998,"1998_INF"
2010-09-30,0,"INF",1998,"1998_INF"
2010-12-31,5.23364261473683e-08,"INF",1998,"1998_INF"
2011-03-31,-7.11789267894736e-08,"INF",1998,"1998_INF"
2011-06-30,0,"INF",1998,"1998_INF"
2011-09-30,0,"INF",1998,"1998_INF"
2011-12-31,7.11789267894736e-08,"INF",1998,"1998_INF"
2012-03-31,-5.49302087789472e-08,"INF",1998,"1998_INF"
2012-06-30,0,"INF",1998,"1998_INF"
2012-09-30,0,"INF",1998,"1998_INF"
2012-12-31,0,"INF",1998,"1998_INF"
2013-03-31,-9.98995842105256e-10,"INF",1998,"1998_INF"
2013-06-30,1.37740856842093e-09,"INF",1998,"1998_INF"
2013-09-30,0,"INF",1998,"1998_INF"
2013-12-31,0,"INF",1998,"1998_INF"
2014-03-31,-1.89206368421118e-10,"INF",1998,"1998_INF"
2014-06-30,1.89206368421118e-10,"INF",1998,"1998_INF"
2014-09-30,0,"INF",1998,"1998_INF"
2014-12-31,0,"INF",1998,"1998_INF"
2015-03-31,0,"INF",1998,"1998_INF"
2015-06-30,0,"INF",1998,"1998_INF"
2015-09-30,0,"INF",1998,"1998_INF"
2015-12-31,1.4351985789474e-09,"INF",1998,"1998_INF"
2016-03-31,-1.89953094736905e-10,"INF",1998,"1998_INF"
2016-06-30,0,"INF",1998,"1998_INF"
2016-09-30,1.89953094736905e-10,"INF",1998,"1998_INF"
2016-12-31,0,"INF",1998,"1998_INF"
2017-03-31,-1.89953094736905e-10,"INF",1998,"1998_INF"
2017-06-30,1.89953094736905e-10,"INF",1998,"1998_INF"
2017-09-30,0,"INF",1998,"1998_INF"
2017-12-31,8.06734273684206e-09,"INF",1998,"1998_INF"
2018-03-31,-1.94145431578842e-10,"INF",1998,"1998_INF"
2018-06-30,1.94145431578842e-10,"INF",1998,"1998_INF"
2018-09-30,0,"INF",1998,"1998_INF"
2018-12-31,4.82408367789474e-08,"INF",1998,"1998_INF"
2003-12-31,-3.5198246664e-07,"INF",2003,"2003_INF"
2004-03-31,-1.815982e-07,"INF",2003,"2003_INF"
2004-06-30,3.458066664e-08,"INF",2003,"2003_INF"
2004-09-30,3.800006668e-08,"INF",2003,"2003_INF"
2004-12-31,0,"INF",2003,"2003_INF"
2005-03-31,5.305193332e-08,"INF",2003,"2003_INF"
2005-06-30,1.92e-08,"INF",2003,"2003_INF"
2005-09-30,-1.25584e-07,"INF",2003,"2003_INF"
2005-12-31,2e-08,"INF",2003,"2003_INF"
2006-03-31,2e-08,"INF",2003,"2003_INF"
2006-06-30,-7.4e-08,"INF",2003,"2003_INF"
2006-09-30,7.24e-08,"INF",2003,"2003_INF"
2006-12-31,3.6e-08,"INF",2003,"2003_INF"
2007-03-31,2e-08,"INF",2003,"2003_INF"
2007-06-30,7.937912e-07,"INF",2003,"2003_INF"
2007-09-30,0,"INF",2003,"2003_INF"
2007-12-31,0,"INF",2003,"2003_INF"
2008-03-31,0,"INF",2003,"2003_INF"
2008-06-30,3.2e-08,"INF",2003,"2003_INF"
2008-09-30,1.95551999999998e-08,"INF",2003,"2003_INF"
2008-12-31,1.4240000000018e-10,"INF",2003,"2003_INF"
2009-03-31,-1.494804e-07,"INF",2003,"2003_INF"
2009-06-30,0,"INF",2003,"2003_INF"
2009-09-30,0,"INF",2003,"2003_INF"
2009-12-31,1.494804e-07,"INF",2003,"2003_INF"
2010-03-31,0,"INF",2003,"2003_INF"
2010-06-30,9.90181333200001e-08,"INF",2003,"2003_INF"
2010-09-30,0,"INF",2003,"2003_INF"
2010-12-31,1.483728e-07,"INF",2003,"2003_INF"
2011-03-31,-4.13007333200001e-08,"INF",2003,"2003_INF"
2011-06-30,0,"INF",2003,"2003_INF"
2011-09-30,1.49338e-07,"INF",2003,"2003_INF"
2011-12-31,0,"INF",2003,"2003_INF"
2012-03-31,-1.2710933332e-07,"INF",2003,"2003_INF"
2012-06-30,0,"INF",2003,"2003_INF"
2012-09-30,2.1294833332e-07,"INF",2003,"2003_INF"
2005-03-31,-9.46193000028286e-08,"INF",2004,"2004_INF"
2005-06-30,-7.99109999151416e-09,"INF",2004,"2004_INF"
2005-09-30,-3.32829000084859e-08,"INF",2004,"2004_INF"
2005-12-31,-1.66696998840267e-09,"INF",2004,"2004_INF"
2006-03-31,-2.51999863321359e-07,"INF",2004,"2004_INF"
