"Date","CF","type","Vintage","Fund.ID"
1998-12-31,-0.00015066394018,"INF",1998,"1998_INF"
1999-03-31,0,"INF",1998,"1998_INF"
1999-06-30,0,"INF",1998,"1998_INF"
1999-09-30,0,"INF",1998,"1998_INF"
1999-12-31,-0.00026556179113,"INF",1998,"1998_INF"
2000-03-31,0,"INF",1998,"1998_INF"
2000-06-30,0,"INF",1998,"1998_INF"
2000-09-30,0,"INF",1998,"1998_INF"
2000-12-31,-0.00018885902241,"INF",1998,"1998_INF"
2001-03-31,0,"INF",1998,"1998_INF"
2001-06-30,0,"INF",1998,"1998_INF"
2001-09-30,0,"INF",1998,"1998_INF"
2001-12-31,-6.539254596e-05,"INF",1998,"1998_INF"
2002-03-31,3.813793809e-05,"INF",1998,"1998_INF"
2002-06-30,1.60261605000002e-06,"INF",1998,"1998_INF"
2002-09-30,1.00000647762499e-14,"INF",1998,"1998_INF"
2002-12-31,0,"INF",1998,"1998_INF"
2003-03-31,-2.19036908500001e-05,"INF",1998,"1998_INF"
2003-06-30,0,"INF",1998,"1998_INF"
2003-09-30,6.18228072000011e-06,"INF",1998,"1998_INF"
2003-12-31,-2.1285284600001e-06,"INF",1998,"1998_INF"
2004-03-31,0,"INF",1998,"1998_INF"
2004-06-30,4.366166546e-05,"INF",1998,"1998_INF"
2004-09-30,0,"INF",1998,"1998_INF"
2004-12-31,3.364605489e-05,"INF",1998,"1998_INF"
2005-03-31,-2.774877128e-05,"INF",1998,"1998_INF"
2005-06-30,0.00026088730552,"INF",1998,"1998_INF"
2005-09-30,0,"INF",1998,"1998_INF"
2005-12-31,0.0006684115025,"INF",1998,"1998_INF"
2006-03-31,-1.806543585e-05,"INF",1998,"1998_INF"
2006-06-30,3.10235131000002e-06,"INF",1998,"1998_INF"
2006-09-30,0,"INF",1998,"1998_INF"
2006-12-31,9.357919841e-05,"INF",1998,"1998_INF"
2007-03-31,-9.274731534e-05,"INF",1998,"1998_INF"
2007-06-30,1.61384058800002e-05,"INF",1998,"1998_INF"
2007-09-30,7.479183743e-05,"INF",1998,"1998_INF"
2007-12-31,5.10631102099999e-05,"INF",1998,"1998_INF"
2008-03-31,-4.51619685699999e-05,"INF",1998,"1998_INF"
2008-06-30,9.00051397299999e-05,"INF",1998,"1998_INF"
2008-09-30,2.92091536999999e-06,"INF",1998,"1998_INF"
2008-12-31,-2.92769812799999e-05,"INF",1998,"1998_INF"
2009-03-31,-3.339970451e-05,"INF",1998,"1998_INF"
2009-06-30,6.31448645299998e-05,"INF",1998,"1998_INF"
2009-09-30,5.49986980999995e-06,"INF",1998,"1998_INF"
2009-12-31,-5.94903200299999e-05,"INF",1998,"1998_INF"
2010-03-31,-6.21780036599998e-05,"INF",1998,"1998_INF"
2010-06-30,1.245839882e-05,"INF",1998,"1998_INF"
2010-09-30,0,"INF",1998,"1998_INF"
2010-12-31,4.97196048399999e-05,"INF",1998,"1998_INF"
2011-03-31,-6.761998045e-05,"INF",1998,"1998_INF"
2011-06-30,0,"INF",1998,"1998_INF"
2011-09-30,0,"INF",1998,"1998_INF"
2011-12-31,6.761998045e-05,"INF",1998,"1998_INF"
2012-03-31,-5.21836983399999e-05,"INF",1998,"1998_INF"
2012-06-30,0,"INF",1998,"1998_INF"
2012-09-30,0,"INF",1998,"1998_INF"
2012-12-31,0,"INF",1998,"1998_INF"
2013-03-31,-9.49046049999993e-07,"INF",1998,"1998_INF"
2013-06-30,1.30853813999988e-06,"INF",1998,"1998_INF"
2013-09-30,0,"INF",1998,"1998_INF"
2013-12-31,0,"INF",1998,"1998_INF"
2014-03-31,-1.79746050000062e-07,"INF",1998,"1998_INF"
2014-06-30,1.79746050000062e-07,"INF",1998,"1998_INF"
2014-09-30,0,"INF",1998,"1998_INF"
2014-12-31,0,"INF",1998,"1998_INF"
2015-03-31,0,"INF",1998,"1998_INF"
2015-06-30,0,"INF",1998,"1998_INF"
2015-09-30,0,"INF",1998,"1998_INF"
2015-12-31,1.36343865000003e-06,"INF",1998,"1998_INF"
2016-03-31,-1.8045544000006e-07,"INF",1998,"1998_INF"
2016-06-30,0,"INF",1998,"1998_INF"
