"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2003-12-31,-83.75000043288,82.7338166574725,-91.976,8.22599956712,"INF",2003,"2003_INF"
2004-03-31,-46.00000014456,125.052750048673,-46,-1.44559999171179e-07,"INF",2003,"2003_INF"
2004-06-30,5.00000087120999,120.869033387115,4.683,0.31700087121,"INF",2003,"2003_INF"
2004-09-30,9.50001658257001,116.260683273965,-0.225,9.72501658257,"INF",2003,"2003_INF"
2004-12-31,-2.50001688674001,172.747099951665,-4.327,1.82698311326,"INF",2003,"2003_INF"
2005-06-30,38.6669999494,159.589616692765,22.431,16.2359999494,"INF",2003,"2003_INF"
2005-09-30,-49.5000004712,217.05174992653,-49.5,-4.71200002357364e-07,"INF",2003,"2003_INF"
2005-12-31,5.00000117976,217.60061670133,0,5.00000117976,"INF",2003,"2003_INF"
2006-03-31,4.99999953062001,217.36225000573,0,4.99999953062,"INF",2003,"2003_INF"
2006-06-30,-18.49999933082,241.304016661577,-27.5,9.00000066918,"INF",2003,"2003_INF"
2006-09-30,18.0999988289,230.024300086095,-4.4,22.4999988289,"INF",2003,"2003_INF"
2006-12-31,9.00000112643998,255.033800081035,0,9.00000112644,"INF",2003,"2003_INF"
2007-03-31,4.99999865766,252.644416715067,0,4.99999865766,"INF",2003,"2003_INF"
2007-06-30,198.44780053964,23.98875,-53.186,251.63380053964,"INF",2003,"2003_INF"
2007-09-30,0,19.49298325,0,0,"INF",2003,"2003_INF"
2007-12-31,0,64.02996675,0,0,"INF",2003,"2003_INF"
2008-03-31,0,63.79686675,0,0,"INF",2003,"2003_INF"
2008-06-30,8,63.96636675,0,8,"INF",2003,"2003_INF"
2008-09-30,4.8888,61.72148325,0,4.8888,"INF",2003,"2003_INF"
2008-12-31,0,113.90975,0,0,"INF",2003,"2003_INF"
2009-03-31,0,120.11941675,0,0,"INF",2003,"2003_INF"
2009-06-30,0,121.6472,0,0,"INF",2003,"2003_INF"
2009-09-30,0,113.70781675,0,0,"INF",2003,"2003_INF"
2009-12-31,0,140.87705,0,0,"INF",2003,"2003_INF"
2010-03-31,0,138.56698325,0,0,"INF",2003,"2003_INF"
2010-06-30,62.1246325,61.16331675,0,62.1246325,"INF",2003,"2003_INF"
2010-09-30,0,60.65718325,0,0,"INF",2003,"2003_INF"
2010-12-31,0.0712,51.68825,0,0.0712,"INF",2003,"2003_INF"
2011-03-31,27.0093175,24.66631675,0,27.0093175,"INF",2003,"2003_INF"
2011-06-30,0,24.3927,0,0,"INF",2003,"2003_INF"
2011-09-30,0,24.00326675,0,0,"INF",2003,"2003_INF"
2011-12-31,0,21.43891675,0,0,"INF",2003,"2003_INF"
2012-03-31,5.5571675,15.73565,0,5.55716749999998,"INF",2003,"2003_INF"
2012-06-30,0,15.40165,0,0,"INF",2003,"2003_INF"
2012-09-30,0,16.07183325,0,0,"INF",2003,"2003_INF"
2012-12-31,1.17266499999999,14.85106675,0,1.17266500000004,"INF",2003,"2003_INF"
2013-03-31,0,15.0603,0,0,"INF",2003,"2003_INF"
2013-06-30,1.99055,12.99133325,0,1.99055,"INF",2003,"2003_INF"
2013-09-30,0,12.9497,0,0,"INF",2003,"2003_INF"
2013-12-31,5.79055000000002,7.07948325,0,5.79055,"INF",2003,"2003_INF"
2014-03-31,0,7.0354,0,0,"INF",2003,"2003_INF"
2014-06-30,0,6.96123325,0,0,"INF",2003,"2003_INF"
2014-09-30,0,6.9044,0,0,"INF",2003,"2003_INF"
2014-12-31,0,6.88195,0,0,"INF",2003,"2003_INF"
2015-03-31,0,6.8419,0,0,"INF",2003,"2003_INF"
2015-06-30,0,6.7917,0,0,"INF",2003,"2003_INF"
2015-09-30,0,6.74886675,0,0,"INF",2003,"2003_INF"
2015-12-31,0,6.72183325,0,0,"INF",2003,"2003_INF"
2016-03-31,0,6.72126675,0,0,"INF",2003,"2003_INF"
2016-06-30,0,6.70323325,0,0,"INF",2003,"2003_INF"
2016-09-30,0,8.29161675,0,0,"INF",2003,"2003_INF"
2016-12-31,1.96153499999996,6.30028325,0,1.96153499999996,"INF",2003,"2003_INF"
2017-03-31,0,6.29323325,0,0,"INF",2003,"2003_INF"
2017-06-30,0,6.28671675,0,0,"INF",2003,"2003_INF"
2017-09-30,0,6.28113325,0,0,"INF",2003,"2003_INF"
2017-12-31,0,0.47006675,0,0,"INF",2003,"2003_INF"
2018-03-31,0,0.46531675,0,0,"INF",2003,"2003_INF"
2018-06-30,0,0.46008325,0,0,"INF",2003,"2003_INF"
2018-09-30,0,0.4609,0,0,"INF",2003,"2003_INF"
2018-12-31,0.536232500000019,0,0,0.536232500000019,"INF",2003,"2003_INF"
2019-06-30,0,0,0,0,"INF",2003,"2003_INF"
2004-06-30,-132.8831792,115.252160449792,-132.8831792,0,"INF",2004,"2004_INF"
2004-09-30,-81.1941328,196.196181258464,-81.1941328,0,"INF",2004,"2004_INF"
2004-12-31,2.21053839531198,241.18410733336,-18.5281072,20.738645595312,"INF",2004,"2004_INF"
2005-03-31,-59.368746429504,301.617877028816,-134.8827936,75.514047170496,"INF",2004,"2004_INF"
2005-06-30,0,308.30873565424,0,0,"INF",2004,"2004_INF"
2005-09-30,-102.342016158192,431.133483024784,-124.6846304,22.342614241808,"INF",2004,"2004_INF"
2005-12-31,-354.136171542016,787.172287818288,-397.9827616,43.846590057984,"INF",2004,"2004_INF"
2006-03-31,-16.727320051344,810.569578822384,40.5003088000001,-57.227628851344,"INF",2004,"2004_INF"
2006-06-30,-105.2652101668,925.310187033376,-139.4591792,34.1939690332,"INF",2004,"2004_INF"
2006-09-30,-41.942658663312,997.085525747648,-41.9426560000001,-2.66331199556589e-06,"INF",2004,"2004_INF"
2006-12-31,-21.95450090432,1097.29823994763,-121.4656,99.51109909568,"INF",2004,"2004_INF"
2007-03-31,58.517174582656,1080.49241613061,-141.1931728,199.710347382656,"INF",2004,"2004_INF"
2007-06-30,91.176074844176,1006.25401655038,57.1560528,34.020022044176,"INF",2004,"2004_INF"
2007-09-30,-91.389175370592,1249.77384523733,-79.6750495999999,-11.714125770592,"INF",2004,"2004_INF"
2007-12-31,444.926441604352,952.79189273552,2.44763679999992,442.478804804352,"INF",2004,"2004_INF"
2008-03-31,75.22499936352,897.838016242544,-73.9169919999999,149.14199136352,"INF",2004,"2004_INF"
2008-06-30,0,1115.22628280432,0,0,"INF",2004,"2004_INF"
2008-09-30,49.70802926296,938.408768488048,-25.6300592000002,75.3380884629601,"INF",2004,"2004_INF"
2008-12-31,0,788.37019822712,0,0,"INF",2004,"2004_INF"
2009-03-31,0,789.06350937544,0,0,"INF",2004,"2004_INF"
2009-06-30,0,818.604480511376,0,0,"INF",2004,"2004_INF"
2009-09-30,99.307822590784,748.209493820144,0,99.307822590784,"INF",2004,"2004_INF"
2009-12-31,-19.297328115872,771.408148506656,58.1889504000002,-77.4862785158721,"INF",2004,"2004_INF"
2010-03-31,0,792.634047833136,0,0,"INF",2004,"2004_INF"
2010-06-30,151.16996171848,740.759274344096,0,151.16996171848,"INF",2004,"2004_INF"
2010-09-30,49.132340066544,797.201237340032,0,49.132340066544,"INF",2004,"2004_INF"
2010-12-31,150.803029008048,761.095508542272,0,150.803029008048,"INF",2004,"2004_INF"
