"Date","CF","type","Vintage","Fund.ID"
2002-12-31,-468453.36,"INF",2002,"2002_INF"
2003-03-31,-17699.982,"INF",2002,"2002_INF"
2003-06-30,-51249.992,"INF",2002,"2002_INF"
2003-09-30,-87034.44,"INF",2002,"2002_INF"
2003-12-31,-138007.872666667,"INF",2002,"2002_INF"
2004-03-31,16600.49,"INF",2002,"2002_INF"
2004-06-30,52668.0526666667,"INF",2002,"2002_INF"
2004-09-30,-20801.1833333333,"INF",2002,"2002_INF"
2004-12-31,74000.022,"INF",2002,"2002_INF"
2005-03-31,187610.091333333,"INF",2002,"2002_INF"
2005-06-30,-90768.318,"INF",2002,"2002_INF"
2005-09-30,50500.0399999999,"INF",2002,"2002_INF"
2005-12-31,330000.018,"INF",2002,"2002_INF"
2006-03-31,42999.998,"INF",2002,"2002_INF"
2006-06-30,11500.012,"INF",2002,"2002_INF"
2006-09-30,68099.982,"INF",2002,"2002_INF"
2006-12-31,181514.68,"INF",2002,"2002_INF"
2007-03-31,46600.0059999999,"INF",2002,"2002_INF"
2007-06-30,198447.8,"INF",2002,"2002_INF"
2007-09-30,0,"INF",2002,"2002_INF"
2007-12-31,320000.014,"INF",2002,"2002_INF"
2008-03-31,14160.0160000003,"INF",2002,"2002_INF"
2008-06-30,8000,"INF",2002,"2002_INF"
2008-09-30,4888.79999999995,"INF",2002,"2002_INF"
2008-12-31,46400.0139999998,"INF",2002,"2002_INF"
2009-03-31,0,"INF",2002,"2002_INF"
2009-06-30,0,"INF",2002,"2002_INF"
2009-09-30,0,"INF",2002,"2002_INF"
2009-12-31,0,"INF",2002,"2002_INF"
2010-03-31,20000.008,"INF",2002,"2002_INF"
2010-06-30,62124.6333333334,"INF",2002,"2002_INF"
2010-09-30,0,"INF",2002,"2002_INF"
2010-12-31,134471.196,"INF",2002,"2002_INF"
2011-03-31,27009.3166666666,"INF",2002,"2002_INF"
2011-06-30,0,"INF",2002,"2002_INF"
2011-09-30,0,"INF",2002,"2002_INF"
2011-12-31,3217.57400000001,"INF",2002,"2002_INF"
2012-03-31,5557.16666666672,"INF",2002,"2002_INF"
2012-06-30,0,"INF",2002,"2002_INF"
2012-09-30,0,"INF",2002,"2002_INF"
2012-12-31,0,"INF",2002,"2002_INF"
2013-03-31,1172.66666666671,"INF",2002,"2002_INF"
2013-06-30,1990.54999999998,"INF",2002,"2002_INF"
2013-09-30,0,"INF",2002,"2002_INF"
2013-12-31,5790.55,"INF",2002,"2002_INF"
2014-03-31,0,"INF",2002,"2002_INF"
2014-06-30,6481.1279999999,"INF",2002,"2002_INF"
2014-09-30,0,"INF",2002,"2002_INF"
2014-12-31,0,"INF",2002,"2002_INF"
2015-03-31,0,"INF",2002,"2002_INF"
2015-06-30,0,"INF",2002,"2002_INF"
2015-09-30,0,"INF",2002,"2002_INF"
2015-12-31,0,"INF",2002,"2002_INF"
2016-03-31,0,"INF",2002,"2002_INF"
2016-06-30,0,"INF",2002,"2002_INF"
2016-09-30,0,"INF",2002,"2002_INF"
2016-12-31,1961.53333333331,"INF",2002,"2002_INF"
2017-03-31,0,"INF",2002,"2002_INF"
2017-06-30,0,"INF",2002,"2002_INF"
2017-09-30,0,"INF",2002,"2002_INF"
2017-12-31,0,"INF",2002,"2002_INF"
2018-03-31,0,"INF",2002,"2002_INF"
2018-06-30,0,"INF",2002,"2002_INF"
2018-09-30,0,"INF",2002,"2002_INF"
2018-12-31,536.233333333314,"INF",2002,"2002_INF"
2003-12-31,-348628.544,"INF",2004,"2004_INF"
2004-03-31,0,"INF",2004,"2004_INF"
2004-06-30,0,"INF",2004,"2004_INF"
2004-09-30,-59228.8,"INF",2004,"2004_INF"
2004-12-31,207280.448,"INF",2004,"2004_INF"
2005-03-31,-93644.632796,"INF",2004,"2004_INF"
2005-06-30,-177749.845916,"INF",2004,"2004_INF"
2005-09-30,105758.350696,"INF",2004,"2004_INF"
2005-12-31,-399431.808,"INF",2004,"2004_INF"
2006-03-31,-210492.745921333,"INF",2004,"2004_INF"
2006-06-30,-17299.7312946667,"INF",2004,"2004_INF"
2006-09-30,28396.6441999999,"INF",2004,"2004_INF"
2006-12-31,33232.5116599999,"INF",2004,"2004_INF"
2007-03-31,-69684.9837839999,"INF",2004,"2004_INF"
2007-06-30,-18481.36716,"INF",2004,"2004_INF"
2007-09-30,246829.102853333,"INF",2004,"2004_INF"
2007-12-31,238964.957626667,"INF",2004,"2004_INF"
2008-03-31,-7992.27627866672,"INF",2004,"2004_INF"
2008-06-30,46015.181976,"INF",2004,"2004_INF"
2008-09-30,49708.0000000001,"INF",2004,"2004_INF"
2008-12-31,-9999.80816800002,"INF",2004,"2004_INF"
2009-03-31,-8499.89822133335,"INF",2004,"2004_INF"
2009-06-30,-5018.09909466664,"INF",2004,"2004_INF"
2009-09-30,99312.5537333333,"INF",2004,"2004_INF"
2009-12-31,684.481217333314,"INF",2004,"2004_INF"
2010-03-31,52158.8712533335,"INF",2004,"2004_INF"
2010-06-30,151164.49644,"INF",2004,"2004_INF"
2010-09-30,0,"INF",2004,"2004_INF"
2010-12-31,441138.661688,"INF",2004,"2004_INF"
2011-03-31,176005.056,"INF",2004,"2004_INF"
2011-06-30,0,"INF",2004,"2004_INF"
2011-09-30,283257.116388,"INF",2004,"2004_INF"
2011-12-31,5999.92261066666,"INF",2004,"2004_INF"
2012-03-31,2249.95919466664,"INF",2004,"2004_INF"
2012-06-30,103973.359592,"INF",2004,"2004_INF"
2012-09-30,56188.785492,"INF",2004,"2004_INF"
2012-12-31,48746.554756,"INF",2004,"2004_INF"
2013-03-31,0,"INF",2004,"2004_INF"
2013-06-30,52069.9253053333,"INF",2004,"2004_INF"
2013-09-30,0,"INF",2004,"2004_INF"
2013-12-31,1128.93913333335,"INF",2004,"2004_INF"
2014-03-31,1684.87684266665,"INF",2004,"2004_INF"
2014-06-30,0,"INF",2004,"2004_INF"
2014-09-30,0,"INF",2004,"2004_INF"
2014-12-31,29573.1839999999,"INF",2004,"2004_INF"
2015-03-31,12495.6480000001,"INF",2004,"2004_INF"
2015-06-30,750.99199466672,"INF",2004,"2004_INF"
2015-09-30,0,"INF",2004,"2004_INF"
2015-12-31,40183.904,"INF",2004,"2004_INF"
2016-03-31,0,"INF",2004,"2004_INF"
2016-06-30,2986.656,"INF",2004,"2004_INF"
2016-09-30,0,"INF",2004,"2004_INF"
2016-12-31,0,"INF",2004,"2004_INF"
2017-03-31,0,"INF",2004,"2004_INF"
2017-06-30,0,"INF",2004,"2004_INF"
2017-09-30,0,"INF",2004,"2004_INF"
2017-12-31,0,"INF",2004,"2004_INF"
2018-03-31,0,"INF",2004,"2004_INF"
2018-06-30,0,"INF",2004,"2004_INF"
2018-09-30,0,"INF",2004,"2004_INF"
2018-12-31,0,"INF",2004,"2004_INF"
2019-03-31,652.710654666635,"INF",2004,"2004_INF"
2019-06-30,0,"INF",2004,"2004_INF"
2006-12-31,-677922.65896,"INF",2005,"2005_INF"
2007-03-31,0,"INF",2005,"2005_INF"
2007-06-30,0,"INF",2005,"2005_INF"
2007-09-30,0,"INF",2005,"2005_INF"
2007-12-31,-36658.2764799999,"INF",2005,"2005_INF"
2008-03-31,0,"INF",2005,"2005_INF"
2008-06-30,0,"INF",2005,"2005_INF"
2008-09-30,0,"INF",2005,"2005_INF"
2008-12-31,718998.53624,"INF",2005,"2005_INF"
2009-03-31,0,"INF",2005,"2005_INF"
2009-06-30,0,"INF",2005,"2005_INF"
2009-09-30,0,"INF",2005,"2005_INF"
2009-12-31,35062.85856,"INF",2005,"2005_INF"
2010-03-31,0,"INF",2005,"2005_INF"
2010-06-30,0,"INF",2005,"2005_INF"
2010-09-30,0,"INF",2005,"2005_INF"
2010-12-31,117189.67424,"INF",2005,"2005_INF"
2011-03-31,0,"INF",2005,"2005_INF"
2011-06-30,0,"INF",2005,"2005_INF"
2011-09-30,0,"INF",2005,"2005_INF"
2011-12-31,-23193.09136,"INF",2005,"2005_INF"
2012-03-31,0,"INF",2005,"2005_INF"
2012-06-30,0,"INF",2005,"2005_INF"
2012-09-30,0,"INF",2005,"2005_INF"
2012-12-31,-82708.9575200001,"INF",2005,"2005_INF"
2013-03-31,0,"INF",2005,"2005_INF"
2013-06-30,0,"INF",2005,"2005_INF"
2013-09-30,0,"INF",2005,"2005_INF"
2013-12-31,306966.70736,"INF",2005,"2005_INF"
2006-03-31,-129731.8659,"INF",2006,"2006_INF"
2006-06-30,-26720.8263069053,"INF",2006,"2006_INF"
2006-09-30,-169234.396628377,"INF",2006,"2006_INF"
2006-12-31,-832896.295083333,"INF",2006,"2006_INF"
2007-03-31,-247585.268251656,"INF",2006,"2006_INF"
2007-06-30,-349348.257318533,"INF",2006,"2006_INF"
2007-09-30,-491864.706608457,"INF",2006,"2006_INF"
2007-12-31,-1087323.0033103,"INF",2006,"2006_INF"
2008-03-31,-342269.64622281,"INF",2006,"2006_INF"
2008-06-30,-124469.91,"INF",2006,"2006_INF"
2008-09-30,-308264.138787788,"INF",2006,"2006_INF"
2008-12-31,-413498.504948718,"INF",2006,"2006_INF"
2009-03-31,-197060.166373816,"INF",2006,"2006_INF"
2009-06-30,-25975.0625999999,"INF",2006,"2006_INF"
2009-09-30,-223067.376630667,"INF",2006,"2006_INF"
2009-12-31,-1639463.56972775,"INF",2006,"2006_INF"
2010-03-31,-36767.4090207214,"INF",2006,"2006_INF"
2010-06-30,-435619.050986646,"INF",2006,"2006_INF"
2010-09-30,95923.7361722085,"INF",2006,"2006_INF"
2010-12-31,-112138.581278727,"INF",2006,"2006_INF"
2011-03-31,655286.104778077,"INF",2006,"2006_INF"
2011-06-30,8439.47800932013,"INF",2006,"2006_INF"
2011-09-30,69795.5639387569,"INF",2006,"2006_INF"
2011-12-31,177357.956787874,"INF",2006,"2006_INF"
2012-03-31,343277.011914128,"INF",2006,"2006_INF"
2012-06-30,-274916.291009147,"INF",2006,"2006_INF"
2012-09-30,197385.053809814,"INF",2006,"2006_INF"
2012-12-31,1650516.58699742,"INF",2006,"2006_INF"
2013-03-31,100491.960138928,"INF",2006,"2006_INF"
2013-06-30,906553.016412628,"INF",2006,"2006_INF"
2013-09-30,74613.2458891505,"INF",2006,"2006_INF"
2013-12-31,1431810.15630753,"INF",2006,"2006_INF"
2014-03-31,-1039660.7363751,"INF",2006,"2006_INF"
2014-06-30,31509.6610368651,"INF",2006,"2006_INF"
2014-09-30,348341.756691307,"INF",2006,"2006_INF"
2014-12-31,1255664.40685032,"INF",2006,"2006_INF"
2015-03-31,332113.698914563,"INF",2006,"2006_INF"
2015-06-30,78406.2927949992,"INF",2006,"2006_INF"
2015-09-30,256417.820941406,"INF",2006,"2006_INF"
2015-12-31,84741.1748495031,"INF",2006,"2006_INF"
2016-03-31,1991656.14355881,"INF",2006,"2006_INF"
2016-06-30,-37421,"INF",2006,"2006_INF"
2016-09-30,889983.597276473,"INF",2006,"2006_INF"
2016-12-31,153942.217512729,"INF",2006,"2006_INF"
2017-03-31,113008.468824751,"INF",2006,"2006_INF"
2017-06-30,189914.988358314,"INF",2006,"2006_INF"
