"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.0396484375,38.5569477893318,22,NA,NA,0,TRUE,TRUE,0.55,1.37231492096014,0.956608398380403,1.62639395712957,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:13:49,38.5569477893318,NA,NA,NA
"Nelder-Mead1",1.75499195074995,28.5751733755906,73,NA,NA,0,FALSE,TRUE,1.656,7.11215991653536,5.49018341122753e-07,2.94000221872549,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:13:58,28.5751733755906,-0.00513776944624151,0.0480374375750689,0.0167674585617903
"Nelder-Mead2",0.80615234375,35.7422055407531,26,NA,NA,0,TRUE,TRUE,0.516999999999999,1.01223209569109,0.844438898676743,0.915394484108531,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:13:51,35.7422055407531,NA,NA,NA
"Nelder-Mead11",0.859810938446237,35.6838463578181,67,NA,NA,0,FALSE,TRUE,1.482,3.88237765957196,0.862340842006099,1.75505470302027,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:14:06,35.6838463578181,-0.000412564530635252,0.0382546124321823,0.0137723861806922
"Nelder-Mead3",0.857470703125,22.2788190368442,26,NA,NA,0,TRUE,TRUE,0.516,2.49779130798664,0.721834245382542,4.76846234432248,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:13:51,22.2788190368442,NA,NA,NA
"Nelder-Mead12",1.11390531191584,20.950971709499,69,NA,NA,0,FALSE,TRUE,1.618,11.5044801315874,0.423686508774389,5.05193191214046,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:13:59,20.950971709499,-0.00205821535587177,0.0594671576284783,0.0233474142590812
"Nelder-Mead4",0.76572265625,33.6178573854331,26,NA,NA,0,TRUE,TRUE,0.472,1.12587102096088,0.79196017943659,1.91692522219376,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:14:12,33.6178573854331,NA,NA,NA
"Nelder-Mead13",0.561268844614354,33.08175686201,79,NA,NA,0,FALSE,TRUE,1.636,1.82081496116038,0.726818752691484,3.21530068477859,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:14:24,33.08175686201,0.00156020266576465,0.0149706519467928,0.0094474191480988
"Nelder-Mead5",0.805078125,30.9122195876211,26,NA,NA,0,TRUE,TRUE,0.547000000000001,7.47206055740475,0.145263274580475,8.63455547003337,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:14:13,30.9122195876211,NA,NA,NA
"Nelder-Mead14",1.46861915357963,25.1954404233074,119,NA,NA,0,FALSE,TRUE,2.536,3.56736835044163,0.247312291114505,2.81726725084639,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:14:25,25.1954404233074,-0.00480004503711689,0.103622389271556,0.0360605697138397
